,orig_nodes,orig_params,simpl_nodes,simpl_params,orig_nodes_sympy,orig_params_sympy,simpl_nodes_sympy,simpl_params_sympy,algorithm,n_params,n_rank
58,41.0,10.0,39.0,10.0,41.0,11.0,37.0,9.0,EPLEX,10.0,8.0
59,9.0,2.0,7.0,2.0,9.0,2.0,7.0,2.0,EPLEX,2.0,2.0
60,109.0,33.0,87.0,23.0,91.0,24.0,84.0,23.0,FEAT,33.0,3.0
61,239.0,69.0,125.0,24.0,165.0,37.0,112.0,24.0,FEAT,69.0,15.0
62,221.0,63.0,109.0,23.0,161.0,34.0,104.0,22.0,FEAT,63.0,19.0
63,263.0,76.0,141.0,30.0,185.0,45.0,127.0,28.0,FEAT,76.0,22.0
64,213.0,60.0,107.0,21.0,121.0,25.0,85.0,19.0,FEAT,60.0,16.0
65,213.0,60.0,121.0,25.0,147.0,34.0,109.0,22.0,FEAT,60.0,18.0
66,195.0,56.0,87.0,18.0,109.0,23.0,73.0,16.0,FEAT,56.0,14.0
67,225.0,64.0,117.0,22.0,143.0,32.0,103.0,21.0,FEAT,64.0,18.0
68,361.0,107.0,201.0,43.0,197.0,41.0,136.0,26.0,FEAT,107.0,21.0
69,341.0,101.0,195.0,41.0,175.0,39.0,126.0,27.0,FEAT,101.0,19.0
70,255.0,78.0,133.0,29.0,155.0,35.0,108.0,24.0,FEAT,78.0,14.0
71,257.0,74.0,147.0,30.0,161.0,37.0,108.0,22.0,FEAT,74.0,21.0
72,209.0,58.0,107.0,23.0,139.0,31.0,96.0,21.0,FEAT,58.0,19.0
73,175.0,49.0,99.0,20.0,103.0,21.0,74.0,16.0,FEAT,49.0,16.0
74,317.0,96.0,193.0,40.0,199.0,49.0,141.0,29.0,FEAT,96.0,21.0
75,241.0,70.0,125.0,29.0,155.0,34.0,110.0,22.0,FEAT,70.0,18.0
76,319.0,93.0,181.0,38.0,155.0,32.0,107.0,22.0,FEAT,94.0,20.0
77,259.0,75.0,147.0,29.0,163.0,38.0,112.0,23.0,FEAT,75.0,18.0
78,337.0,97.0,195.0,45.0,215.0,45.0,147.0,30.0,FEAT,97.0,27.0
79,339.0,96.0,195.0,42.0,235.0,50.0,160.0,31.0,FEAT,96.0,28.0
80,199.0,58.0,111.0,23.0,145.0,35.0,99.0,23.0,FEAT,58.0,16.0
81,383.0,114.0,219.0,48.0,259.0,61.0,183.0,37.0,FEAT,114.0,29.0
82,249.0,72.0,135.0,27.0,153.0,36.0,105.0,23.0,FEAT,72.0,21.0
83,327.0,100.0,181.0,37.0,191.0,43.0,128.0,26.0,FEAT,100.0,18.0
84,185.0,52.0,97.0,19.0,131.0,30.0,85.0,18.0,FEAT,52.0,17.0
85,211.0,61.0,123.0,24.0,137.0,31.0,97.0,21.0,FEAT,61.0,19.0
86,179.0,52.0,75.0,18.0,107.0,22.0,79.0,17.0,FEAT,52.0,14.0
87,151.0,41.0,81.0,17.0,113.0,24.0,75.0,16.0,FEAT,41.0,16.0
88,217.0,63.0,119.0,25.0,159.0,37.0,104.0,23.0,FEAT,63.0,17.0
89,225.0,65.0,135.0,28.0,225.0,65.0,135.0,28.0,FEAT,65.0,19.0
90,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,GOMEA,7.0,1.0
91,28.0,5.0,28.0,5.0,31.0,7.0,31.0,7.0,GOMEA,5.0,5.0
92,23.0,4.0,21.0,4.0,26.0,6.0,26.0,6.0,GOMEA,4.0,4.0
93,25.0,5.0,21.0,4.0,26.0,6.0,26.0,6.0,GOMEA,5.0,4.0
94,25.0,5.0,23.0,4.0,26.0,6.0,26.0,6.0,GOMEA,5.0,4.0
95,27.0,3.0,27.0,3.0,36.0,8.0,30.0,6.0,GOMEA,3.0,3.0
96,27.0,5.0,25.0,4.0,32.0,8.0,28.0,6.0,GOMEA,5.0,4.0
97,19.0,3.0,19.0,3.0,23.0,6.0,19.0,5.0,GOMEA,3.0,3.0
98,25.0,7.0,25.0,7.0,38.0,11.0,34.0,9.0,GOMEA,7.0,6.0
99,29.0,5.0,27.0,4.0,30.0,7.0,28.0,6.0,GOMEA,4.0,4.0
100,21.0,4.0,21.0,4.0,24.0,5.0,24.0,5.0,GOMEA,4.0,3.0
101,27.0,4.0,23.0,4.0,30.0,7.0,28.0,6.0,GOMEA,4.0,4.0
102,31.0,8.0,29.0,7.0,32.0,7.0,32.0,7.0,GOMEA,7.0,6.0
103,27.0,4.0,21.0,4.0,26.0,6.0,26.0,6.0,GOMEA,4.0,4.0
104,25.0,5.0,21.0,4.0,26.0,6.0,26.0,6.0,GOMEA,5.0,4.0
105,26.0,4.0,24.0,3.0,29.0,7.0,27.0,6.0,GOMEA,4.0,3.0
106,26.0,5.0,26.0,5.0,33.0,9.0,29.0,7.0,GOMEA,5.0,5.0
107,28.0,3.0,20.0,3.0,25.0,6.0,23.0,5.0,GOMEA,3.0,3.0
108,28.0,5.0,28.0,5.0,33.0,7.0,32.0,7.0,GOMEA,5.0,5.0
109,27.0,5.0,21.0,4.0,26.0,6.0,26.0,6.0,GOMEA,5.0,4.0
110,25.0,4.0,21.0,4.0,26.0,6.0,26.0,6.0,GOMEA,4.0,4.0
111,24.0,4.0,24.0,4.0,31.0,7.0,28.0,6.0,GOMEA,4.0,4.0
112,25.0,3.0,25.0,3.0,34.0,5.0,31.0,4.0,GOMEA,3.0,3.0
113,28.0,5.0,26.0,4.0,31.0,7.0,29.0,6.0,GOMEA,5.0,4.0
114,26.0,4.0,26.0,4.0,29.0,7.0,27.0,6.0,GOMEA,4.0,3.0
115,25.0,5.0,21.0,4.0,26.0,6.0,26.0,6.0,GOMEA,5.0,4.0
116,29.0,5.0,25.0,3.0,34.0,4.0,29.0,3.0,GOMEA,4.0,3.0
117,27.0,5.0,23.0,4.0,26.0,6.0,26.0,6.0,GOMEA,5.0,4.0
118,23.0,5.0,21.0,4.0,26.0,6.0,26.0,6.0,GOMEA,5.0,4.0
119,28.0,6.0,26.0,5.0,28.0,6.0,26.0,5.0,GOMEA,6.0,5.0
120,49.0,14.0,33.0,8.0,48.0,12.0,38.0,9.0,Operon,14.0,8.0
121,47.0,13.0,37.0,10.0,51.0,14.0,45.0,12.0,Operon,13.0,10.0
122,41.0,11.0,37.0,10.0,66.0,17.0,60.0,15.0,Operon,11.0,10.0
123,43.0,12.0,39.0,10.0,45.0,13.0,39.0,10.0,Operon,12.0,10.0
124,49.0,13.0,41.0,10.0,59.0,16.0,53.0,13.0,Operon,13.0,10.0
125,44.0,12.0,42.0,11.0,54.0,14.0,52.0,13.0,Operon,12.0,11.0
126,45.0,12.0,41.0,11.0,59.0,16.0,52.0,13.0,Operon,12.0,10.0
127,49.0,14.0,39.0,10.0,64.0,18.0,51.0,13.0,Operon,14.0,9.0
128,45.0,12.0,41.0,11.0,49.0,14.0,41.0,11.0,Operon,12.0,11.0
129,44.0,13.0,40.0,12.0,77.0,22.0,60.0,16.0,Operon,13.0,12.0
130,41.0,13.0,37.0,11.0,62.0,19.0,52.0,14.0,Operon,13.0,10.0
131,45.0,14.0,41.0,12.0,45.0,14.0,41.0,12.0,Operon,14.0,12.0
132,45.0,12.0,41.0,11.0,64.0,17.0,62.0,16.0,Operon,12.0,10.0
133,43.0,14.0,37.0,11.0,49.0,17.0,37.0,11.0,Operon,14.0,11.0
134,45.0,13.0,43.0,12.0,47.0,14.0,43.0,12.0,Operon,13.0,12.0
135,41.0,12.0,37.0,11.0,45.0,14.0,37.0,11.0,Operon,12.0,11.0
136,33.0,10.0,29.0,8.0,39.0,13.0,29.0,8.0,Operon,11.0,8.0
137,43.0,13.0,39.0,11.0,58.0,18.0,48.0,13.0,Operon,13.0,11.0
138,47.0,12.0,47.0,12.0,70.0,19.0,64.0,16.0,Operon,12.0,12.0
139,45.0,13.0,39.0,11.0,52.0,15.0,42.0,11.0,Operon,13.0,10.0
140,47.0,14.0,29.0,8.0,59.0,17.0,51.0,13.0,Operon,14.0,8.0
141,41.0,13.0,35.0,10.0,75.0,20.0,60.0,15.0,Operon,13.0,10.0
142,40.0,11.0,38.0,10.0,57.0,17.0,49.0,13.0,Operon,11.0,10.0
143,45.0,11.0,43.0,10.0,61.0,15.0,57.0,14.0,Operon,11.0,10.0
144,43.0,13.0,43.0,13.0,45.0,14.0,43.0,13.0,Operon,13.0,13.0
145,41.0,14.0,31.0,9.0,67.0,22.0,51.0,14.0,Operon,14.0,9.0
146,42.0,13.0,38.0,11.0,56.0,16.0,56.0,16.0,Operon,13.0,11.0
147,46.0,12.0,46.0,12.0,60.0,16.0,54.0,13.0,Operon,12.0,11.0
148,45.0,12.0,41.0,11.0,58.0,14.0,54.0,13.0,Operon,12.0,9.0
149,43.0,11.0,43.0,11.0,43.0,11.0,43.0,11.0,Operon,11.0,11.0
150,29.0,5.0,29.0,5.0,42.0,7.0,39.0,6.0,SBP,5.0,4.0
151,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,SBP,5.0,1.0
152,29.0,7.0,27.0,6.0,45.0,9.0,41.0,7.0,SBP,7.0,6.0
153,29.0,7.0,25.0,5.0,27.0,8.0,23.0,7.0,SBP,7.0,5.0
154,28.0,6.0,24.0,4.0,31.0,7.0,29.0,6.0,SBP,5.0,4.0
155,26.0,6.0,24.0,5.0,26.0,7.0,20.0,5.0,SBP,6.0,4.0
156,28.0,4.0,28.0,4.0,28.0,7.0,24.0,6.0,SBP,4.0,4.0
157,27.0,5.0,27.0,5.0,39.0,7.0,28.0,5.0,SBP,5.0,4.0
158,27.0,6.0,19.0,5.0,21.0,5.0,20.0,5.0,SBP,6.0,5.0
159,24.0,4.0,18.0,3.0,25.0,6.0,23.0,5.0,SBP,4.0,3.0
160,28.0,7.0,26.0,7.0,30.0,8.0,27.0,7.0,SBP,7.0,7.0
161,35.0,9.0,25.0,5.0,24.0,6.0,19.0,5.0,SBP,6.0,5.0
162,31.0,7.0,29.0,6.0,39.0,11.0,35.0,9.0,SBP,6.0,6.0
163,30.0,6.0,28.0,5.0,41.0,11.0,35.0,8.0,SBP,5.0,5.0
164,21.0,4.0,21.0,4.0,26.0,6.0,26.0,6.0,SBP,7.0,4.0
165,29.0,6.0,29.0,6.0,31.0,8.0,25.0,6.0,SBP,6.0,5.0
166,29.0,5.0,27.0,4.0,25.0,7.0,22.0,7.0,SBP,5.0,3.0
167,26.0,5.0,26.0,5.0,31.0,8.0,27.0,6.0,SBP,5.0,4.0
168,29.0,5.0,27.0,4.0,37.0,5.0,34.0,4.0,SBP,5.0,4.0
169,29.0,7.0,25.0,5.0,31.0,8.0,26.0,6.0,SBP,7.0,5.0
170,29.0,5.0,25.0,5.0,29.0,8.0,26.0,7.0,SBP,5.0,5.0
171,31.0,7.0,27.0,5.0,37.0,7.0,32.0,6.0,SBP,6.0,4.0
172,28.0,6.0,24.0,4.0,24.0,6.0,20.0,4.0,SBP,6.0,3.0
173,29.0,7.0,21.0,4.0,21.0,5.0,17.0,4.0,SBP,7.0,4.0
174,29.0,6.0,25.0,6.0,29.0,8.0,25.0,6.0,SBP,6.0,6.0
175,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,SBP,5.0,1.0
176,28.0,5.0,28.0,5.0,31.0,8.0,26.0,6.0,SBP,5.0,5.0
177,28.0,5.0,24.0,4.0,27.0,6.0,26.0,6.0,SBP,5.0,4.0
178,30.0,7.0,26.0,5.0,30.0,8.0,26.0,6.0,SBP,6.0,5.0
179,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,SBP,5.0,2.0
180,45.0,8.0,41.0,6.0,55.0,9.0,48.0,7.0,SRjl,8.0,6.0
181,41.0,9.0,39.0,8.0,71.0,18.0,56.0,12.0,SRjl,9.0,8.0
182,40.0,9.0,34.0,7.0,62.0,14.0,48.0,8.0,SRjl,9.0,6.0
183,42.0,9.0,34.0,7.0,38.0,7.0,33.0,7.0,SRjl,9.0,7.0
184,41.0,9.0,41.0,9.0,34.0,8.0,30.0,7.0,SRjl,9.0,7.0
185,42.0,9.0,38.0,7.0,53.0,14.0,46.0,11.0,SRjl,8.0,7.0
186,40.0,8.0,36.0,6.0,40.0,8.0,36.0,6.0,SRjl,8.0,6.0
187,37.0,7.0,37.0,7.0,35.0,8.0,31.0,6.0,SRjl,7.0,6.0
188,43.0,8.0,43.0,8.0,54.0,11.0,47.0,10.0,SRjl,8.0,7.0
189,45.0,5.0,45.0,5.0,47.0,10.0,41.0,8.0,SRjl,5.0,5.0
190,43.0,5.0,43.0,5.0,45.0,10.0,32.0,5.0,SRjl,5.0,3.0
191,42.0,9.0,40.0,8.0,36.0,8.0,33.0,8.0,SRjl,9.0,8.0
192,44.0,10.0,40.0,8.0,51.0,13.0,41.0,10.0,SRjl,10.0,7.0
193,41.0,7.0,41.0,7.0,43.0,9.0,35.0,6.0,SRjl,7.0,5.0
194,43.0,8.0,39.0,6.0,49.0,12.0,32.0,6.0,SRjl,8.0,5.0
195,40.0,5.0,40.0,5.0,49.0,7.0,45.0,6.0,SRjl,5.0,4.0
196,42.0,10.0,36.0,7.0,42.0,11.0,33.0,7.0,SRjl,10.0,7.0
197,41.0,10.0,35.0,7.0,32.0,9.0,27.0,7.0,SRjl,11.0,6.0
198,43.0,11.0,39.0,9.0,43.0,12.0,35.0,9.0,SRjl,11.0,8.0
199,45.0,13.0,43.0,12.0,68.0,17.0,57.0,14.0,SRjl,13.0,9.0
200,43.0,6.0,41.0,5.0,43.0,8.0,36.0,5.0,SRjl,6.0,5.0
201,42.0,8.0,38.0,6.0,42.0,11.0,30.0,6.0,SRjl,8.0,5.0
202,43.0,11.0,41.0,10.0,39.0,10.0,32.0,7.0,SRjl,11.0,7.0
203,44.0,9.0,42.0,8.0,62.0,14.0,48.0,9.0,SRjl,9.0,7.0
204,45.0,6.0,43.0,5.0,57.0,8.0,40.0,4.0,SRjl,6.0,4.0
205,43.0,10.0,39.0,9.0,35.0,10.0,31.0,8.0,SRjl,10.0,7.0
206,45.0,9.0,37.0,7.0,39.0,10.0,31.0,6.0,SRjl,9.0,6.0
207,41.0,8.0,39.0,8.0,41.0,8.0,36.0,7.0,SRjl,8.0,7.0
208,45.0,8.0,41.0,6.0,39.0,9.0,34.0,7.0,SRjl,8.0,6.0
209,33.0,6.0,31.0,5.0,33.0,6.0,31.0,5.0,SRjl,8.0,5.0
