dataset,raw_index,algorithm_raw,algo_row,input_kind,variant,status,runtime_ms,before_nodes,before_params,after_nodes,after_params,egraph_total_size,passes,extracted_cost,peak_rss_mb,rendered
kotanchek,10,Bingo,10,original,baseline,saturated,201.875958009623,32.0,3.0,32.0,3.0,137.0,2.0,32.0,109.859375,0.03943336488999562 * (x1 * ((x0 * x0 + x1) * (0.046906498950706255 * (x1 + 4.0 * (x1 * x1) + exp(x0 * x0) + 2.649301878755651) - log(abs(x1))) ** (-1.0)))
kotanchek,10,Bingo,10,sympy,baseline,saturated,970.9423339227214,31.0,5.0,29.0,3.0,5326.0,2.0,29.0,124.90625,0.03943336488999562 * x1 * (x0 ** 2.0 + x1) / (0.046906498950706255 * (exp(x0 ** 2.0) + (x1 + 4.0 * x1 ** 2.0)) - log(x1) + 0.12426947579595604)
kotanchek,11,Bingo,11,original,baseline,saturated,82.55575003568083,28.0,4.0,28.0,4.0,41.0,1.0,28.0,108.265625,0.2306440753250631 + 0.03139967317000205 * x1 + (-1.1634241022901022 + exp(exp(-1.0 + x0)) ** (-1.0)) * (1.2522488356336676 - exp(x0 * exp(exp(-1.0 + x0)) ** (-1.0)))
kotanchek,11,Bingo,11,sympy,baseline,saturated,92.07879099994898,42.0,4.0,42.0,4.0,123.0,1.0,42.0,108.6875,((0.03139967317000205 * x1 + 0.2306440753250631) * exp(exp(x0 - 1.0)) + (exp(x0 * exp(-1.0 * exp(x0 - 1.0))) - 1.2522488356336676) * (1.1634241022901022 * exp(exp(x0 - 1.0)) - 1.0)) * exp(-1.0 * exp(x0 - 1.0))
kotanchek,12,Bingo,12,original,baseline,saturated,137.1897499775514,30.0,6.0,26.0,5.0,135.0,2.0,26.0,109.171875,-0.04106910574307527 * (0.36426566457643617 + x0 + 1.0611956406287764 * (x1 * (-4.735723943783631 + x1))) + (0.00822065460724008 + x0 * x0) * exp(x0 * x0) ** (-1.0)
kotanchek,12,Bingo,12,sympy,baseline,saturated,97.25316695403308,35.0,5.0,35.0,5.0,175.0,1.0,35.0,109.734375,(x0 ** 2.0 - (0.04106910574307527 * x0 + 0.04358235597907372 * x1 * (x1 - 4.735723943783631) + 0.01496006509706177 + I * pi) * exp(x0 ** 2.0) + 0.00822065460724008) * exp(-1.0 * x0 ** 2.0)
kotanchek,13,Bingo,13,original,baseline,saturated,159.560083062388,27.0,9.0,23.0,7.0,277.0,2.0,23.0,110.0625,(69920813446.957 + 120973619469.07672 * ((x0 + -1.142010252221088) * (x0 + -1.142010252221088))) ** (-1.0) * (32356483533.402588 + -10343913179.625605 * x0 + 5885307060.08351 * x1)
kotanchek,13,Bingo,13,sympy,baseline,saturated,137.29495892766863,21.0,6.0,19.0,5.0,227.0,2.0,19.0,110.0625,-0.065562300874022 * (x0 + -0.5689633079747608 * x1 + -3.1280699065741504) / ((0.8756488814834252 * x0 - 1.0) ** 2.0 + 0.4431755496164828)
kotanchek,14,Bingo,14,original,baseline,saturated,119.1107080085203,24.0,5.0,24.0,5.0,88.0,1.0,24.0,108.921875,(-0.008870475378536939 + -0.0506336679649604 * x1) * ((x0 + -0.3460574947000204 * (1.0326587094648079 + exp(x0))) ** (-1.0) * log(abs(-9.541496629390634 + 2.0 * x1)))
kotanchek,14,Bingo,14,sympy,baseline,saturated,1373.8346248865128,23.0,5.0,21.0,5.0,4052.0,2.0,21.0,124.640625,(0.0506336679649604 * x1 - -0.008870475378536939) * log(2.0 * x1 - 9.541496629390634) / (0.35735928587754767 - x0 - -0.3460574947000204 * exp(x0))
kotanchek,15,Bingo,15,original,baseline,saturated,107.94279095716774,20.0,3.0,20.0,3.0,81.0,1.0,20.0,108.546875,-0.009079799107138235 + 0.973619601464109 * (-1.1573239810414302 + x1 ** (-2.0) + exp(x0) + -2.0 * log(abs(x0))) ** (-1.0)
kotanchek,15,Bingo,15,sympy,baseline,saturated,158.28229091130197,17.0,3.0,17.0,3.0,80.0,1.0,17.0,109.359375,-0.009079799107138235 + 0.973619601464109 / (exp(x0) - 2.0 * log(x0) - 1.1573239810414302 + x1 ** (-2.0))
kotanchek,16,Bingo,16,original,baseline,saturated,146.05083398055285,24.0,5.0,22.0,4.0,111.0,2.0,22.0,109.625,-5.9611827480310925e-05 + -0.11518537624350336 * (x1 * (-4.739082076972427 + x1) + -0.09118792079643674) * exp((-1.0 + x0) * (-1.0 + x0)) ** (-1.0)
kotanchek,16,Bingo,16,sympy,baseline,saturated,134.1643329942599,27.0,4.0,27.0,4.0,156.0,1.0,27.0,109.609375,(-0.11518537624350338 * x1 * (x1 - 4.739082076972427) - 5.9611827480310925e-05 * exp((x0 - 1.0) ** 2.0) + 0.010503514965800351) * exp(-1.0 * (x0 - 1.0) ** 2.0)
kotanchek,17,Bingo,17,original,baseline,saturated,194.38587501645088,33.0,4.0,33.0,4.0,251.0,1.0,33.0,109.765625,0.681112641117685 * (exp(x0) * (x0 - exp(x0)) * ((-0.601686750816862 + 0.0635052950716775 * ((-0.17402614857984516 + x1) * (exp(x0) * (x0 - exp(x0)))) - x0) * exp(exp(x0)) ** (-1.0)))
kotanchek,17,Bingo,17,sympy,baseline,saturated,165.14924995135516,30.0,4.0,30.0,4.0,175.0,1.0,30.0,109.84375,-0.681112641117685 * (x0 - exp(x0)) * (x0 - 0.0635052950716775 * (x0 - exp(x0)) * (x1 - 0.17402614857984516) * exp(x0) + 0.601686750816862) * exp(x0 - exp(x0))
kotanchek,18,Bingo,18,original,baseline,saturated,88.87454203795642,35.0,3.0,35.0,3.0,54.0,1.0,35.0,108.90625,(0.6342565001176109 + x0 * (exp(x0) - x0)) * (1.9932377603672047 * x1 ** (-2.0) + exp(x0) * exp(exp(x0) - x0) ** (-1.0) + 0.5982795866023631 * exp(exp(x0) - x0)) ** (-1.0)
