implementation,algorithm_raw,algorithm,algo_row,node_count,after_nodes,runtime_ms,peak_rss_mb,status
Archived Haskell,na,na,na,89.0,na,109.2,na,archived_benchmark
Archived Haskell,na,na,na,217.0,na,410.0,na,archived_benchmark
Archived Haskell,na,na,na,116.0,na,1039.0,na,archived_benchmark
Archived Haskell,na,na,na,194.0,na,379.4,na,archived_benchmark
Archived Haskell,na,na,na,142.0,na,473.5,na,archived_benchmark
Archived Haskell,na,na,na,269.0,na,380.2,na,archived_benchmark
Archived Haskell,na,na,na,191.0,na,590.7,na,archived_benchmark
Archived Haskell,na,na,na,191.0,na,377.1,na,archived_benchmark
Archived Haskell,na,na,na,241.0,na,440.9,na,archived_benchmark
Archived Haskell,na,na,na,202.0,na,358.8,na,archived_benchmark
Archived Haskell,na,na,na,223.0,na,663.9,na,archived_benchmark
Archived Haskell,na,na,na,357.0,na,531.9,na,archived_benchmark
Archived Haskell,na,na,na,154.0,na,493.2,na,archived_benchmark
Archived Haskell,na,na,na,134.0,na,555.7,na,archived_benchmark
Archived Haskell,na,na,na,184.0,na,329.3,na,archived_benchmark
Archived Haskell,na,na,na,416.0,na,707.5,na,archived_benchmark
Archived Haskell,na,na,na,129.0,na,527.9,na,archived_benchmark
Archived Haskell,na,na,na,174.0,na,339.7,na,archived_benchmark
Archived Haskell,na,na,na,160.0,na,590.3,na,archived_benchmark
Archived Haskell,na,na,na,196.0,na,463.5,na,archived_benchmark
Archived Haskell,na,na,na,151.0,na,643.6,na,archived_benchmark
Archived Haskell,na,na,na,125.0,na,709.8,na,archived_benchmark
Archived Haskell,na,na,na,168.0,na,1315.0,na,archived_benchmark
Archived Haskell,na,na,na,155.0,na,305.2,na,archived_benchmark
Archived Haskell,na,na,na,170.0,na,373.5,na,archived_benchmark
Archived Haskell,na,na,na,138.0,na,309.2,na,archived_benchmark
Archived Haskell,na,na,na,179.0,na,663.6,na,archived_benchmark
Archived Haskell,na,na,na,133.0,na,594.1,na,archived_benchmark
Archived Haskell,na,na,na,186.0,na,423.5,na,archived_benchmark
Archived Haskell,na,na,na,165.0,na,453.1,na,archived_benchmark
Archived Haskell,na,na,na,131.0,na,1150.0,na,archived_benchmark
Archived Haskell,na,na,na,1.0,na,0.1397,na,archived_benchmark
Archived Haskell,na,na,na,30.0,na,253.5,na,archived_benchmark
Archived Haskell,na,na,na,28.0,na,274.6,na,archived_benchmark
Archived Haskell,na,na,na,10.0,na,0.9544,na,archived_benchmark
Archived Haskell,na,na,na,31.0,na,435.0,na,archived_benchmark
