dataset,raw_index,algorithm_raw,algorithm,algo_row,is_paper_row,drop_reason,n_params,n_rank,original_expr,sympy_expr,orig_status,orig_runtime_ms,orig_nodes,orig_params,simpl_nodes,simpl_params,orig_total_size,orig_egraph_nodes,orig_eclass_count,orig_passes,orig_extracted_cost,orig_rendered,sympy_status,sympy_runtime_ms,orig_nodes_sympy,orig_params_sympy,simpl_nodes_sympy,simpl_params_sympy,sympy_total_size,sympy_egraph_nodes,sympy_eclass_count,sympy_passes,sympy_extracted_cost,sympy_rendered
pagie,11,Bingo,Bingo,12,1,kept,4.0,4.0,(0.32709300308221473)*(plog((2.8938067344221365)*(x0) + (33.37981491587227)*((x0)*(x1)) - (exp(0.32709300308221473)))),0.32709300308221473*log(33.37981491587227*x0*x1 + 2.8938067344221365*x0 - 1.3869304599899063),saturated,407.256041,16,4,13,4,84,96,48,2,35,(0.32709300308221473 * log(abs(((x0 * (33.37981491587227 * (x1 + 0.0866933127614832))) - 1.3869304599899064)))),saturated,344.217834,14,4,12,4,70,81,42,2,34,(0.32709300308221473 * log(((x0 * (33.37981491587227 * (x1 + 0.0866933127614832))) - 1.3869304599899064)))
pagie,12,Bingo,Bingo,13,1,kept,5.0,5.0,0.46055102457050884 + (-11903.1935774518 + ((x0)^(-1))*(exp(x1)))*((-9960.615166624408 + (-8736.856642285593)*((x1)^(-2)) + ((x0)^(-1))*(exp(x1)))^(-1)) + (0.3353899762817782)*(plog(x0)),(11903.1935774518 - exp(x1)/x0)/(9960.615166624408 + 8736.856642285593/x1**2 - exp(x1)/x0) + 0.3353899762817782*log(x0) + 0.46055102457050884,saturated,306.501291,33,5,33,5,83,93,47,2,84,((0.46055102457050884 + ((-11903.1935774518 + ((x0 ** -1.0) * exp(x1))) * (((-8736.856642285593 * ((x1 ** -2.0) + 1.1400685137050246)) + ((x0 ** -1.0) * exp(x1))) ** -1.0))) + (0.3353899762817782 * log(abs(x0)))),saturated,362.999667,26,5,26,5,69,78,41,1,62,((((11903.1935774518 - (exp(x1) / x0)) / ((9960.615166624408 + (8736.856642285593 / (x1 ** 2.0))) - (exp(x1) / x0))) + (0.3353899762817782 * log(x0))) + 0.46055102457050884)
pagie,2,Bingo,Bingo,3,1,kept,5.0,5.0,((plog(1 - ((-4.620613175155346)*(-4.620613175155346))))^(-1))*(plog(1 + ((-0.7045923450774843)^(-1))*((x1)*(x0 + ((-4.620613175155346)*(-4.620613175155346) - (-0.7045923450774843))*(x0) + plog(-0.5941007048060543 + x0))) - (x0))),log(-x0 - 1.419260380823509*x1*(23.05465845949665*x0 + log(x0 - 0.5941007048060543)) + 1)/(3.013084160749133 + I*pi),saturated,304.649417,37,9,23,5,82,90,41,2,53,(0.331885850726245 * log(abs(((1.0 + (-1.4192603808235096 * (x1 * ((x0 + (22.05465845949665 * x0)) + log(abs((-0.5941007048060543 + x0))))))) - x0)))),saturated,3295.653708,25,6,23,5,66,75,38,2,54,(log(((1.0 - x0) + (-1.419260380823509 * (((23.05465845949665 * x0) + log((x0 + -0.5941007048060543))) * x1)))) / (3.013084160749133 + (I * pi)))
pagie,14,Bingo,Bingo,15,1,kept,13.0,6.0,-0.3615909827079473 - ((-0.3615909827079473 + (-0.15940944833036993 + (0.7495558385988832 + (-0.052282035688047096)*((x0)*(x0)))*(0.7495558385988832 + (-0.052282035688047096)*((x0)*(x0))))*(-0.15940944833036993 + (0.7495558385988832 + (-0.052282035688047096)*((x0)*(x0)))*(0.7495558385988832 + (-0.052282035688047096)*((x0)*(x0)))))*(plog((-242.5021661422168)*(x1)))),-(0.3156573931905898*((0.069750688335342645*x0**2 - 1)**2 - 0.28373053437106359)**2 - 0.3615909827079473)*(log(-x1) + 5.491010642882867) - 0.3615909827079473,saturated,874.506625,45,13,39,10,113,125,57,2,98,(-0.3615909827079473 - ((-0.3615909827079473 + (7.471537092712174e-06 * (((((x0 * x0) + -14.336776078714344) * ((x0 * x0) + -14.336776078714344)) + -58.318867312320975) * ((((x0 * x0) + -14.336776078714344) * ((x0 * x0) + -14.336776078714344)) + -58.318867312320975)))) * log((242.5021661422168 * abs(x1))))),saturated,321.240959,28,9,26,8,113,129,65,2,83,(((-5.491010642882867 - log((-1.0 * x1))) * ((0.3156573931905898 * (((((0.06975068833534265 * (x0 ** 2.0)) - 1.0) ** 2.0) - 0.2837305343710636) ** 2.0)) - 0.3615909827079473)) - 0.3615909827079473)
pagie,15,Bingo,Bingo,16,1,kept,8.0,7.0,(-0.0016724665952508537)*(292.42415431458545 + x1 + ((-1)*((-314.9892428270721)^(-1)))*((((x0)^(-1))*((x1)^(-1)))*((39.54832653926522 + x1)*(plog((-314.9892428270721)*((x0)*(x1)))))) + (-240.49898207944213)*(plog((-314.9892428270721)*((x0)*((x1)*((plog((-314.9892428270721)*((x0)*(x1))))^(-1))))))),(x0*x1*(-0.0016724665952508537*x1 + 0.40222651371970066*log(-x0*x1/(log(-x0*x1) + 5.75253848848719)) + 1.8247538715269739) - 5.3095990842107314e-6*(x1 + 39.54832653926522)*(log(-x0*x1) + 5.75253848848719))/(x0*x1),saturated,683.382375,51,9,45,7,533,547,119,2,105,(-0.0016724665952508537 * (((-240.49898207944213 * (4.536632492602386 + log(abs((x0 * (x1 * (log(abs((-314.9892428270721 * (x0 * x1)))) ** -1.0))))))) + x1) + (0.0031747115902272137 * (((x0 ** -1.0) * (x1 ** -1.0)) * ((39.54832653926522 + x1) * log(abs((-314.9892428270721 * (x0 * x1))))))))),saturated,373.990542,46,10,46,10,194,204,66,2,108,((((log(((-1.0 * x0) * x1)) + 5.75253848848719) * (x1 + 39.54832653926522)) + (314.9892428270721 * ((x0 * x1) * ((x1 + (-240.49898207944213 * log((((-1.0 * x0) * x1) / (log(((-1.0 * x0) * x1)) + 5.75253848848719))))) + -1091.0554965393965)))) * (-5.309599084210731e-06 / (x0 * x1)))
pagie,17,Bingo,Bingo,18,1,kept,5.0,4.0,(7.051978434353006)*(0.1577598589609299 + (-0.001006011746264326)*((-8.107154770143312 + x0)*((6.507788542716649 + x0 + plog(x0))*(plog((x0)*(x1)))))),-0.007094373139361835*(x0 - 8.107154770143312)*(x0 + log(x0) + 6.507788542716649)*log(x0*x1) + 1.112519123199049,saturated,299.146750,23,5,21,4,73,79,34,2,46,(-0.007094373139361835 * (((-8.107154770143312 + x0) * (((6.507788542716649 + x0) + log(abs(x0))) * log(abs((x0 * x1))))) + -156.8171142600944)),saturated,320.369417,19,4,19,4,115,122,41,2,44,((((-0.007094373139361835 * (x0 + -8.107154770143312)) * ((x0 + log(x0)) + 6.507788542716649)) * log((x0 * x1))) + 1.112519123199049)
pagie,20,Bingo,Bingo,21,1,kept,7.0,3.0,plog(plog(5.852257156264611 + ((exp(plog((0.0004240447616209535)*((x0)*(x1)))))*(exp(plog((0.0004240447616209535)*((x0)*(x1))))))*((7480.0610581772835 + plog((0.0004240447616209535)*((x0)*(x1))))*(7480.0610581772835 + plog((0.0004240447616209535)*((x0)*(x1))))))),log(log(10.039948113913963*x0**2*x1**2*(0.00013382768590600596*log(x0*x1) + 1)**2 + 5.852257156264611)),saturated,880.901500,43,7,33,4,551,558,97,2,61,log(abs(log(abs((5.852257156264611 + ((1.7981395985817125e-07 * (abs((x0 * x1)) * abs((x0 * x1)))) * ((7472.29538663884 + log(abs((x0 * x1)))) * (7472.29538663884 + log(abs((x0 * x1))))))))))),saturated,370.895000,24,4,24,4,128,138,53,1,63,log(log(((((10.039948113913963 * (x0 ** 2.0)) * (x1 ** 2.0)) * (((0.00013382768590600595 * log((x0 * x1))) + 1.0) ** 2.0)) + 5.852257156264611)))
pagie,19,Bingo,Bingo,20,1,kept,6.0,5.0,(-0.00010507476032088567)*((-819.22982975795 + ((x0)^(-1))*(1.9180501896236644 - (x1)))*(plog((-61.64925975453745)*((-9.235869766393078)*((x0)*(x1)) + ((-1)*(((-9.235869766393078)*(-9.235869766393078))*((-9.235869766393078)*(-9.235869766393078))))*((((x0)*(x0))*((x0)*(x0)))*(((x1)*(x1))*((x1)*(x1)))))))),0.00010507476032088567*(819.22982975795*x0 + x1 - 1.9180501896236644)*log(x0*x1*(448579.1335037871*x0**3*x1**3 + 569.384534287446))/x0,saturated,1133.773916,47,10,33,5,227,236,67,2,73,(-0.00010507476032088567 * ((-819.22982975795 + ((x0 ** -1.0) * (1.9180501896236644 - x1))) * log((448579.133503787 * abs((x0 * (x1 * ((((x0 * x0) * x0) * ((x1 * x1) * x1)) + 0.0012693067772458905)))))))),saturated,304.077750,28,5,28,5,209,222,75,1,70,(((0.00010507476032088567 * (((819.22982975795 * x0) + x1) - 1.9180501896236644)) * log(((x0 * x1) * (((448579.1335037871 * (x0 ** 3.0)) * (x1 ** 3.0)) + 569.384534287446)))) / x0)
pagie,22,Bingo,Bingo,23,1,kept,5.0,4.0,-5.64393372152411 + (0.002708862303985314)*((x1)^(-1)) + (-0.06435725235582418)*((-2311.5964730737646 - (x0))*((plog((3566206920.7839065)*(((x0)^(-1))*((x1)^(-1)))))^(-1))),0.06435725235582418*x0/log(3566206920.7839065/(x0*x1)) - 5.64393372152411 + 148.7679975624414/log(3566206920.7839065/(x0*x1)) + 0.002708862303985314/x1,saturated,271.417666,27,5,27,5,219,234,87,1,76,((-5.64393372152411 + (0.002708862303985314 * (x1 ** -1.0))) + (-0.06435725235582418 * ((-2311.5964730737646 - x0) * (log(abs((3566206920.7839065 * ((x0 ** -1.0) * (x1 ** -1.0))))) ** -1.0)))),saturated,301.426708,25,6,25,6,199,210,66,2,61,(((0.002708862303985314 / x1) + (((0.06435725235582418 * x0) / log((3566206920.7839065 / (x0 * x1)))) + -5.64393372152411)) + (148.7679975624414 / log((3566206920.7839065 / (x0 * x1)))))
pagie,21,Bingo,Bingo,22,1,kept,4.0,4.0,(0.3407158075111429)*(plog(0.39963452583999787 + (0.07297318016992407)*((x0)*((x1)*(401.296952200405 + x0 + (2)*(x1) - (exp(x0) + exp(x1)))) - (x0)))),0.3407158075111429*log(0.07297318016992407*x0*x1*(x0 + 2*x1 - exp(x0) - exp(x1) + 401.296952200405) - 0.07297318016992407*x0 + 0.39963452583999787),saturated,262.818500,27,5,27,5,112,122,54,1,59,(0.3407158075111429 * log(abs((0.39963452583999787 + (0.07297318016992407 * ((x0 * (x1 * (((401.296952200405 + x0) + (2.0 * x1)) - (exp(x0) + exp(x1))))) - x0)))))),saturated,570.987750,28,6,26,5,73,81,40,2,58,(0.3407158075111429 * log((0.07297318016992407 * ((5.47645758221604 - x0) + ((((((x0 + (2.0 * x1)) - exp(x0)) - exp(x1)) + 401.296952200405) * x1) * x0)))))
pagie,13,Bingo,Bingo,14,1,kept,6.0,6.0,-3.6628323446084137 + (-140960.10336012763)*(((-1951.8497630927013 + x0)^(-1))*((plog(((x0)^(-1))*(-38271.243311540704 + (-3434828.851252485)*((x1)^(-1)) + (-66329.49759041717)*(x1))))^(-1))),-3.6628323446084137 - 140960.10336012763/((x0 - 1951.8497630927013)*log(-(66329.49759041717*x1 + 38271.243311540704 + 3434828.851252485/x1)/x0)),saturated,318.583250,29,6,29,6,274,293,107,1,83,(-3.6628323446084137 + (-140960.10336012763 * (((-1951.8497630927013 + x0) ** -1.0) * (log(abs(((x0 ** -1.0) * ((-38271.243311540704 + (-3434828.851252485 * (x1 ** -1.0))) + (-66329.49759041717 * x1))))) ** -1.0)))),saturated,3856.909750,22,7,20,6,87,101,56,2,54,(-3.6628323446084137 - (140960.10336012763 / ((x0 - 1951.8497630927013) * log(((((-66329.49759041717 * x1) - 38271.243311540704) - (3434828.851252485 / x1)) / x0)))))
