dataset,raw_index,algorithm_raw,algorithm,algo_row,is_paper_row,drop_reason,n_params,n_rank,original_expr,sympy_expr,orig_status,orig_runtime_ms,orig_nodes,orig_params,simpl_nodes,simpl_params,orig_total_size,orig_egraph_nodes,orig_eclass_count,orig_passes,orig_extracted_cost,orig_rendered,sympy_status,sympy_runtime_ms,orig_nodes_sympy,orig_params_sympy,simpl_nodes_sympy,simpl_params_sympy,sympy_total_size,sympy_egraph_nodes,sympy_eclass_count,sympy_passes,sympy_extracted_cost,sympy_rendered
pagie,90,GOMEA,GOMEA,1,1,kept,3.0,3.0,1.950385-1.107514*((exp(((x1-x1)-(x1*x1)))+exp((exp(-5.436000)-(x0*x0))))),1.950385 - 1.107514*exp(-x1**2) - 1.11234982803047*exp(-x0**2),saturated,303.810125,20,3,17,4,46,53,30,2,41,(1.107514 * ((1.7610477158753748 - exp((-1.0 * (x1 * x1)))) - exp((0.004356875966022165 - (x0 * x0))))),saturated,268.752500,19,5,19,5,181,198,82,1,56,((1.950385 - (1.107514 * exp((-1.0 * (x1 ** 2.0))))) - (1.11234982803047 * exp((-1.0 * (x0 ** 2.0)))))
pagie,91,GOMEA,GOMEA,2,1,kept,4.0,4.0,1.993812-1.064938*((exp(((-9.935000+9.358000)*(x0*x0)))+exp((exp(-11.329000)-(x1*x1))))),1.993812 - 1.06495079984612*exp(-x1**2) - 1.064938*exp(-0.577*x0**2),saturated,294.647250,20,5,17,4,42,48,27,2,41,(1.064938 * ((1.872232937504343 - exp((-0.577 * (x0 * x0)))) - exp((1.2019262341499391e-05 - (x1 * x1))))),saturated,286.127084,19,5,19,5,177,194,82,1,56,((1.993812 - (1.06495079984612 * exp((-1.0 * (x1 ** 2.0))))) - (1.064938 * exp((-0.577 * (x0 ** 2.0)))))
pagie,92,GOMEA,GOMEA,3,1,kept,4.0,3.0,1.950381-42823.103036*((exp(((11.065000-21.622000)-(x0*x0)))+exp(((-3.089000-7.475000)-(x1*x1))))),1.950381 - 1.10609193829701*exp(-x1**2) - 1.11386174445997*exp(-x0**2),saturated,312.266959,21,6,17,4,36,42,26,2,41,(42823.103036 * ((4.554506473667678e-05 - exp((-10.557 - (x0 * x0)))) - exp((-10.564 - (x1 * x1))))),saturated,277.749833,19,5,19,5,174,190,79,1,56,((1.950381 - (1.10609193829701 * exp((-1.0 * (x1 ** 2.0))))) - (1.11386174445997 * exp((-1.0 * (x0 ** 2.0)))))
pagie,93,GOMEA,GOMEA,4,1,kept,3.0,3.0,1.950390-1.109745*((exp(((x0-x0)-(x1*x1)))+exp((exp(-8.548000)-(x0*x0))))),1.95039 - 1.109745*exp(-x1**2) - 1.1099602365778*exp(-x0**2),saturated,309.265166,20,3,17,4,46,53,30,2,41,(1.109745 * ((1.7575118608328941 - exp((-1.0 * (x1 * x1)))) - exp((0.00019393257710559848 - (x0 * x0))))),saturated,279.002834,19,5,19,5,174,190,79,1,56,((1.95039 - (1.109745 * exp((-1.0 * (x1 ** 2.0))))) - (1.1099602365778 * exp((-1.0 * (x0 ** 2.0)))))
pagie,94,GOMEA,GOMEA,5,1,kept,3.0,3.0,1.950365-1.102849*((exp(((x1-x1)-(x1*x1)))+exp(((4.752000-4.739000)-(x0*x0))))),1.950365 - 1.102849*exp(-x1**2) - 1.1172796328829*exp(-x0**2),saturated,299.192208,21,4,17,4,46,53,30,2,41,(1.102849 * ((1.7684787309958117 - exp((-1.0 * (x1 * x1)))) - exp((0.0129999999999999 - (x0 * x0))))),saturated,299.725958,19,5,19,5,174,190,79,1,56,((1.950365 - (1.102849 * exp((-1.0 * (x1 ** 2.0))))) - (1.1172796328829 * exp((-1.0 * (x0 ** 2.0)))))
pagie,95,GOMEA,GOMEA,6,1,kept,4.0,4.0,1.974644-1.060379*((exp((exp(-3.066000)-(x0*x0)))+exp(((-0.726000*x1)*x1)))),1.974644 - 1.060379*exp(-0.726*x1**2) - 1.11097010569563*exp(-x0**2),saturated,328.659209,18,4,17,4,42,48,27,2,41,(1.060379 * ((1.8622058716741845 - exp((0.0466072113417544 - (x0 * x0)))) - exp(((-0.726 * x1) * x1)))),saturated,286.907417,19,5,19,5,184,202,85,1,56,((1.974644 - (1.060379 * exp((-0.726 * (x1 ** 2.0))))) - (1.11097010569563 * exp((-1.0 * (x0 ** 2.0)))))
pagie,96,GOMEA,GOMEA,7,1,kept,4.0,3.0,1.918745-23802.792114*((exp((-10.432000-(x0*x0)))+exp(((2.700000-12.507000)-(x1*x1))))),1.918745 - 1.31069583571551*exp(-x1**2) - 0.701564925378973*exp(-x0**2),saturated,317.230666,19,5,17,4,36,42,26,2,41,(23802.792114 * ((8.061008098589655e-05 - exp((-10.432 - (x0 * x0)))) - exp((-9.806999999999999 - (x1 * x1))))),saturated,312.946291,19,5,19,5,174,190,79,1,56,((1.918745 - (1.31069583571551 * exp((-1.0 * (x1 ** 2.0))))) - (0.701564925378973 * exp((-1.0 * (x0 ** 2.0)))))
pagie,97,GOMEA,GOMEA,8,1,kept,4.0,3.0,1.942860-1.152683*(exp((((-2.509000-10.440000)*(x1*x1))*(exp(-4.814000)*(x0*x0))))),1.94286 - 1.152683*exp(-0.105085451613159*x0**2*x1**2),saturated,375.796916,19,5,14,3,134,143,46,2,33,(1.94286 - (1.152683 * exp((-0.1050854516131593 * ((x1 * x1) * (x0 * x0)))))),saturated,346.685250,14,3,14,3,70,80,41,1,41,(1.94286 - (1.152683 * exp(((-0.105085451613159 * (x0 ** 2.0)) * (x1 ** 2.0)))))
pagie,99,GOMEA,GOMEA,10,1,kept,4.0,3.0,1.844910-1.211361*(exp((((12.665000-12.944000)+exp(-7.863000))*((x0*x0)*(x1*x1))))),1.84491 - 1.211361*exp(-0.278615282015546*x0**2*x1**2),saturated,295.292792,19,5,14,3,134,143,46,2,33,(1.84491 - (1.211361 * exp((-0.2786152820155465 * ((x0 * x0) * (x1 * x1)))))),saturated,270.522333,14,3,14,3,70,80,41,1,41,(1.84491 - (1.211361 * exp(((-0.278615282015546 * (x0 ** 2.0)) * (x1 ** 2.0)))))
pagie,26,Bingo,Bingo,27,1,kept,11.0,8.0,(0.3423580139257516)*(plog(0.45123069569900626 + (x0)*(((-1)*(-0.4457591552950685))*(((x1)^(-1))*((24.139650704131938 + (-0.8538385588541292)*((x1)*(x1)) + (-6.699001432126425)*(plog((-0.4457591552950685)*((x1)^(-1)))))^(-1))) + (x1)*(24.139650704131938 + (-0.8538385588541292)*((x1)*(x1)) + (-6.699001432126425)*(plog((-0.4457591552950685)*((x1)^(-1)))))))),0.3423580139257516*log((-x0*(873.33762693716456*x1**2*(0.028892470433989278*x1**2 + 0.22668301730799557*log(-1/x1) - 1)**2 + 0.4457591552950685) + 0.45123069569900626*x1*(0.8538385588541292*x1**2 + 6.699001432126425*log(-1/x1) - 29.552286323348394))/(x1*(0.8538385588541292*x1**2 + 6.699001432126425*log(-1/x1) - 29.552286323348394))),saturated,454.545917,55,12,49,9,347,371,138,2,123,(0.3423580139257516 * log(abs((0.45123069569900626 + (x0 * ((0.4457591552950685 * ((x1 ** -1.0) * (((-6.699001432126425 * (-4.411446485385776 + log(abs((x1 ** -1.0))))) + (-0.8538385588541292 * (x1 * x1))) ** -1.0))) + (x1 * ((-6.699001432126425 * (-4.411446485385776 + log(abs((x1 ** -1.0))))) + (-0.8538385588541292 * (x1 * x1)))))))))),saturated,14279.642792,67,17,61,14,317,342,132,2,166,(0.3423580139257516 * log((((-1022.8369495390365 * (x0 * ((((((0.02889247043398928 * (x1 ** 2.0)) + (0.22668301730799556 * log((-1.0 / x1)))) - 1.0) ** 2.0) * (x1 ** 2.0)) - -0.0005104087371780447))) - ((-0.45123069569900626 * x1) * (((x1 ** 2.0) - 34.61109365101552) - (-7.845747141141808 * log((-1.0 / x1)))))) / (x1 * (((x1 ** 2.0) - 34.61109365101552) - (-7.845747141141808 * log((-1.0 / x1))))))))
pagie,100,GOMEA,GOMEA,11,1,kept,4.0,3.0,1.950391-0.000021*((exp(((13.012000-2.124000)-(x0*x0)))+exp(((-1.572000+12.461000)-(x1*x1))))),1.950391 - 1.12525747907577*exp(-x1**2) - 1.12413278403794*exp(-x0**2),saturated,275.014750,21,6,17,4,36,42,26,2,41,(2.1e-05 * ((92875.76190476191 - exp((10.888 - (x0 * x0)))) - exp((10.889 - (x1 * x1))))),saturated,287.978875,19,5,19,5,181,198,82,1,56,((1.950391 - (1.12525747907577 * exp((-1.0 * (x1 ** 2.0))))) - (1.12413278403794 * exp((-1.0 * (x0 ** 2.0)))))
pagie,101,GOMEA,GOMEA,12,1,kept,4.0,3.0,1.884443-1.188614*(exp((((-3.546000+x1)-(x1-3.362000))*((x0*x0)*(x1*x1))))),1.884443 - 1.188614*exp(-0.184*x0**2*x1**2),saturated,252.188584,20,4,20,4,159,170,57,1,46,(1.884443 - (1.188614 * exp((((-3.546 + x1) - (x1 - 3.362)) * ((x0 * x0) * (x1 * x1)))))),saturated,252.172250,14,3,14,3,70,80,41,1,41,(1.884443 - (1.188614 * exp(((-0.184 * (x0 ** 2.0)) * (x1 ** 2.0)))))
pagie,102,GOMEA,GOMEA,13,1,kept,3.0,3.0,1.926897-1.163077*(exp((x0*((-0.122000*x1)*(x0*x1))))),1.926897 - 1.163077*exp(-0.122*x0**2*x1**2),saturated,249.270708,14,3,14,3,134,143,46,1,33,(1.926897 - (1.163077 * exp((x0 * ((-0.122 * x1) * (x0 * x1)))))),saturated,248.709458,14,3,14,3,70,80,41,1,41,(1.926897 - (1.163077 * exp(((-0.122 * (x0 ** 2.0)) * (x1 ** 2.0)))))
pagie,104,GOMEA,GOMEA,15,1,kept,3.0,3.0,1.950390-1.109582*((exp((exp(-7.605000)-(x0*x0)))+exp(((x1-x1)-(x1*x1))))),1.95039 - 1.109582*exp(-x1**2) - 1.11013465996109*exp(-x0**2),saturated,280.206000,20,3,17,4,46,53,30,2,41,(1.109582 * ((1.75777004313336 - exp((0.0004979554215032735 - (x0 * x0)))) - exp((-1.0 * (x1 * x1))))),saturated,248.132833,19,5,19,5,174,190,79,1,56,((1.95039 - (1.109582 * exp((-1.0 * (x1 ** 2.0))))) - (1.11013465996109 * exp((-1.0 * (x0 ** 2.0)))))
pagie,105,GOMEA,GOMEA,16,1,kept,3.0,3.0,1.950383-1.106588*((exp((exp(-5.103000)-(x0*x0)))+exp(((x0-x0)-(x1*x1))))),1.950383 - 1.106588*exp(-x1**2) - 1.11333486172906*exp(-x0**2),saturated,281.581625,20,3,17,4,46,53,30,2,41,(1.106588 * ((1.762519564643752 - exp((0.0060784837337638405 - (x0 * x0)))) - exp((-1.0 * (x1 * x1))))),saturated,264.661625,19,5,19,5,181,198,82,1,56,((1.950383 - (1.106588 * exp((-1.0 * (x1 ** 2.0))))) - (1.11333486172906 * exp((-1.0 * (x0 ** 2.0)))))
pagie,98,GOMEA,GOMEA,9,1,kept,3.0,3.0,2.007440-1.043210*((exp(((x1*x1)*(23.561000-24.049000)))+exp(((x1-x1)-(x0*x0))))),2.00744 - 1.04321*exp(-0.488*x1**2) - 1.04321*exp(-x0**2),saturated,383.510750,21,4,17,4,52,59,31,2,41,(1.04321 * ((1.9242913699063466 - exp(((x1 * x1) * -0.48799999999999955))) - exp((-1.0 * (x0 * x0))))),saturated,4127.474000,19,5,17,4,41,48,29,2,49,(1.04321 * ((1.9242913699063466 - exp((-0.488 * (x1 ** 2.0)))) - exp((-1.0 * (x0 ** 2.0)))))
pagie,103,GOMEA,GOMEA,14,1,kept,4.0,4.0,1.993304-1.068007*((exp(((17.091000-17.877000)*(x1*x1)))+exp(((-0.722000*x0)*x0)))),1.993304 - 1.068007*exp(-0.785999999999998*x1**2) - 1.068007*exp(-0.722*x0**2),saturated,279.976291,19,5,17,4,48,54,28,2,41,(1.068007 * ((1.8663772802987246 - exp((-0.7859999999999978 * (x1 * x1)))) - exp(((-0.722 * x0) * x0)))),saturated,5780.491667,19,5,17,4,41,48,29,2,49,(1.068007 * ((1.8663772802987246 - exp((-0.785999999999998 * (x1 ** 2.0)))) - exp((-0.722 * (x0 ** 2.0)))))
pagie,108,GOMEA,GOMEA,19,1,kept,4.0,4.0,1.942097-1.116958*((exp((exp(-18.411000)-(x1*x1)))+exp(((-0.561000*x0)*(x0+x0))))),1.942097 - 1.11695801127823*exp(-x1**2) - 1.116958*exp(-1.122*x0**2),saturated,306.295750,20,4,19,4,50,56,29,2,44,(1.116958 * ((1.7387377143992881 - exp((1.009727753928824e-08 - (x1 * x1)))) - exp(((-0.561 * x0) * (x0 + x0))))),saturated,335.188459,19,5,19,5,177,194,82,1,56,((1.942097 - (1.11695801127823 * exp((-1.0 * (x1 ** 2.0))))) - (1.116958 * exp((-1.122 * (x0 ** 2.0)))))
pagie,109,GOMEA,GOMEA,20,1,kept,4.0,3.0,1.949837-0.000010*((exp(((9.658000+1.885000)-(x1*x1)))+exp(((10.589000+1.026000)-(x0*x0))))),1.949837 - 1.03053134177528*exp(-x1**2) - 1.10746601366406*exp(-x0**2),saturated,325.932000,21,6,17,4,36,42,26,2,41,(1e-05 * ((194983.69999999998 - exp((11.543 - (x1 * x1)))) - exp((11.615 - (x0 * x0))))),saturated,363.476791,19,5,19,5,174,190,79,1,56,((1.949837 - (1.03053134177528 * exp((-1.0 * (x1 ** 2.0))))) - (1.10746601366406 * exp((-1.0 * (x0 ** 2.0)))))
pagie,110,GOMEA,GOMEA,21,1,kept,4.0,3.0,1.950389-1.108799*((exp((exp(-6.234000)-(x0*x0)))+exp((exp(-24.872000)-(x1*x1))))),1.950389 - 1.1087990000175*exp(-x1**2) - 1.11097614346804*exp(-x0**2),saturated,375.266792,19,4,17,4,36,42,26,2,41,(1.108799 * ((1.7590104247929514 - exp((0.0019615898236818204 - (x0 * x0)))) - exp((1.5784384301013077e-11 - (x1 * x1))))),saturated,332.094167,19,5,19,5,195,213,88,1,56,((1.950389 - (1.1087990000175 * exp((-1.0 * (x1 ** 2.0))))) - (1.11097614346804 * exp((-1.0 * (x0 ** 2.0)))))
pagie,106,GOMEA,GOMEA,17,1,kept,2.0,2.0,1.950390-1.109849*((exp(((x1-x1)-(x0*x0)))+exp(((x0-x0)-(x1*x1))))),1.95039 - 1.109849*exp(-x1**2) - 1.109849*exp(-x0**2),saturated,279.294542,21,2,17,4,50,56,28,2,41,(1.109849 * ((1.7573471706511425 - exp((-1.0 * (x0 * x0)))) - exp((-1.0 * (x1 * x1))))),saturated,6703.228041,19,5,17,4,38,44,26,2,49,(1.109849 * ((1.7573471706511425 - exp((-1.0 * (x1 ** 2.0)))) - exp((-1.0 * (x0 ** 2.0)))))
pagie,111,GOMEA,GOMEA,22,1,kept,4.0,3.0,1.938930-5.446100*((exp(((-0.454000-1.011000)-(x1*x1)))+exp(((-1.344000-0.479000)-(x0*x0))))),1.93893 - 1.25847384938469*exp(-x1**2) - 0.879765183704653*exp(-x0**2),saturated,405.483500,21,6,17,4,36,42,26,2,41,(5.4461 * ((0.3560217403279411 - exp((-1.4649999999999999 - (x1 * x1)))) - exp((-1.823 - (x0 * x0))))),saturated,327.058958,19,5,19,5,174,190,79,1,56,((1.93893 - (1.25847384938469 * exp((-1.0 * (x1 ** 2.0))))) - (0.879765183704653 * exp((-1.0 * (x0 ** 2.0)))))
pagie,113,GOMEA,GOMEA,24,1,kept,4.0,3.0,1.961773-1.139885*(exp(((-4.331000*(x1*x0))*((x1*x0)*exp(-3.893000))))),1.961773 - 1.139885*exp(-0.0882835453806378*x0**2*x1**2),saturated,350.484416,17,4,14,3,134,143,46,2,33,(1.961773 - (1.139885 * exp((-0.0882835453806378 * ((x1 * x0) * (x1 * x0)))))),saturated,312.781583,14,3,14,3,70,80,41,1,41,(1.961773 - (1.139885 * exp(((-0.0882835453806378 * (x0 ** 2.0)) * (x1 ** 2.0)))))
pagie,107,GOMEA,GOMEA,18,1,kept,2.0,2.0,1.950390-1.109849*((exp(((x1-x1)-(x0*x0)))+exp(((x0-x0)-(x1*x1))))),1.95039 - 1.109849*exp(-x1**2) - 1.109849*exp(-x0**2),saturated,298.375292,21,2,17,4,50,56,28,2,41,(1.109849 * ((1.7573471706511425 - exp((-1.0 * (x0 * x0)))) - exp((-1.0 * (x1 * x1))))),saturated,6959.886875,19,5,17,4,38,44,26,2,49,(1.109849 * ((1.7573471706511425 - exp((-1.0 * (x1 ** 2.0)))) - exp((-1.0 * (x0 ** 2.0)))))
pagie,114,GOMEA,GOMEA,25,1,kept,3.0,3.0,2.015663-2.611492*((exp((x1-exp(x1)))+exp(((1.434000-2.275000)-(x0*x0))))),-2.611492*exp(x1 - exp(x1)) + 2.015663 - 1.12628173318904*exp(-x0**2),saturated,345.393792,18,4,16,3,33,38,23,2,35,(2.611492 * ((0.7718434519424144 - exp((x1 - exp(x1)))) - exp((-0.841 - (x0 * x0))))),saturated,254.912666,18,4,18,4,149,163,68,1,46,(((-2.611492 * exp((x1 - exp(x1)))) + 2.015663) - (1.12628173318904 * exp((-1.0 * (x0 ** 2.0)))))
pagie,115,GOMEA,GOMEA,26,1,kept,4.0,2.0,1.950387-0.000000*((exp((19.402000-(x1*x1)))+exp(((18.128000+1.277000)-(x0*x0))))),1.95038700000000,saturated,266.552500,19,5,1,1,3,4,3,2,6,1.950387,saturated,249.720417,1,1,1,1,3,4,3,1,6,1.950387
pagie,116,GOMEA,GOMEA,27,1,kept,4.0,2.0,2.013362-0.000000*((exp(((x0+22.086000)-exp(x0)))+exp(((6.546000+14.636000)-(x1*x1))))),2.01336200000000,saturated,281.860958,20,5,1,1,3,4,3,2,6,2.013362,saturated,244.427291,1,1,1,1,3,4,3,1,6,2.013362
pagie,118,GOMEA,GOMEA,29,1,kept,4.0,3.0,2.072676-0.000520*((exp(((x1+8.426000)-exp(x1)))+exp(((8.611000+x0)-exp(x0))))),-2.85570358866897*exp(x0 - exp(x0)) - 2.37338748595467*exp(x1 - exp(x1)) + 2.072676,saturated,341.177917,19,4,19,4,42,48,28,2,43,(0.00052 * ((3985.915384615385 - exp(((x1 + 8.426) - exp(x1)))) - exp(((8.611 + x0) - exp(x0))))),saturated,333.581542,17,3,17,3,114,123,48,2,36,(((-2.85570358866897 * exp((x0 - exp(x0)))) + (-2.37338748595467 * exp((x1 - exp(x1))))) + 2.072676)
pagie,112,GOMEA,GOMEA,23,1,kept,3.0,3.0,1.967245-1.093740*((exp(((-3.351000+2.551000)*(x0*x0)))+exp(((x1-x1)-(x1*x1))))),1.967245 - 1.09374*exp(-x1**2) - 1.09374*exp(-0.8*x0**2),saturated,413.953041,21,4,17,4,52,59,31,2,41,(1.09374 * ((1.7986404447126374 - exp((-0.7999999999999998 * (x0 * x0)))) - exp((-1.0 * (x1 * x1))))),saturated,4535.272250,19,5,17,4,41,48,29,2,49,(1.09374 * ((1.7986404447126374 - exp((-1.0 * (x1 ** 2.0)))) - exp((-0.8 * (x0 ** 2.0)))))
pagie,120,Operon,Operon,1,1,kept,12.0,7.0,(0.0000018283429881 + (1.0000038146972656 * (((exp((((0.0879114493727684 * x0) * ((-110.2642364501953125) * x0)) + (-1.4756100177764893))) + 1.6358861923217773) / exp(exp((((-1.3751174211502075) * x1) * (0.7306602597236633 * x1))))) - (exp((((0.0290526524186134 * x0) * ((-29.7418365478515625) * x0)) + 0.1625563055276871)) + (-0.3440066277980804))))),0.22864008270232224*exp(-9.693488840318309485*x0**2 - exp(-1.0047436520881447*x1**2)) + 0.34400976842221091 + 1.635892432732362*exp(-exp(-1.0047436520881447*x1**2)) - 1.1765190489038249*exp(-0.8640792395159440872*x0**2),saturated,460.325584,39,12,31,8,100,112,56,2,77,(1.0000038146972656 * (0.3440084561340939 + (((exp(((-9.69348884031831 * (x0 * x0)) + -1.4756100177764893)) + 1.6358861923217773) / exp(exp((-1.0047436520881448 * (x1 * x1))))) - exp(((-0.8640792395159441 * (x0 * x0)) + 0.1625563055276871))))),saturated,417.383875,38,9,38,9,719,750,203,1,107,((((0.22864008270232225 * exp(((-9.69348884031831 * (x0 ** 2.0)) - exp((-1.0047436520881448 * (x1 ** 2.0)))))) + 0.3440097684222109) + (1.635892432732362 * exp((-1.0 * exp((-1.0047436520881448 * (x1 ** 2.0))))))) - (1.1765190489038249 * exp((-0.8640792395159441 * (x0 ** 2.0)))))
pagie,54,EPLEX,EPLEX,25,1,kept,11.0,7.0,(exp((-0.772^2))-(-0.16+(exp((plog(-0.598)*((x1-(x1-(exp(plog((plog((plog((x0*(-0.413^3)))*(-0.543^3)))+(exp((-0.33*((0.032+((x1-(x1*(exp(plog((exp(plog(exp(plog((x0*(-0.371^2))))))*(-0.774^2))))*(-0.543^2))))^2))-plog((x0*(-0.735^3))))))^2))))^2)))^2)))^3))),0.711020095242334 - 1.0*exp(3*plog(-0.598)*exp(4*plog(plog(-0.160103007*plog(-0.070444997*x0)) + 0.979101465343806*exp(-0.05737771564866*x1**2*exp(2*plog(-0.599076*exp(plog(exp(plog(-0.137641*x0)))))) - 0.38920068*x1**2*exp(plog(-0.599076*exp(plog(exp(plog(-0.137641*x0)))))) - 0.66*x1**2 + 0.66*plog(-0.397065375*x0))))),saturated,4105.166291,96,18,45,7,152,168,82,2,110,(0.7110200952423344 - (exp((-0.5141645250315053 * ((abs((log((abs(log(abs((x0 * -0.070444997)))) * 0.16010300700000005)) + (exp((-0.33 * ((0.9556543393079011 + ((x1 - (x1 * (-0.024312487745842885 * abs(abs(abs(x0)))))) ** 2.0)) - log(abs(x0))))) ** 2.0))) ** 2.0) ** 2.0))) ** 3.0)),saturated,18881.266708,86,18,56,13,182,204,105,2,131,(0.711020095242334 - exp((-1.542493575094516 * exp((4.0 * log(abs((log((0.160103007 * abs(log(abs((-0.070444997 * x0)))))) + (0.979101465343806 * exp((-0.05737771564866 * (((x1 ** 2.0) * (exp((2.0 * log((0.08245741971600001 * abs(abs(abs(x0))))))) + (0.5593196498275389 * (abs(abs(abs(x0))) + 20.565563064828417)))) + (-11.502723531925998 * log(abs((-0.397065375 * x0))))))))))))))))
pagie,119,GOMEA,GOMEA,30,1,kept,4.0,4.0,1.983784-1.077004*((exp(((x1*x1)*(-17.973000+17.206000)))+exp(((-1.143000+0.306000)*(x0*x0))))),1.983784 - 1.077004*exp(-0.766999999999999*x1**2) - 1.077004*exp(-0.837*x0**2),saturated,274.734209,21,6,17,4,48,54,28,2,41,(1.077004 * ((1.8419467337168662 - exp(((x1 * x1) * -0.7669999999999995))) - exp((-0.837 * (x0 * x0))))),saturated,5095.197250,19,5,17,4,41,48,29,2,49,(1.077004 * ((1.8419467337168662 - exp((-0.766999999999999 * (x1 ** 2.0)))) - exp((-0.837 * (x0 ** 2.0)))))
pagie,117,GOMEA,GOMEA,28,1,kept,2.0,2.0,1.950390-1.109849*((exp(((x0-x0)-(x1*x1)))+exp(((x0-x0)-(x0*x0))))),1.95039 - 1.109849*exp(-x1**2) - 1.109849*exp(-x0**2),saturated,293.231833,21,2,17,4,50,56,28,2,41,(1.109849 * ((1.7573471706511425 - exp((-1.0 * (x1 * x1)))) - exp((-1.0 * (x0 * x0))))),saturated,6202.910917,19,5,17,4,38,44,26,2,49,(1.109849 * ((1.7573471706511425 - exp((-1.0 * (x1 ** 2.0)))) - exp((-1.0 * (x0 ** 2.0)))))
pagie,123,Operon,Operon,4,1,kept,13.0,8.0,(0.0130726965144277 + (0.9919041991233826 * (exp(((((58.9215812683105469 * x0) * exp((((-5.0386314392089844) * x1) * (2.4705743789672852 * x1)))) + (log(((0.4419521391391754 * x0) * (0.1393797099590302 * x0))) / (0.0113436263054609 * x0))) / (381.6167297363281250 * x0))) - (exp(((((-0.8848519921302795) * x1) * (0.9313139915466309 * x1)) + 0.1248256787657738)) + (-0.9970148205757141))))),0.9919041991233826*exp(0.1543998904582130231*exp(-12.448313738768775*x1**2) + 0.2310046294243750492*log(x0**2)/x0**2 - 0.6438346264391826885/x0**2) + 1.002015883631724 - 1.123778793245288*exp(-0.8240750407188386*x1**2),saturated,353.862125,47,13,37,8,123,135,63,2,86,(0.9919041991233826 * (1.0101942148417944 + (exp(((0.154399890458213 / x0) * ((exp((-12.448313738768775 * (x1 * x1))) * x0) + (log((0.061599160968991234 * (x0 * x0))) * (1.4961450344221223 / x0))))) - exp(((-0.8240750407188386 * (x1 * x1)) + 0.1248256787657738))))),saturated,309.693375,39,8,39,8,226,248,109,2,109,(((0.9919041991233826 * exp((((0.15439989045821303 * exp((-12.448313738768775 * (x1 ** 2.0)))) + (log((x0 ** 2.0)) * (0.23100462942437505 / (x0 ** 2.0)))) - (0.6438346264391827 / (x0 ** 2.0))))) + 1.002015883631724) - (1.123778793245288 * exp((-0.8240750407188386 * (x1 ** 2.0)))))
pagie,122,Operon,Operon,3,1,kept,13.0,7.0,(0.0000011243114386 + (0.9999998211860657 * (((((-1.5812002420425415) + exp((((-0.1428712755441666) * x1) * (6.4702811241149902 * x1)))) + exp(((0.0134312557056546 * x0) * ((-68.7404861450195312) * x0)))) * (-1.2517620325088501)) - ((exp((((-0.0396961532533169) * x1) * (152.2495422363281250 * x1))) + exp(((1.0955569744110107 * x0) * ((-5.6038808822631836) * x0)))) * (-0.2742688059806824))))),1.9792871991701026 + 0.2742687569375981*exp(-6.043721161360625488*x1**2) - 1.2517618086763563*exp(-0.9244173173316527744*x1**2) + 0.2742687569375981*exp(-6.1393707843319587*x0**2) - 1.2517618086763563*exp(-0.923271046744764579*x0**2),saturated,346.624125,45,13,33,7,158,168,60,2,76,(-1.2517618086763562 * ((-1.5812011402257509 + (exp((-0.9232710467447646 * (x0 * x0))) + exp((-0.9244173173316528 * (x1 * x1))))) + (-0.21910618700503146 * (exp((-6.043721161360626 * (x1 * x1))) + exp((-6.139370784331959 * (x0 * x0))))))),saturated,2501.335125,37,9,33,7,173,186,71,2,92,((-1.2517618086763562 * (exp((-0.9232710467447646 * (x0 ** 2.0))) + exp((-0.9244173173316528 * (x1 ** 2.0))))) + (0.2742687569375981 * (exp((-6.139370784331959 * (x0 ** 2.0))) + (exp((-6.043721161360626 * (x1 ** 2.0))) + 7.216597403474695))))
pagie,126,Operon,Operon,7,1,kept,12.0,7.0,(0.0028247879818082 + (0.9984024167060852 * (0.7176343202590942 - ((exp(((4.5870537757873535 * x1) * ((-0.0708576515316963) * x1))) / ((((-2.5320065021514893) * x1) * ((-0.5026428699493408) * x1)) + exp((((-1.5353101491928101) * x1) * (1.0705516338348389 * x1))))) + ((-3.4508912563323975) / exp(exp(exp(((1.6964559555053711 * x0) * ((-0.5267499089241028) * x0)))))))))),0.7193126276397166 + 3.4453781701121642*exp(-exp(exp(-0.89360802005620601*x0**2))) - 0.9984024167060852*exp(-0.32502785800189209*x1**2)/(1.2726950149718163*x1**2 + exp(-1.6436287886615731*x1**2)),saturated,373.768917,44,12,36,8,107,118,57,2,84,(0.0028247879818082 + (0.9984024167060852 * (0.7176343202590942 - ((exp((-0.3250278580018921 * (x1 * x1))) / ((1.2726950149718164 * (x1 * x1)) + exp((-1.643628788661573 * (x1 * x1))))) + (-3.4508912563323975 / exp(exp(exp((-0.893608020056206 * (x0 * x0)))))))))),saturated,306.157458,36,8,36,8,200,217,90,1,100,((0.7193126276397166 + (3.445378170112164 * exp((-1.0 * exp(exp((-0.893608020056206 * (x0 ** 2.0)))))))) - ((0.9984024167060852 * exp((-0.3250278580018921 * (x1 ** 2.0)))) / ((1.2726950149718164 * (x1 ** 2.0)) + exp((-1.643628788661573 * (x1 ** 2.0))))))
