dataset,raw_index,algorithm_raw,algo_row,input_kind,status,runtime_ms,before_nodes,before_params,after_nodes,after_params,peak_rss_mb,rendered
pagie,148,Operon,29,original,saturated,0.0,45.0,13.0,33.0,7.0,514.140625,0.27481172308339913 * (exp(-6.016643148103924 * (x1 * x1)) + exp(-6.1121651226575295 * (x0 * x0)) + (exp(x1 * x1 * -0.9248323557058029) + exp(x0 * x0 * -0.9236773700316121)) * -4.557432371247945 + 7.202264707597524)
pagie,148,Operon,29,sympy,saturated,0.0,45.0,13.0,29.0,7.0,487.15625,1.2524358427787092 * (1.5803338636543183 - exp(x1 ** 2.0 * -0.924832355705803) + ((exp(x1 ** 2.0 * -6.016643148103924) + exp(x0 ** 2.0 * -6.1121651226575295)) * 0.219421796867207 - exp(x0 ** 2.0 * -0.9236773700316121)))
pagie,149,Operon,30,original,saturated,0.001,45.0,13.0,33.0,7.0,471.90625,-1.1042242986546853 * (exp(-0.790897509308948 * (x0 * x0)) + ((exp(-15.878773379768061 * (x1 * x1)) + exp(x0 * x0 * -27.99388909517438)) * -0.0849393755197525 + exp(x1 * x1 * -0.7928157011641793) + -1.802012973831642))
pagie,149,Operon,30,sympy,saturated,0.0,45.0,13.0,33.0,7.0,495.921875,-1.1042242986546853 * (exp(-0.790897509308948 * (x0 * x0)) + ((exp(-15.878773379768061 * (x1 * x1)) + exp(x0 * x0 * -27.99388909517438)) * -0.0849393755197525 + exp(x1 * x1 * -0.7928157011641793) + -1.802012973831642))
pagie,150,SBP,1,original,saturated,0.001,1.0,1.0,1.0,1.0,472.171875,0.004376
pagie,150,SBP,1,sympy,saturated,0.0,1.0,1.0,1.0,1.0,472.15625,0.004376
pagie,151,SBP,2,original,saturated,0.0,30.0,6.0,26.0,5.0,490.96875,0.166642 - 0.018385 * (x1 * (x0 + (x1 + (x1 + -5.488) * (x1 + 0.546))) + x0 * x0 + exp(x0 * -13.828))
pagie,151,SBP,2,sympy,saturated,0.0,40.0,10.0,27.0,5.0,566.171875,-0.018385 * (x1 ** 3.0 + (x0 ** 2.0 + x1 * x0) + (exp(x0 * -13.828) + -9.064019581180311 + (x1 + x1 ** 2.0 * 1.3155576202223433) * -2.996448))
pagie,152,SBP,3,original,saturated,0.001,28.0,5.0,26.0,5.0,500.140625,0.084583 - 0.012464 * (x1 + (exp(x1) - x0 * (x1 - 1.179)) + x1 * (-17.342 - x0 * (x1 - 3.045 - x0)))
pagie,152,SBP,3,sympy,saturated,0.001,36.0,9.0,25.0,5.0,503.171875,0.012464 * (x1 * (x0 * (x1 - 3.045) + (16.342 - x0 ** 2.0)) + (x0 * (x1 - 1.179) - exp(x1))) + 0.084583
pagie,153,SBP,4,original,saturated,0.0,10.0,3.0,10.0,3.0,491.15625,-0.000465 + 0.164361 * exp(x0 * (2.011 - x0))
pagie,153,SBP,4,sympy,saturated,0.001,14.0,4.0,11.0,3.0,491.96875,0.164361 * exp(x0 * 2.011 - x0 ** 2.0) + -0.000465
pagie,154,SBP,5,original,saturated,0.001,31.0,9.0,29.0,8.0,488.890625,0.018176 + 0.001712 * ((18.954 - 8.935 * x0) * (x0 * (x0 - 5.12) * (x0 - 4.881)) + x1 - x1 * 18.328 * (x1 - 4.881))
pagie,154,SBP,5,sympy,saturated,0.001,33.0,10.0,25.0,7.0,488.9375,x0 * ((x0 - 4.881) * ((x0 - 5.12) * (x0 - 2.1213206491326244) * -0.015296720000000001)) + (0.018176 + x1 * (-0.031377536 * (x1 + -4.935561326931471)))
pagie,155,SBP,6,original,saturated,0.001,1.0,1.0,1.0,1.0,491.125,0.012711
pagie,155,SBP,6,sympy,saturated,0.001,1.0,1.0,1.0,1.0,495.09375,0.012711
pagie,156,SBP,7,original,saturated,0.001,28.0,3.0,24.0,3.0,471.984375,0.007452 * (x0 + (15.150563607085346 + (x1 * 19.819 - exp(x1)) - x0 * (x0 * x1 + (x0 + (x0 - x1)))))
pagie,156,SBP,7,sympy,saturated,0.0,34.0,8.0,25.0,4.0,541.265625,0.007451999999999999 * (x0 + x1 * 19.819 - (x1 * x0 ** 2.0 + x0 * (x0 * 2.0 - x1)) - exp(x1)) + 0.112902
pagie,157,SBP,8,original,saturated,0.0,29.0,4.0,27.0,3.0,488.1875,0.230781 + 0.006661 * (x1 * x1 * (x0 - x1) - (x0 * x0 - x0 + -15.376000000000001) * (x1 + x0 - x0 * x0))
pagie,157,SBP,8,sympy,saturated,0.0,33.0,6.0,24.0,3.0,515.078125,0.006661 * (x1 ** 2.0 * (x0 - x1) + (x0 - x0 ** 2.0 + 15.376) * (x1 + (x0 - x0 ** 2.0))) + 0.23078099999999996
pagie,158,SBP,9,original,saturated,0.003,29.0,6.0,25.0,4.0,472.984375,-0.13547 + 0.008287 * (x1 * 15.772 - exp(x1) + exp(x0 - (x0 * x0 - (x1 + x0) + -2.998000000000001) - x1))
pagie,158,SBP,9,sympy,saturated,0.0,23.0,6.0,20.0,5.0,503.109375,0.16611627946935997 * exp(x0 * 2.0 - x0 ** 2.0) + (0.13070256399999997 * x1 - 0.008286999999999997 * exp(x1) + -0.13547)
pagie,159,SBP,10,original,saturated,0.001,28.0,6.0,28.0,6.0,500.171875,0.154306 - 0.001732 * (x0 * (-20.41 + 128926.78963076824 * (x0 + (x0 + (x0 + x1))) * (x0 + -1.883) * exp(-7.374 - x0)) - x1)
pagie,159,SBP,10,sympy,saturated,0.0,38.0,10.0,32.0,7.0,483.9375,((exp(x0) + (x0 - 1.883) * (x0 + x1 * 0.3333333333333325) * -11.888687430052634) * (x0 * 0.03535012) + exp(x0) * (x1 * 0.001732 + 0.154306)) * exp(x0 * -1.0)
pagie,160,SBP,11,original,saturated,0.001,29.0,5.0,23.0,4.0,508.125,-0.056784 - (x0 * x0 + (-2.6149999999999984 - x0 - (x0 + x0))) * (0.009562 * (x1 + 8.713 - x0 * x0))
pagie,160,SBP,11,sympy,saturated,0.001,25.0,7.0,19.0,5.0,489.140625,0.009562 * (x0 * 3.0 - x0 ** 2.0 + 2.615) * (x1 - x0 ** 2.0 + 8.713) - 0.056784
pagie,161,SBP,12,original,saturated,0.0,29.0,6.0,29.0,6.0,483.953125,0.667683 - 0.006309 * ((x0 * x0 - (x0 - exp(exp(exp(exp(x1) + 0.069 - x1) * -0.069)))) * ((x0 + -6.657) * (x0 + -6.908)))
pagie,161,SBP,12,sympy,saturated,0.001,33.0,8.0,26.0,5.0,472.9375,0.667683 - 0.006309 * (x0 - 6.908) * (x0 - 6.657) * (x0 ** 2.0 - x0 + exp(exp(exp(exp(x1) - x1) * -0.0739290984312359)))
pagie,163,SBP,13,original,saturated,0.001,29.0,5.0,27.0,4.0,503.15625,0.103875 + 0.01063 * (exp(x0) - x1 - exp(x1) + 7.894 * (x0 + x1 - x0 * x0 + (x1 + x0 * 0.35774005573853557)))
pagie,163,SBP,13,sympy,saturated,0.001,27.0,7.0,22.0,5.0,512.234375,-0.01063 * (exp(x1) - (exp(x0) + x1 * 14.787999999999998) + (x0 ** 2.0 + x0 * -1.3577400557385357) * 7.893999999999999) + 0.103875
pagie,164,SBP,14,original,saturated,0.001,26.0,5.0,26.0,5.0,490.203125,0.001352 + 0.001458 * (exp(x0 + (x0 + 2.705) - x0 * x0) * (6.369433658159443e-06 - x1 * (x1 + x1 - 10.429) - x1))
pagie,164,SBP,14,sympy,saturated,0.0,33.0,9.0,25.0,6.0,489.0,(-0.043606787469574 * (x1 * (x1 + -4.7145)) + (0.001352 * exp(x0 * (x0 - 2.0)) + 1.38875269916455e-07)) * exp(x0 * (2.0 - x0))
pagie,165,SBP,15,original,saturated,0.001,29.0,6.0,27.0,5.0,485.0,0.01085 * ((x0 * x0 - (x0 + -6.659)) * (x0 + -12.488) + (exp(x0) - x0 + (x1 * 14.814 - exp(x1) + 91.40605069124423)))
pagie,165,SBP,15,sympy,saturated,0.0,31.0,7.0,25.0,5.0,489.953125,0.01085 * (exp(x0) + (x0 ** 3.0 - x0 ** 2.0 * 13.488 + x0 * 18.147000000000002 + x1 * 14.814) - exp(x1)) + 0.0894957768
pagie,166,SBP,16,original,saturated,0.001,26.0,4.0,26.0,4.0,472.953125,0.040499 - 0.003093 * (x0 - exp(x0 + (x1 * (x1 + (4.7867879409158505 + x1 * -1.785)) + (x0 - x1) - x0 * x0)))
pagie,166,SBP,16,sympy,saturated,0.001,30.0,8.0,22.0,5.0,484.984375,0.0030929999999999994 * (exp(x0 * 2.0 - x0 ** 2.0 - 0.785 * x1 ** 2.0 + x1 * 3.7867879409158496) - x0) + 0.040499
pagie,167,SBP,17,original,saturated,0.0,29.0,4.0,29.0,4.0,488.1875,-0.065845 - 0.048266 * (x0 - (x1 + x1) - (x1 + (x1 + (x1 + (3.579 - x0) * (x0 * (3.247 - x0))) - x1 * x1)))
pagie,167,SBP,17,sympy,saturated,0.001,27.0,7.0,22.0,5.0,509.953125,0.04826599999999999 * (x0 * ((x0 - 3.579) * (x0 - 3.247)) - x0 - x1 ** 2.0) + (x1 * 0.24132999999999996 + -0.06584500000000001)
pagie,168,SBP,18,original,saturated,0.001,27.0,5.0,21.0,3.0,483.953125,0.024527 * (x0 + (x0 - (x0 * x0 + x1 * (x0 + x1 * (x1 - 4.494))) + 3865.6658752646445))
pagie,168,SBP,18,sympy,saturated,0.001,29.0,7.0,19.0,4.0,515.265625,0.024527 * (x1 ** 2.0 * (4.494 - x1) - (x0 ** 2.0 + x0 * (x1 + -2.0))) + 94.8131869230419
pagie,169,SBP,19,original,saturated,0.001,28.0,5.0,28.0,5.0,502.140625,0.012782 + 0.160826 * (exp(x0 * x0 - exp(x0)) * (2.825 + (x0 - x0 * (-13.585 - x0 + exp(2.825 - x1 * x1)))))
pagie,169,SBP,19,sympy,saturated,0.0,47.0,7.0,40.0,6.0,489.90625,(0.160826 * (exp(x0 ** 2.0 - exp(x0)) * (x0 * ((x0 + 13.585) * exp(x1 ** 2.0) - 16.860944986089) + exp(x1 ** 2.0) * (x0 + 2.825))) + exp(x1 ** 2.0) * 0.012782) * exp(x1 ** 2.0 * -1.0)
pagie,170,SBP,20,original,saturated,0.001,28.0,7.0,22.0,4.0,484.0,5.3e-05 + exp(x0 - x0 * x0) * (exp(x0) * -0.00822052) * (-4.180203042332545 + (exp(x1) + x1 * -15.599))
pagie,170,SBP,20,sympy,saturated,0.001,29.0,6.0,29.0,6.0,489.171875,((0.12823189148 * x1 - 0.00822052 * exp(x1) + 0.03436344271355549) * exp(x0) + 5.3e-05 * exp(x0 * (x0 - 0.9999999999999999))) * exp(x0 * (0.9999999999999999 - x0))
pagie,171,SBP,21,original,saturated,0.001,28.0,4.0,28.0,4.0,502.109375,0.028119 + 0.006351 * exp(x0 + x0 - x0 * x0 - (x0 + x1 + (-4.674 - x0)) * (x0 - x1 * -0.703 - x0))
pagie,171,SBP,21,sympy,saturated,0.0,24.0,6.0,20.0,5.0,508.09375,0.006351 * exp(x0 * 2.0 - x0 ** 2.0 - 0.703 * x1 ** 2.0 + x1 * 3.285822) + 0.028119
pagie,172,SBP,22,original,saturated,0.0,31.0,7.0,29.0,6.0,510.140625,0.179028 - 0.00963 * (exp(x0 * -15.767) + (exp(x1) - x0 * (18.776 + x0 * (x0 + (x0 + x0) - 18.776)) - x1 * 14.972))
pagie,172,SBP,22,sympy,saturated,0.0,35.0,9.0,27.0,6.0,523.3125,-0.18081288000000004 * (x0 ** 2.0 - (x0 + x0 ** 3.0 * 0.1597784405624201)) + (0.14418035999999998 * x1 + 0.17902799999999996) - 0.00963 * (exp(x1) + exp(x0 * -15.767000000000001))
pagie,173,SBP,23,original,saturated,0.001,29.0,4.0,29.0,4.0,490.9375,0.008754 - 1.6e-05 * (exp(x1) + (exp(x1) - exp(x0 + (10.503 - (exp(exp(x1 * (0.239 - x1))) + x0 * x0)))) * exp(x0))
pagie,173,SBP,23,sympy,saturated,0.001,40.0,9.0,30.0,5.0,489.15625,-1.6e-05 * (exp(x1) + exp(x1 + x0)) + (0.582793804249181 * exp(x0 * 2.0 - x0 ** 2.0 - exp(exp(x1 * 0.23899999999999996 - x1 ** 2.0))) + 0.008753999999999998)
pagie,174,SBP,24,original,saturated,0.001,27.0,5.0,25.0,4.0,472.9375,0.036923 + x1 * (exp(x0 + (x0 + x0) - exp(x0)) * ((x1 + -7.835) * (x1 * (x1 + -4.256542256542257)))) * 0.009680643
pagie,174,SBP,24,sympy,saturated,0.001,25.0,6.0,22.0,5.0,472.953125,0.009680643 * (x1 ** 2.0 * ((x1 - 7.835) * (x1 - 4.256542256542257))) * exp(3.0 * x0 - exp(x0)) + 0.036923
pagie,175,SBP,25,original,saturated,0.001,29.0,5.0,29.0,5.0,488.90625,0.015024 + 291401.986945 * (exp(-17.803 + x0) * (x1 * (x1 - 6.944)) * (x1 + x1 * (x1 - 5.3)) * exp(x0 - x0 * x0))
pagie,175,SBP,25,sympy,saturated,0.0,32.0,6.0,31.0,6.0,488.96875,(0.00540440450573385 * x1 ** 2.0 * (x1 - 6.944) * (x1 - 4.3) * exp(x0) + 0.015024 * exp(x0 * (x0 - 1.0))) * exp(x0 * (1.0 - x0))
pagie,176,SBP,26,original,saturated,0.0,28.0,6.0,28.0,6.0,488.140625,-0.06855 + 0.001527 * (x0 * exp(x0 + 5.699 - x0 * x0) + x1 * (9.142 + (48.91088652373189 - (exp(x1) - exp(x0 * -16.248)))))
pagie,176,SBP,26,sympy,saturated,0.0,36.0,8.0,25.0,5.0,488.984375,0.455914378864642 * x0 * exp(x0 - x0 ** 2.0) + (-0.06855000000000001 + 0.001527 * x1 * (exp(x0 * -16.248) + 58.05288652373189 - exp(x1)))
pagie,177,SBP,27,original,saturated,0.001,27.0,6.0,25.0,5.0,507.078125,-4e-05 + 0.0079 * ((x1 + ((x1 + 2.278) * 15.139 - exp(x1) + -30.57)) * exp(x0 + x0 - x0 * x0))
pagie,177,SBP,27,sympy,saturated,0.001,26.0,6.0,26.0,6.0,507.078125,(0.1274981 * x1 - 0.0079 * exp(x1) - 4e-05 * exp(x0 * (x0 - 2.0)) + 0.0309414718) * exp(x0 * (2.0 - x0))
pagie,178,SBP,28,original,saturated,0.0,28.0,6.0,28.0,6.0,465.1875,0.353732 - 0.01134 * (exp(4.034 - exp(x0) - (x0 + -0.257)) + (exp(x1) + x1 * (x0 + -12.363 - x1)) + x0 * 11.508)
pagie,178,SBP,28,sympy,saturated,0.001,38.0,9.0,29.0,6.0,485.15625,-0.011340000000000001 * (x0 * (x1 + 11.508) - x1 ** 2.0 + (exp(x1) + x1 * -12.363)) + (0.35373199999999994 + exp(x0 * -1.0 - exp(x0)) * -0.828267606396439)
pagie,179,SBP,29,original,saturated,0.0,28.0,6.0,28.0,6.0,503.046875,0.105238 - 0.004516 * (x0 - x0 * (x1 + x1 * (x1 - 5.432)) * (x0 - x1 - 3.749) * (exp(2.638 - x0) - 1.033))
pagie,179,SBP,29,sympy,saturated,0.001,38.0,9.0,34.0,7.0,472.9375,((exp(x0) - 13.538436794046856) * (x0 * x1) * ((x1 - 4.432) * 0.004665028) * (x1 - x0 + 3.749) + exp(x0) * (0.105238 - x0 * 0.004516)) * exp(x0 * -1.0)
pagie,180,SRjl,1,original,saturated,0.0,46.0,13.0,34.0,7.0,513.984375,1.059245011980159 * (exp(-5.8345976856156 / (x1 / 0.24351267979731375 * (x1 + x1))) - (exp(x0 * ((x0 + x0 / 1.766673822805128) * -0.49092178828863786)) + x1 * ((x1 + exp(x1)) * 7.37564672370366e-05)) + 0.9475575264341133)
pagie,180,SRjl,1,sympy,saturated,0.0,38.0,10.0,25.0,5.0,489.21875,-7.812617002210905e-05 * (x1 ** 2.0 + x1 * exp(x1)) - 1.059245011980159 * (exp(x0 ** 2.0 * -0.7688009202209555) + (-0.9475575264341133 - exp(-0.7103992589817297 / x1 ** 2.0)))
pagie,181,SRjl,2,original,saturated,0.001,39.0,9.0,37.0,8.0,483.9375,(exp(-0.6800369216801702 * (x0 / (x0 * (x0 * x0)))) - exp(x1 * (0.031646250254694995 / x1 - x1) * 0.7356976269859291)) / 0.9595286921357497 + (1.0189821492909057 + (exp(x0 * -1.1652031868955401) + exp(x0) / 0.3577168125819259) * -9.500013495936925e-05)
pagie,181,SRjl,2,sympy,saturated,0.001,39.0,12.0,29.0,8.0,488.9375,1.0189821492909057 - 0.0002655735811623668 * exp(x0) - 1.066727053275426 * exp(x1 ** 2.0 * -0.7356976269859291) + (1.0421783196229057 * exp(-0.68003692168017 / x0 ** 2.0) + exp(x0 * -1.1652031868955401) * -9.500013495936925e-05)
pagie,182,SRjl,3,original,saturated,0.0,35.0,10.0,31.0,8.0,488.109375,(exp(x1 * (x1 / -1.1526895432904412) - 0.0971555180477808) * -0.7499061083076463 + 1.1526895432904412) * (exp(log(x1 * x1) + -77.38897530458758) + 0.1560929128293564 * (log(x0 * (x0 + 0.0034420466463509335)) + 8.440939992393519))
pagie,182,SRjl,3,sympy,saturated,0.0,36.0,9.0,29.0,7.0,498.046875,0.17992666840014546 * ((exp(0.8675362814044646 * x1 ** 2.0) - 0.5903375822827533) * (log(x0 * (x0 + 0.0034420466463509335)) + x1 ** 2.0 * 1.574025921144015e-33 + 8.440939992393517)) * exp(x1 ** 2.0 * -0.8675362814044646)
pagie,183,SRjl,4,original,saturated,0.0,41.0,12.0,31.0,8.0,503.21875,(log(exp(x0 * x0 - 1.5960988818854747) + 2.038057969841441) * -0.01202053853986061 + (log(x0 * x0 + 0.04513019797782104) * 0.2138739307078718 - (exp(x1 * (x1 * -0.7571275768495004)) + -1.4351742278641733))) / 0.925475971680782
pagie,183,SRjl,4,sympy,saturated,0.001,33.0,9.0,26.0,7.0,513.125,0.23109614647201435 * log(x0 ** 2.0 + 0.04513019797782104) - -0.01298849338900694 * (120.98960384882811 - log(exp(x0 ** 2.0) + 10.055263821850678)) + exp(x1 ** 2.0 * -0.7571275768495004) * -1.08052508179534
pagie,184,SRjl,5,original,saturated,0.001,42.0,10.0,36.0,9.0,483.921875,(1.2970116211177067 - exp(0.09432994685391581 + x0 * (x0 * -0.7382751656820474)) + (0.7382751656820474 + log(x1 * (x1 * (x0 * x0)))) * -0.004679849233518443 - exp(0.07743331735052479 - x1 * x1 / 1.2970116211177067) + 0.7157260145245514) / 0.9972373150183798
pagie,184,SRjl,5,sympy,saturated,0.001,36.0,9.0,26.0,6.0,500.25,2.0148490122804747 - 0.00469281400027855 * log(x0 ** 2.0 * x1 ** 2.0) - 1.0835035577813301 * exp(x1 ** 2.0 * -0.7710031149437541) + exp(x0 ** 2.0 * -0.7382751656820474) * -1.1019666587915573
pagie,185,SRjl,6,original,saturated,0.001,33.0,6.0,29.0,4.0,503.140625,-1.6951225737003925 / log(x1 * (x0 * (x1 * x0)) + 2.734100844390089) - x0 * (x0 * (2.2904387076672252 / exp(x0 * (x0 + (x0 + x0))))) + 2.313793445234176
pagie,185,SRjl,6,sympy,saturated,0.001,31.0,7.0,23.0,5.0,503.125,2.313793445234176 - 2.2904387076672257 * x0 ** 2.0 * exp(x0 ** 2.0 * -3.0) - 1.6951225737003925 / log(x0 ** 2.0 * x1 ** 2.0 + 2.734100844390089)
pagie,186,SRjl,7,original,saturated,0.001,28.0,9.0,24.0,7.0,483.96875,(x0 / (x0 + 0.8817700163671683 / x0) - -0.12938791808599362 * (5.977129644752898 - exp(x1 * (x1 - 0.006745099328406078) / -1.2966942994598796 + 1.9637732651325928))) * 1.1730088067679376
pagie,186,SRjl,7,sympy,saturated,0.001,24.0,7.0,22.0,6.0,512.15625,1.1730088067679376 * x0 / (x0 + 0.8817700163671683 / x0) + 0.9071678981699213 - 1.0815606806210452 * exp(0.7711917916324121 * (x1 * (0.006745099328406078 - x1)))
pagie,187,SRjl,8,original,saturated,0.001,39.0,12.0,31.0,8.0,482.96875,x1 * (((exp(x1 / 0.5200302571681737) + -1740.692655510211) * 0.00043711701068250707 - (x1 + x1)) * -0.01678009749053508) + (1.5670846312844398 - 0.33156206779067426 / (exp(x0 - x0 * 0.15386300249386345) - x0 - 0.6900466132119617))
pagie,187,SRjl,8,sympy,saturated,0.001,38.0,11.0,36.0,10.0,503.171875,0.03356019498107015 * (((x0 - exp(x0 * 0.8461369975061366) + 0.6900466132119617) * (x1 * (x1 - exp(x1 * 1.922965031776233) * 0.00021855850534125353 + 0.3804431850468092) + 46.69474155821693) + 9.87962280844) / (x0 - exp(x0 * 0.8461369975061366) + 0.6900466132119617))
pagie,188,SRjl,9,original,saturated,0.001,37.0,12.0,27.0,7.0,490.953125,(exp(-0.6799873725057032 / x1 / x1) - (exp(x0 * x0 * -0.7888444653799256 + 4.479183644869181) + x1 * (x1 * 0.1732097704838402)) * 0.011549818802024051) * 1.0754711582642456 + 0.9996231130870493
pagie,188,SRjl,9,sympy,saturated,0.001,31.0,9.0,22.0,6.0,486.953125,0.9996231130870493 - 0.002151524645259316 * x1 ** 2.0 + 1.0754711582642456 * exp(-0.6799873725057032 / x1 ** 2.0) - 1.0951123567545757 * exp(x0 ** 2.0 * -0.7888444653799255)
pagie,189,SRjl,10,original,saturated,0.0,38.0,10.0,30.0,6.0,487.015625,exp(-1.2342630257966531 / (x0 * x0) / (x0 * x0 + 0.9482559484212596)) - exp(x1 * x1 * -0.7750715540775749) - -0.06575461098639744 * (15.059855411687186 - exp(x1 * x1 * -0.9557223147859552))
pagie,189,SRjl,10,sympy,saturated,0.0,36.0,9.0,26.0,6.0,541.90625,0.9902549341068831 + exp(-1.2342630257966531 / (x0 ** 2.0 * (x0 ** 2.0 + 0.9482559484212596))) - 0.06575461098639744 * exp(x1 ** 2.0 * -0.9557223147859552) - exp(x1 ** 2.0 * -0.7750715540775748)
pagie,190,SRjl,11,original,saturated,0.001,33.0,11.0,27.0,8.0,502.078125,((exp(x1 * x1 * -0.7853541869763665) + 0.11663831509104947) * 29.02129148555034 - log((x0 + x0) * (x0 / 2.091840775928573) + 0.033936636251736194) / 0.18658509602397805 + -45.005989363018465) * -0.036373334556940265
pagie,190,SRjl,11,sympy,saturated,0.001,23.0,7.0,17.0,5.0,489.125,-0.19494233640325664 * (-7.720960063733485 - log(x0 ** 2.0 + 0.03549501975461879)) - 1.0556011444784046 * exp(x1 ** 2.0 * -0.7853541869763665)
pagie,191,SRjl,12,original,saturated,0.001,41.0,12.0,33.0,8.0,490.96875,-1.4392532729062026 / (exp(x1 * x1 * 0.9529004740115692) + 0.34813533852278367) - -0.1710325412642745 * (log(x0 + x0 * x0 - (x0 - 0.0051862603098034015)) + 9.230315510140057) + x0 * (x0 - 0.30841745174291413) * -0.0033033491850604554
pagie,191,SRjl,12,sympy,saturated,0.001,48.0,15.0,35.0,10.0,483.984375,((exp(0.9529004740115692 * x1 ** 2.0) + 0.3481353385227837) * (log(x0 ** 2.0 + 0.0051862603098034015) - x0 * ((x0 - 0.30841745174291413) * 0.019314156011727715) + 9.230315510140056) + -8.415084417662428) * (0.1710325412642745 / (exp(0.9529004740115692 * x1 ** 2.0) + 0.3481353385227837))
pagie,192,SRjl,13,original,saturated,0.001,44.0,14.0,34.0,9.0,488.984375,(exp(-0.7138528763883562 / (x0 * x0) + 0.6575814106270943) + -0.13622209990515008 * (exp(x1 * x1 * -0.7676029866469878 + 2.722416367428707) - -0.5429551359989654 * (exp(x0 * (x0 * 0.06237773186828809 - x0)) + -26.787941635990656))) / 1.8907855438451246
pagie,192,SRjl,13,sympy,saturated,0.001,34.0,10.0,25.0,7.0,488.96875,1.047872847950701 - 1.096315876293016 * exp(x1 ** 2.0 * -0.7676029866469878) - 0.03911733354468873 * exp(x0 ** 2.0 * -0.9376222681317119) + 1.0208024526117152 * exp(-0.7138528763883562 / x0 ** 2.0)
pagie,193,SRjl,14,original,saturated,0.0,43.0,10.0,37.0,7.0,503.09375,0.16161018649279643 * (exp((x1 - x1 * x1) / 1.575969382631067) * (exp(x1) - 3.420986412671839) - exp(x0 * x0 * -1.1061008884785009 + 0.9294858119519605) + log(x1 * x1 * (x0 * x0) + 0.7689080393413198) + 7.325238819452281)
pagie,193,SRjl,14,sympy,saturated,0.001,50.0,12.0,40.0,9.0,507.21875,(0.16161018649279643 * (exp(x0 ** 2.0 * 1.1061008884785009) * (exp(x1 * 0.6345300936814577 * (1.0 - x1)) * (exp(x1) - 3.420986412671839) + (log(x0 ** 2.0 * x1 ** 2.0 + 0.7689080393413198) + 7.325238819452281))) + -0.4093919422901248) * exp(x0 ** 2.0 * -1.1061008884785009)
pagie,194,SRjl,15,original,saturated,0.0,41.0,13.0,35.0,10.0,509.078125,-0.23286325831953894 * ((exp((-1.670436101265653 - x0 * (x0 / -1.2316560639370748)) / -1.0062684513593303) + x1 * (x1 * 0.06168833043012687)) * 0.8906118899568379 - 0.044581091965639544 - log(x1 * (x1 + x1 * 0.9098927050263376) + 0.08608379716589984) + -6.040497737660902)
pagie,194,SRjl,15,sympy,saturated,0.0,31.0,9.0,22.0,6.0,491.0625,x1 ** 2.0 * -0.012793591371542026 - 0.23286325831953894 * (-6.732125894728303 - log(x1 ** 2.0 + 0.04507258284161714)) + exp(x0 ** 2.0 * -0.8068572277974526) * -1.0907656432382116
pagie,195,SRjl,16,original,saturated,0.001,34.0,6.0,30.0,4.0,503.171875,(exp(x1 * x1 - x0 * (x0 * 0.8007279658474732)) + x0 / x0) * exp(x1 - -0.0040510435189468905) / (exp(x1 + x1 * x1) * -0.9034860946314918) + 1.9705330543188384
pagie,195,SRjl,16,sympy,saturated,0.0,21.0,6.0,15.0,4.0,490.15625,1.9705330543188384 - 1.1113167829071582 * (exp(-1.0 * x1 ** 2.0) + exp(x0 ** 2.0 * -0.8007279658474733))
pagie,196,SRjl,17,original,saturated,0.001,42.0,5.0,42.0,5.0,485.484375,(exp(x0 * (x1 / (x0 / x1) - x0) + 0.5903025615190395) + x1 * x1 * (x0 / (x0 * exp(x1 * x1)) / 0.9318791503632365) - -1.6796817219281925) * (x0 / (x0 * exp(x1 * x1)) * -0.6168263431184461) + 1.9503833114546634
pagie,196,SRjl,17,sympy,saturated,0.0,36.0,9.0,28.0,7.0,513.296875,1.9503833114546634 - 0.6619166689994233 * x1 ** 2.0 * exp(x1 ** 2.0 * -2.0) - 1.0360719341398616 * exp(x1 ** 2.0 * -1.0) - 1.113084302832721 * exp(-1.0 * x0 ** 2.0)
pagie,197,SRjl,18,original,saturated,0.001,47.0,10.0,34.0,8.0,489.0,0.181649894795292 * (log(x1 * x1 + 0.9893514112972329) + (8.899401492646302 - (exp(1.758436573691409 - x0 * x0 * 0.761578950826381) + 0.05546144663419194 * (x1 * x1)) + -1.0 / exp(x1 * x1) * 4.201099129285349))
pagie,197,SRjl,18,sympy,saturated,0.0,38.0,10.0,30.0,8.0,488.203125,0.181649894795292 * log(x1 ** 2.0 + 0.9893514112972329) - x1 ** 2.0 * 0.010074565946295667 + 1.6165753448802653 - 0.7631292148592765 * exp(x1 ** 2.0 * -1.0) - 1.0541792206321656 * exp(x0 ** 2.0 * -0.761578950826381)
pagie,198,SRjl,19,original,saturated,0.001,42.0,12.0,36.0,9.0,487.171875,((log(x0 * x0 + 0.042323035445158724) + 0.34184968679845384) / 0.08854432768601415 / 0.17256272348446586 - x0 * x0 * log(x0 * x0)) * 0.0034387072741368023 + (exp(1.6192610045238203 - x1 * (x1 * 0.7535182129829733)) * -0.21285687998099875 + 1.4680328794621293)
pagie,198,SRjl,19,sympy,saturated,0.001,36.0,9.0,26.0,6.0,486.171875,x0 ** 2.0 * (log(x0 ** 2.0) * -0.0034387072741368045) - 0.22505438342569256 * (-6.864863622880434 - log(x0 ** 2.0 + 0.042323035445158724)) + exp(x1 ** 2.0 * -0.7535182129829733) * -1.07479048019174
