dataset,raw_index,algorithm_raw,algo_row,input_kind,status,runtime_ms,before_nodes,before_params,after_nodes,after_params,peak_rss_mb,rendered
pagie,120,Operon,1,original,saturated,0.0,39.0,12.0,31.0,8.0,491.046875,1.0000038146972656 * ((exp(-9.69348884031831 * (x0 * x0) + -1.4756100177764893) + 1.6358861923217773) / exp(exp(-1.0047436520881448 * (x1 * x1))) - exp(x0 * x0 * -0.8640792395159441 + 0.1625563055276871) + 0.3440084561340939)
pagie,120,Operon,1,sympy,saturated,0.001,46.0,13.0,34.0,9.0,514.265625,0.2286400827023222 * exp(x0 ** 2.0 * -9.69348884031831 - exp(x1 ** 2.0 * -1.0047436520881448)) + 0.3440097684222108 + 1.6358924327323616 * exp(exp(x1 ** 2.0 * -1.0047436520881448) * -1.0) - 1.1765190489038249 * exp(x0 ** 2.0 * -0.8640792395159441)
pagie,121,Operon,2,original,saturated,0.0,48.0,13.0,34.0,6.0,491.90625,1.0497297048568726 * (exp(-4.174885170550624 * (x0 * x0)) * (x0 * (x0 * x0) * (x0 * -2.5242308455470654)) - exp(x0 * x0 * -0.7991398186991816) - exp(-0.7451279080993636 * (x1 * x1)) + 1.8961472627378055)
pagie,121,Operon,2,sympy,saturated,0.001,40.0,11.0,26.0,6.0,510.078125,-1.0497297048568726 * (exp(x0 ** 2.0 * -0.7991398186991816) + (-1.8961472627378055 + (exp(x1 ** 2.0 * -0.7451279080993636) + exp(x0 ** 2.0 * -4.174885170550624) * (x0 ** 4.0 * 2.524230845547065))))
pagie,122,Operon,3,original,saturated,0.001,45.0,13.0,33.0,7.0,508.140625,1.2517618086763562 * (1.5812011402257509 - (exp(-0.9244173173316528 * (x1 * x1)) + (exp(-0.9232710467447646 * (x0 * x0)) + (exp(x1 * x1 * -6.043721161360626) + exp(x0 * x0 * -6.139370784331959)) * -0.21910618700503146)))
pagie,122,Operon,3,sympy,saturated,0.0,45.0,13.0,29.0,7.0,489.96875,1.2517618086763562 * (1.5812011402257509 - exp(x1 ** 2.0 * -0.9244173173316528) + ((exp(x1 ** 2.0 * -6.043721161360626) + exp(x0 ** 2.0 * -6.139370784331959)) * 0.21910618700503146 - exp(x0 ** 2.0 * -0.9232710467447646)))
pagie,123,Operon,4,original,saturated,0.0,47.0,13.0,37.0,8.0,484.921875,0.9919041991233826 * (exp((x0 * exp(-12.448313738768775 * (x1 * x1)) + log(0.061599160968991234 * (x0 * x0)) * (1.4961450344221223 / x0)) * (0.154399890458213 / x0)) - exp(x1 * x1 * -0.8240750407188386 + 0.1248256787657738) + 1.0101942148417944)
pagie,123,Operon,4,sympy,saturated,0.001,43.0,10.0,34.0,8.0,490.96875,0.9919041991233826 * exp(0.15439989045821303 * exp(x1 ** 2.0 * -12.448313738768775) + 0.23100462942437505 * log(x0 ** 2.0) / x0 ** 2.0 - 0.6438346264391827 / x0 ** 2.0) + 1.002015883631724 - 1.123778793245288 * exp(x1 ** 2.0 * -0.8240750407188386)
pagie,124,Operon,5,original,saturated,0.001,49.0,13.0,37.0,7.0,499.953125,1.0117771625518799 * (exp(-2.733019629829414 * (x1 * x1)) * (x1 * x1 * -0.8502565893153748) - (exp(x1 * x1 * -0.832937717513957) + exp(-0.5469027270358069 * (x0 * x0) / exp(x0 * x0 * -0.20081306471850446))) + 1.9524420922552503)
pagie,124,Operon,5,sympy,saturated,0.001,47.0,12.0,32.0,7.0,472.140625,-1.0117771625518799 * (exp(x1 ** 2.0 * -0.832937717513957) + (-1.9524420922552503 + (exp(x0 ** 2.0 * (exp(x0 ** 2.0 * 0.2008130647185045) * -0.5469027270358069)) + exp(x1 ** 2.0 * -2.733019629829414) * (x1 ** 2.0 * 0.8502565893153748))))
pagie,125,Operon,6,original,saturated,0.001,45.0,13.0,35.0,8.0,464.9375,0.9997187852859497 * (exp(-3.067361519194734 * (x0 * x0)) - (exp(exp(x0 * x0 * -0.9445906212118871) + 0.1448028236627579) + (1.004075288772583 + 1.20304278158779 * (x1 * x1)) / exp(x1 * (x1 * 1.4663050713484154))) + 3.1299151310007285)
pagie,125,Operon,6,sympy,saturated,0.001,52.0,14.0,31.0,8.0,464.96875,3.1290349528121624 + (exp(x1 ** 2.0 * -1.4663050713484154) * (-1.0037929280273659 - x1 ** 2.0 * 1.2027044682559755) - exp(x0 ** 2.0 * -3.067361519194734) * -0.9997187852859497) - 1.155486617848524 * exp(exp(x0 ** 2.0 * -0.9445906212118871))
pagie,126,Operon,7,original,saturated,0.0,44.0,12.0,36.0,8.0,496.0625,0.0028247879818082 + 0.9984024167060852 * (0.7176343202590942 - (exp(-0.3250278580018921 * (x1 * x1)) / (x1 * x1 * 1.2726950149718164 + exp(x1 * x1 * -1.643628788661573)) + -3.4508912563323975 / exp(exp(exp(-0.893608020056206 * (x0 * x0))))))
pagie,126,Operon,7,sympy,saturated,0.0,42.0,11.0,32.0,8.0,489.171875,0.7193126276397164 + 3.445378170112164 * exp(-1.0 * exp(exp(x0 ** 2.0 * -0.893608020056206))) - 0.9984024167060852 * exp(x1 ** 2.0 * -0.3250278580018921) / (x1 ** 2.0 * 1.2726950149718164 + exp(x1 ** 2.0 * -1.643628788661573))
pagie,127,Operon,8,original,saturated,0.0,49.0,13.0,39.0,8.0,492.203125,-0.0218773111701012 + 1.0134590864181519 * (-0.8115935722082384 * (x0 * x0) * exp(x0 * x0 * -2.670368883565345) + (1.9716572761535645 - exp(-0.5461441746109729 * (x1 * x1) * exp(x1 * x1 * 0.20825803203194762))) - exp(x0 * x0 * -0.8260930216501379))
pagie,127,Operon,8,sympy,saturated,0.001,47.0,12.0,32.0,7.0,483.265625,-1.0134590864181519 * (exp(x0 ** 2.0 * -0.8260930216501379) + (-1.9500705032257872 + (exp(x1 ** 2.0 * (exp(x1 ** 2.0 * 0.2082580320319476) * -0.5461441746109729)) + exp(x0 ** 2.0 * -2.670368883565345) * (x0 ** 2.0 * 0.8115935722082384))))
pagie,128,Operon,9,original,saturated,0.001,45.0,13.0,33.0,7.0,510.234375,0.2748080423663026 * (exp(-6.0170367718470175 * (x1 * x1)) + exp(-6.110889204701607 * (x0 * x0)) - (exp(x1 * x1 * -0.9248285706230632) + exp(x0 * x0 * -0.92366987184176)) * 4.5574965627320125 + 7.20236432919372)
pagie,128,Operon,9,sympy,saturated,0.001,45.0,13.0,29.0,7.0,488.90625,1.2524367084955372 * (1.5803334637900919 - exp(x1 ** 2.0 * -0.9248285706230635) + ((exp(x1 ** 2.0 * -6.017036771847018) + exp(x0 ** 2.0 * -6.110889204701608)) * 0.21941870635236319 - exp(x0 ** 2.0 * -0.9236698718417601)))
pagie,129,Operon,10,original,saturated,0.0,43.0,13.0,33.0,8.0,489.046875,1.009290099143982 / (0.6130810022262947 * (x0 * x0) - exp(x0 * x0 * 0.9505137513580948)) + (2.92272686958313 / (-1.952846646308899 - exp(1.417733629175126 * (x1 * x1))) + x1 * x1 * 0.0022220374055466887 + 1.9428681664364547)
pagie,129,Operon,10,sympy,saturated,0.001,33.0,8.0,29.0,8.0,534.234375,0.0022220374055466887 * x1 ** 2.0 + 1.9428681664364547 - 2.92272686958313 / (exp(x1 ** 2.0 * 1.417733629175126) + 1.952846646308899) + 1.009290099143982 / (0.6130810022262947 * x0 ** 2.0 - exp(x0 ** 2.0 * 0.9505137513580948))
pagie,130,Operon,11,original,saturated,0.001,41.0,13.0,31.0,8.0,491.109375,1.2255556680842972 * (exp(-1.7740323543548584 * exp(-1.1899171680740324 * (x1 * x1))) - exp(-0.9215727898026671 * (x0 * x0)) * 1.019851497499911 + (0.6124296884342743 + exp(x0 * x0 * -6.261617412291798) * 0.22435729894116463))
pagie,130,Operon,11,sympy,saturated,0.003,39.0,12.0,28.0,8.0,524.21875,0.750566675963725 + 1.225555668084297 * exp(exp(x1 ** 2.0 * -1.1899171680740324) * -1.7740323543548584) + 0.27496235939342734 * exp(x0 ** 2.0 * -6.261617412291798) - 1.2498847833652744 * exp(x0 ** 2.0 * -0.9215727898026671)
pagie,131,Operon,12,original,saturated,0.0,48.0,14.0,32.0,6.0,483.953125,-0.0001345924683847 + (x0 * x0 - log((x0 * x0 * (x0 * x0) + 0.04032877607032475) * (x1 * x1 * 573.5540504295212)) * ((x1 * x1 + -461.4577535941546) * -0.013294568501084911)) * -0.02867405909042241
pagie,131,Operon,12,sympy,saturated,0.001,32.0,8.0,24.0,6.0,489.15625,x0 ** 2.0 * -0.028674059090422407 - (x1 ** 2.0 - 461.4577535941546) * 0.00038120924278177724 * log(x1 ** 2.0 * (573.5540504295212 * x0 ** 4.0 + 23.13073286399991)) + -0.0001345924683847
pagie,132,Operon,13,original,saturated,0.0,41.0,12.0,35.0,9.0,487.171875,-8.47672417876e-05 + 1.0000656843185425 * (exp(-4.092103025955282 * (x1 * x1)) - (-1.5547065734863281 + -1.6497515439987183 / exp(exp(-1.00314195270495 * (x0 * x0)))) - exp(exp(-1.6148645877838135 + exp(0.56938636302948 + x1 * x1 * -0.5596784672873918))))
pagie,132,Operon,13,sympy,saturated,0.0,45.0,14.0,32.0,9.0,509.03125,1.0000656843185425 * (exp(x1 ** 2.0 * -4.092103025955282) + (1.5546218118120534 - exp(0.1989176044908414 * exp(1.767182310249908 * exp(x1 ** 2.0 * -0.5596784672873919))) + exp(-1.0 * exp(x0 ** 2.0 * -1.00314195270495)) * 1.6497515439987183))
pagie,133,Operon,14,original,saturated,0.001,47.0,13.0,37.0,8.0,488.9375,0.9968529939651489 * (exp(-3.5122388924378365 * (x1 * x1)) + x0 * -0.0001418351894245 - exp(x1 * x1 * -0.8149750775547346) - exp(x1 * x1 * -2.5008984856567618) + -1.072737455368042 * exp(-0.7690767994996578 * (x0 * x0)) + 1.9926821376144859)
pagie,133,Operon,14,sympy,saturated,0.003,51.0,15.0,33.0,8.0,489.015625,0.9968529939651488 * (exp(x1 ** 2.0 * -3.5122388924378365) + (x0 + -14049.278925066808) * -0.00014183518942449994 - exp(x1 ** 2.0 * -2.5008984856567618) - exp(x1 ** 2.0 * -0.8149750775547346)) + exp(x0 ** 2.0 * -0.7690767994996578) * -1.069361544122188
pagie,134,Operon,15,original,saturated,0.003,45.0,15.0,29.0,7.0,490.9375,-0.009788252341175882 * (x0 * x0 + ((x1 * x1 + 165.99479114520634 / (x1 * x1 + 1.2080326581103884) + 162.89497489770397 / (x0 * x0 + 1.186536134285651)) * 1.0144051369822908 + -258.7196837451166))
pagie,134,Operon,15,sympy,saturated,0.0,35.0,10.0,25.0,7.0,488.9375,x0 ** 2.0 * -0.009788252341175882 - 0.009929253456967749 * x1 ** 2.0 + 2.532413550126421 - 1.6482043538171796 / (x1 ** 2.0 + 1.2080326581103884) - 1.6174254926257021 / (x0 ** 2.0 + 1.186536134285651)
pagie,135,Operon,16,original,saturated,0.0,50.0,13.0,38.0,8.0,495.03125,0.0071523520164192 + 0.9955711960792542 * (x1 * (exp(-2.9506354999103657 * (x1 * x1)) * (x1 * -0.9880848971437344) + 1.9799170721159522 / (x1 - exp(-1.147938066230644 * (x0 * x0)) * (x1 * -1.0983364455978666))) - exp(x1 * x1 * -0.8161424508985464))
pagie,135,Operon,16,sympy,saturated,0.001,50.0,13.0,34.0,8.0,488.953125,1.794667212878693 * (x1 / (x1 * (exp(x0 ** 2.0 * -1.1479380662306442) + 0.9104678297874944))) + (exp(x1 ** 2.0 * -0.8161424508985464) * -0.9955711960792542 + (0.0071523520164192 - x1 ** 2.0 * 0.9837088628772344 * exp(x1 ** 2.0 * -2.9506354999103657)))
pagie,136,Operon,17,original,saturated,0.005,45.0,13.0,37.0,9.0,511.203125,0.0005329695995897 + 0.9996598958969116 * (2.9738872051239014 + exp(-3.09654807561373 * (x1 * x1)) - (1.1882727410061449 * (x0 * x0) + 1.0054689645767212) * exp(x0 * (x0 * -1.4556189044729706)) - exp(exp(x1 * x1 * -0.9223802266131381 + 0.0902468413114548)))
pagie,136,Operon,17,sympy,saturated,0.001,54.0,15.0,31.0,8.0,486.109375,2.973408743482906 - -0.9996598958969116 * (exp(x1 ** 2.0 * -3.09654807561373) - exp(1.09444440445747 * exp(x1 ** 2.0 * -0.9223802266131381))) + exp(x0 ** 2.0 * -1.4556189044729706) * (x0 ** 2.0 * -1.1878686045713407 + -1.0051270004563406)
pagie,137,Operon,18,original,saturated,0.001,45.0,14.0,31.0,7.0,482.0,(7963.069109938157 + ((24.277697647852335 + (log(x1 * x1 + 0.23847621165016322) + log(x0 * x0 + 0.213803510917648))) * (x1 * x1 + -363.2818393765012) + x0 * x0 * 28.582070257300213)) * -0.0010558793080580105
pagie,137,Operon,18,sympy,saturated,0.001,37.0,10.0,27.0,7.0,472.140625,x0 ** 2.0 * -0.030179216566143592 - (x1 ** 2.0 - 363.2818393765012) * 0.0010558793080580105 * (log(x0 ** 2.0 + 0.213803510917648) + (log(x1 ** 2.0 + 0.23847621165016322) + 24.277697647852335)) + -8.40803990181962
pagie,138,Operon,19,original,saturated,0.0,41.0,12.0,35.0,9.0,506.890625,-9.8704376796e-06 + 1.000001311302185 * (exp(exp(-0.1284630000591278 - exp(-1.1497881488206758 * (x0 * x0)))) - exp(0.2162327617406845 + -0.9204473768402301 * (x1 * x1)) - exp((-0.9399499893188477 - exp(x1 * x1 * -7.636802479922153)) * 0.8908159136772156))
pagie,138,Operon,19,sympy,saturated,0.0,45.0,14.0,34.0,10.0,518.125,1.000001311302185 * exp(0.8794461012701917 * exp(-1.0 * exp(x0 ** 2.0 * -1.1497881488206758))) + -9.8704376796e-06 - 0.4328685844136254 * exp(exp(x1 ** 2.0 * -7.636802479922153) * -0.8908159136772156) - 1.24139292161274 * exp(x1 ** 2.0 * -0.9204473768402301)
pagie,139,Operon,20,original,saturated,0.0,47.0,14.0,37.0,9.0,485.03125,1.0000001192092896 * (-0.00023523086565550004 * x0 + (exp(-1.4604050862753524 * (x1 * x1)) * ((x1 * x1 + 0.8464303072824536) * -1.186810345160357) + (exp(-1.4572517972248622 * (x0 * x0)) * (-1.0050251483917236 + x0 * x0 * -1.192581699883334) + 1.9712912913877296)))
pagie,139,Operon,20,sympy,saturated,0.001,59.0,15.0,31.0,8.0,514.109375,x0 * -0.0002352308936972044 + (1.971291526383965 + exp(x0 ** 2.0 * -1.4572517972248622) * (x0 ** 2.0 * -1.1925818420501513 + -1.0050252682000576)) + exp(x1 ** 2.0 * -1.4604050862753524) * (-1.0045523648920351 + x1 ** 2.0 * -1.186810486639175)
pagie,140,Operon,21,original,saturated,0.0,45.0,13.0,37.0,9.0,463.984375,0.0056000440381467 + 0.9965137243270874 * (0.7391300201416016 + exp(-3.002354952849999 * (x1 * x1)) * (x1 * x1 * -1.0026918256970403) - (exp(x1 * x1 * -0.8108351728643014) + exp(exp(-1.172909237152453 * (x0 * x0)) * -1.7264224290847778) * -1.239898443222046))
pagie,140,Operon,21,sympy,saturated,0.001,45.0,13.0,31.0,8.0,482.9375,0.7421532531714092 - 0.9991961655776844 * x1 ** 2.0 * exp(x1 ** 2.0 * -3.002354952849999) + 1.2355758154425587 * exp(exp(x0 ** 2.0 * -1.172909237152453) * -1.7264224290847778) - 0.9965137243270874 * exp(x1 ** 2.0 * -0.8108351728643014)
pagie,141,Operon,22,original,saturated,0.0,42.0,12.0,34.0,8.0,509.296875,0.0059260418638587 + 0.996351420879364 * (1.9877398014068604 + -1.002324727539394 * (x1 * x1) * exp(x1 * x1 * -2.9640713443683393) - exp(x1 * x1 * -0.8141271614763362) - exp(0.07124051495942774 + -0.7690586677411797 * (x0 * x0)))
pagie,141,Operon,22,sympy,saturated,0.001,40.0,11.0,28.0,7.0,484.109375,1.9864134173340489 - 0.9986676664663967 * x1 ** 2.0 * exp(x1 ** 2.0 * -2.9640713443683393) - 0.996351420879364 * exp(x1 ** 2.0 * -0.8141271614763362) + exp(x0 ** 2.0 * -0.7690586677411797) * -1.0699214810013096
pagie,142,Operon,23,original,saturated,0.0,45.0,13.0,37.0,9.0,466.109375,0.0007810645620339 + 0.9995014071464539 * ((-1.0057448148727417 + -1.1833916494599492 * (x0 * x0)) * exp(x0 * x0 * -1.4533873405792972) + (2.974963665008545 + exp(-0.3110347986221313 + -3.4778538936355403 * (x1 * x1))) - exp(exp(x1 * x1 * -0.8707305736688796)))
pagie,142,Operon,23,sympy,saturated,0.0,52.0,14.0,31.0,8.0,483.046875,0.7323230656900825 * exp(x1 ** 2.0 * -3.4778538936355403) + (2.9742614339476456 + exp(exp(x1 ** 2.0 * -0.8707305736688796)) * -0.999501407146454 + exp(x0 ** 2.0 * -1.4533873405792972) * (-1.005243357695555 - x0 ** 2.0 * 1.1828016188405823))
pagie,143,Operon,24,original,saturated,0.002,41.0,13.0,33.0,9.0,472.9375,0.996815025806427 * (exp(-0.7375680804252625 / (exp(0.7119062657958111 * (x1 * x1)) + -0.9434194564819336)) - exp(-0.919545700824074 * (x0 * x0) - (exp(x0 * x0 * -5.721728493860552 + -1.4147840738296509) + -0.2206120193004608)) + 0.9887357320694095)
pagie,143,Operon,24,sympy,saturated,0.0,41.0,13.0,30.0,9.0,541.15625,exp(x0 ** 2.0 * -0.9195457008240742 - 0.24297807310963718 * exp(x0 ** 2.0 * -5.721728493860552)) * -1.2428684351058072 + (0.9855866342785048 + 0.9968150258064269 * exp(-0.7375680804252625 / (exp(0.7119062657958111 * x1 ** 2.0) - 0.9434194564819336)))
pagie,144,Operon,25,original,saturated,0.001,45.0,13.0,33.0,7.0,500.21875,1.252270794171011 * ((exp(-6.024056870312506 * (x1 * x1)) + exp(-6.11650828416407 * (x0 * x0))) * 0.21933874388611657 - (exp(x1 * x1 * -0.9247245363287249) + exp(x0 * x0 * -0.9235606022212721)) + 1.580547187093814)
pagie,144,Operon,25,sympy,saturated,0.001,45.0,13.0,29.0,7.0,500.125,1.252270794171011 * (1.5805471870938137 - exp(x1 ** 2.0 * -0.924724536328725) + ((exp(x1 ** 2.0 * -6.024056870312506) + exp(x0 ** 2.0 * -6.1165082841640706)) * 0.2193387438861166 - exp(x0 ** 2.0 * -0.9235606022212721)))
pagie,145,Operon,26,original,saturated,0.0,41.0,12.0,33.0,8.0,489.1875,1.0001020431518555 * (exp(exp(-1.1727489207421724 * (x0 * x0)) * -1.723635196685791) * 1.24077308177948 + (exp(-4.085482216662968 * (x1 * x1)) - exp(exp(exp(x1 * x1 * -0.5573892208735457))) * 0.1594999134540558 + 1.173827200889657))
pagie,145,Operon,26,sympy,saturated,0.001,43.0,13.0,30.0,8.0,512.109375,exp(exp(exp(x1 ** 2.0 * -0.5573892208735457))) * -0.15951618932794537 + 1.17394698191697 + 1.2408996941754822 * exp(exp(x0 ** 2.0 * -1.1727489207421724) * -1.723635196685791) + 1.0001020431518552 * exp(x1 ** 2.0 * -4.085482216662968)
pagie,146,Operon,27,original,saturated,0.001,48.0,13.0,36.0,7.0,509.078125,-0.0639297738671303 + 1.0392827987670898 * (1.9780735969543457 + (exp(-5.505408518240529 * (x1 * x1)) * (-5.921650519847204 * (x1 * x1 * (x1 * x1))) - exp(x1 * x1 * -0.7949961492935529)) - exp(-0.7256260173647746 * (x0 * x0)))
pagie,146,Operon,27,sympy,saturated,0.0,40.0,11.0,26.0,6.0,489.15625,-1.0392827987670898 * (exp(x0 ** 2.0 * -0.7256260173647745) + (-1.9165602399133452 + (exp(x1 ** 2.0 * -0.7949961492935528) + exp(x1 ** 2.0 * -5.505408518240529) * (x1 ** 4.0 * 5.921650519847203))))
pagie,147,Operon,28,original,saturated,0.0,45.0,13.0,33.0,7.0,508.984375,-1.252473486488384 * (exp(-0.9248511602436906 * (x1 * x1)) + (exp(-0.9236924951393632 * (x0 * x0)) + (exp(x0 * x0 * -6.109688568050957) + exp(x1 * x1 * -6.015359564173792)) * -0.21943573921324933) + -1.5802864277070767)
pagie,147,Operon,28,sympy,saturated,0.0,45.0,13.0,29.0,7.0,488.984375,1.252473486488384 * (1.5802864277070763 - exp(x1 ** 2.0 * -0.9248511602436905) + ((exp(x1 ** 2.0 * -6.015359564173792) + exp(x0 ** 2.0 * -6.109688568050958)) * 0.2194357392132493 - exp(x0 ** 2.0 * -0.9236924951393634)))
