dataset,raw_index,algorithm_raw,algo_row,input_kind,algorithm,source_orig_parsed_expr,source_orig_parsed_n_params,source_before_nodes,n_rank,before_params,after_params,rank_gap,simpl_parsed_n_params,parsed_rank_gap,runtime_ms,peak_rss_mb,passes,egraph_total_size,egraph_nodes,eclass_count,extracted_cost,rendered
pagie,42,EPLEX,13,original,EPLEX,log(abs(log(abs(0.313 + log(abs(1.889 / (x1 / 0.459) + (x1 / 0.415) ** 3.0)))) / 0.492 + log(abs(0.694 + x0 ** 2.0)))),6.0,29.0,4.0,6.0,5.0,1.0,5.0,1.0,61.7459999921266,100.28125,2.0,39.0,na,na,27.0,log(abs(log(abs(0.313 + log(abs(0.867051 / x1 + (x1 / 0.415) ** 3.0)))) / 0.492 + log(abs(0.694 + x0 ** 2.0))))
pagie,161,SBP,12,original,SBP,0.667683 - 0.006309 * ((x0 * x0 - (x0 - exp(exp(exp(exp(x1) + 0.069 - x1) * -0.069)))) * ((-6.657 + x0) * (-6.908 + x0))),6.0,29.0,5.0,6.0,6.0,1.0,6.0,1.0,85.66133299609646,110.78125,2.0,142.0,na,na,29.0,0.667683 - 0.006309 * ((x0 * x0 - x0 + exp(exp(exp(exp(x1) + 0.069 - x1) * -0.069))) * ((-6.657 + x0) * (-6.908 + x0)))
pagie,169,SBP,19,sympy,SBP,((0.160826 * x0 * ((x0 + 13.585) * exp(x1 ** 2.0) - 16.860944986089) + (0.160826 * x0 + 0.45433345) * exp(x1 ** 2.0)) * exp(x0 ** 2.0 - exp(x0)) + 0.012782 * exp(x1 ** 2.0)) * exp(-1.0 * x1 ** 2.0),6.0,29.0,4.0,6.0,5.0,1.0,5.0,1.0,609.2428339761682,128.25,2.0,1060.0,na,na,45.0,(0.160826 * (((x0 + 13.585) * exp(x1 ** 2.0) + -16.860944986089) * x0 + exp(x1 ** 2.0) * (x0 + 2.825)) * exp(x0 ** 2.0 - exp(x0)) + 0.012782 * exp(x1 ** 2.0)) * exp(-1.0 * x1 ** 2.0)
pagie,163,SBP,13,sympy,SBP,-0.08391322 * x0 ** 2.0 + 0.11393234 * x0 + 0.15719644 * x1 + 0.01063 * exp(x0) - 0.01063 * exp(x1) + 0.103875,6.0,33.0,4.0,6.0,5.0,1.0,5.0,1.0,2450.7794589735568,174.25,2.0,9831.0,na,na,23.0,-0.01063 * (exp(x1) - exp(x0)) + -0.08391322 * (x1 / -0.5338111982688667 + (x0 ** 2.0 + x0 / -0.7365180070908752)) + 0.103875
pagie,45,EPLEX,16,sympy,EPLEX,log(abs(0.831726022794283 * log(abs(-3.3112582781457 * log(abs(log(abs(-0.021)) - 0.607 * exp(1.8450184501845 * log(abs(2.23713646532438 * x1 * exp(log(abs(x0)))))))))) ** 2.0)),6.0,33.0,5.0,6.0,6.0,1.0,6.0,1.0,80.71499998914078,100.25,2.0,87.0,na,na,27.0,log(abs(0.831726022794283 * log(abs(-3.3112582781457 * log(abs(-0.607 * (exp(1.8450184501845 * log(abs(2.23713646532438 * x1 * abs(x0)))) + 6.364469260722758))))) ** 2.0))
kotanchek,20,Bingo,20,sympy,Bingo,((0.1263993583106448 - 0.03309619870833754 * x0) * exp(x0 ** 2.0) + 0.03309619870833754 * (x0 ** 2.0 + 0.03907279509253594) * (7.53747357012547 * x1 + 15.272972634101004)) * exp(-1.0 * x0 ** 2.0),6.0,34.0,4.0,6.0,5.0,1.0,5.0,1.0,993.614292005077,138.421875,2.0,804.0,na,na,29.0,((0.1263993583106448 + -0.03309619870833754 * x0) * exp(x0 ** 2.0) + 0.24946172303571493 * ((x0 ** 2.0 + 0.03907279509253594) * (x1 + 2.026272131107024))) * exp(-1.0 * x0 ** 2.0)
kotanchek,26,Bingo,26,original,Bingo,0.2497806421525048 + (-0.6964203985908678 + 2.0 * (exp(x0) ** (-1.0) * log(abs(x0 + exp(x0))))) * (0.11848913269441189 + (0.13470217521610287 + 0.5185123293134022 * x0) * (-0.0008622481242864235 + 2.0 * (exp(x0) ** (-1.0) * log(abs(x0 + exp(x0)))))),6.0,36.0,5.0,6.0,6.0,1.0,6.0,1.0,104.31658299057744,111.84375,2.0,56.0,na,na,37.0,0.2497806421525048 + 2.0740493172536087 * (exp(x0) ** (-1.0) * log(abs(x0 + exp(x0))) + -0.3482101992954339) * ((exp(x0) ** (-1.0) * log(abs(x0 + exp(x0))) + -0.00043112406214321176) * (x0 + 0.25978586737652176) + 0.11425874178470499)
pagie,0,Bingo,1,sympy,Bingo,0.5240322255066139 - 0.45351118068033663 * log(log(-1.0 * x0 * (66438756992.645454 * x1 + 2.0 / x1)) - 54.93119319072758 + 755.3723998652232 / log(-1.0 * x0 * (66438756992.645454 * x1 + 2.0 / x1))),6.0,37.0,4.0,6.0,6.0,2.0,6.0,2.0,242.68270799075253,115.640625,2.0,81.0,na,na,28.0,0.5240322255066139 - 0.45351118068033663 * log(-30.011646777931055 + log((-3.010291117007793e-11 / x1 - x1) * x0) + 755.3723998652232 / log((-66438756992.645454 * x1 - 2.0 / x1) * x0))
pagie,5,Bingo,6,sympy,Bingo,0.0885895005060784 * log((-1.0 * x0 ** 2.0 + x1 * (x0 + 28890.10432966032) * (0.00031788258514714706 * x0 ** 2.0 * x1 + 1.921452087284219e-06)) ** 2.0 / (3.461392830531733e-05 * x0 + 1.0) ** 2.0) + 0.7156288226929969,6.0,37.0,5.0,6.0,6.0,1.0,6.0,1.0,318.6710409936495,117.5,2.0,123.0,na,na,34.0,0.0885895005060784 * log((x1 * (x0 + 28890.10432966032) * (0.00031788258514714706 * x0 ** 2.0 * x1 + 1.921452087284219e-06) - x0 ** 2.0) ** 2.0 / (3.461392830531733e-05 * x0 + 1.0) ** 2.0) + 0.7156288226929969
pagie,0,Bingo,1,original,Bingo,0.5240322255066139 + -0.45351118068033663 * log(abs(-54.93119319072758 + 755.3723998652232 * log(abs(-2.0 * (x0 * x1 ** (-1.0)) + -66438756992.645454 * (x0 * x1))) ** (-1.0) + log(abs(-2.0 * (x0 * x1 ** (-1.0)) + -66438756992.645454 * (x0 * x1))))),6.0,43.0,4.0,6.0,6.0,2.0,6.0,2.0,886.7837909783702,128.21875,2.0,72.0,na,na,37.0,-0.45351118068033663 * (5.471710748509175 + log(abs(log(abs(-2.0 * x0 * (x1 ** (-1.0) + x1 / 3.010291117007793e-11))) ** (-1.0) + (-0.07180305504919829 + log(abs(x0 * (x1 ** (-1.0) + x1 / 3.010291117007793e-11))) / 755.3723998652232))))
kotanchek,204,SRjl,25,original,PySR,0.39857416499545906 / exp(x0 / 0.9061053191483835 * (x0 / 2.1124692156696177)) * ((0.09167619346933147 - (x1 * exp(x0) + x0 * x0) - x1 * (x0 - -0.21837017173690837)) / (x1 * (x1 + x0) - exp(x1) - exp(x0)) * x1 + x0) * 0.5611252244261848,6.0,45.0,4.0,6.0,5.0,1.0,5.0,1.0,81.17329201195389,106.703125,2.0,76.0,na,na,43.0,0.2236500177835562 / exp(x0 / 0.9061053191483835 * (x0 / 2.1124692156696177)) * ((0.09167619346933147 - (x1 * exp(x0) + x0 * x0) - x1 * (x0 + 0.21837017173690837)) / (x1 * (x1 + x0) - exp(x1) - exp(x0)) * x1 + x0)
pagie,28,Bingo,28,original,Bingo,17.519637627145645 + -3.529837319764648 * (log(abs(-3.3162197817782353 + 76.20364329715497 * log(abs(900226.4764680645 * (x0 * x1))) ** (-1.0))) ** (-1.0) * log(abs(-3.139766204630333 * (x0 ** (-1.0) * (x1 ** (-1.0) * log(abs(900226.4764680645 * (x0 * x1)))))))),7.0,17.0,2.0,7.0,7.0,5.0,7.0,5.0,63.96016600774601,104.84375,1.0,148.0,na,na,41.0,17.519637627145645 + -3.529837319764648 * (log(abs(-3.3162197817782353 + 76.20364329715497 * log(abs(900226.4764680645 * (x0 * x1))) ** (-1.0))) ** (-1.0) * log(abs(-3.139766204630333 * (x0 ** (-1.0) * (x1 ** (-1.0) * log(abs(900226.4764680645 * (x0 * x1))))))))
pagie,24,Bingo,24,original,Bingo,log(abs(0.8889056731853394)) * (-25.375926540572554 + -2.4339755472913582 * log(abs(x0 * x1)) + log(abs(-4625426.158330705 * log(abs(log(abs(0.8889056731853394 + 0.8889056731853394 * 0.8889056731853394)) * x1 ** (-1.0))) ** (-1.0)))),7.0,20.0,3.0,7.0,4.0,1.0,4.0,1.0,86.83604199904948,111.53125,2.0,71.0,na,na,23.0,-0.11776415350114562 * (-2.4339755472913582 * (4.120356708064521 + log(abs(x0 * x1))) + log(abs(log(abs(0.5182334989833758 * x1 ** (-1.0))) ** (-1.0))))
pagie,203,SRjl,24,sympy,PySR,1.021967424871605 - 1.0754695400311118 * exp(-0.7734843695524414 * x0 ** 2.0) + 2.792238560484319 / (3.4342474157379796 / (x1 ** 2.0) ** 1.8741636407391655 + 2.844338639118127),7.0,24.0,6.0,7.0,7.0,1.0,7.0,1.0,51.859583996701986,99.90625,1.0,113.0,na,na,22.0,1.021967424871605 - 1.0754695400311118 * exp(-0.7734843695524414 * x0 ** 2.0) + 2.792238560484319 / (3.4342474157379796 / (x1 ** 2.0) ** 1.8741636407391655 + 2.844338639118127)
pagie,170,SBP,20,original,SBP,5.3e-05 - 0.00157 * (exp(x0 - x0 * x0) * (exp(x0) * ((-10.978 + (15.694 - (exp(x1) + exp(-0.624)) + x1 * 15.599)) * -5.236))),7.0,28.0,4.0,7.0,5.0,1.0,5.0,1.0,165.92925001168624,115.984375,2.0,285.0,na,na,23.0,5.3e-05 - -0.00822052 * (-10.978 + (15.158203042332545 - exp(x1) + x1 * 15.599)) * exp(x0 - x0 * x0 + x0)
pagie,179,SBP,29,sympy,SBP,(0.004516 * x0 * x1 * (x1 - 4.432) * (1.033 * exp(x0) - 13.9852052082504) * (-1.0 * x0 + x1 + 3.749) + (0.105238 - 0.004516 * x0) * exp(x0)) * exp(-1.0 * x0),7.0,28.0,4.0,7.0,6.0,2.0,6.0,2.0,1672.3191660130396,170.515625,2.0,1903.0,na,na,34.0,(0.004665028 * (x1 * x0 * (exp(x0) + -13.538436794046856)) * (x1 + -4.432) * (x1 - x0 + 3.749) + 0.004516 * (23.303365810451727 - x0) * exp(x0)) * exp(-1.0 * x0)
pagie,167,SBP,17,sympy,SBP,0.048266 * x0 * (x0 - 3.579) * (x0 - 3.247) - 0.048266 * x0 - 0.048266 * x1 ** 2.0 + 0.24133 * x1 - 0.065845,7.0,29.0,3.0,7.0,5.0,2.0,5.0,2.0,1589.6142499987036,166.734375,2.0,106.0,na,na,23.0,-0.048266 * (-4.999999999999999 * x1 - ((x0 - 3.247) * (x0 - 3.579) * x0 - x1 ** 2.0 - x0) - -1.3642108316413208)
pagie,165,SBP,15,sympy,SBP,0.01085 * x0 ** 3.0 - 0.1463448 * x0 ** 2.0 + 0.19689495 * x0 + 0.1607319 * x1 + 0.01085 * exp(x0) - 0.01085 * exp(x1) + 0.0894957768,7.0,30.0,4.0,7.0,5.0,1.0,5.0,1.0,2569.73158402252,171.09375,2.0,9273.0,na,na,27.0,-0.01085 * (exp(x1) - (exp(x0) + x0 ** 3.0) + -18.147000000000002 * x0) + 0.1607319 * x1 + -0.1463448 * x0 ** 2.0 + 0.0894957768
pagie,45,EPLEX,16,original,EPLEX,log(abs(log(abs(log(abs(log(abs(-0.021)) - 0.607 / exp(log(abs(x1 / (0.447 / exp(log(abs(x0)))))) / -0.542))) / -0.302)) ** 2.0 / -0.927 / -1.297)),7.0,33.0,5.0,7.0,7.0,2.0,7.0,2.0,68.09699998120777,98.921875,2.0,39.0,na,na,29.0,log(abs(log(abs(log(abs(-3.863232841258714 - 0.607 / exp(log(abs(x1 / (0.447 / abs(x0)))) / -0.542))) / -0.302)) ** 2.0 / -0.927 / -1.297))
pagie,51,EPLEX,22,sympy,EPLEX,exp(0.42732082391662 * log(abs(-1.0 * log(abs((x0 ** 4.0 * x1 - 0.0624330452543088 * x0 ** 4.0 - 0.298701886912704) / (0.045 * x0 ** 4.0 + 0.215296))) - 0.406188903316357 * log(abs(x1 + 0.385))))),7.0,38.0,6.0,7.0,7.0,1.0,7.0,1.0,803.9229589921888,140.84375,2.0,104.0,na,na,32.0,exp(0.42732082391662 * log(abs(-0.406188903316357 * log(abs(x1 + 0.385)) - log(abs((x0 ** 4.0 * (x1 + -0.0624330452543088) - 0.298701886912704) / (0.045 * x0 ** 4.0 + 0.215296))))))
kotanchek,208,SRjl,29,sympy,PySR,0.5126111526206354 * x1 * (0.6214063774224301 * x0 * x1 * (1.8394445968539719 * x0 + 3.0 * x1 - 0.16055540314602817 * exp(x1) - 0.6904329788496647) + x1 - 0.2570477604364112) * exp(-0.6022120672089649 * x0 ** 2.0 - x1),7.0,39.0,6.0,7.0,7.0,1.0,7.0,1.0,2390.777541004354,144.796875,2.0,8828.0,na,na,35.0,0.5126111526206354 * x1 * (1.143042603400289 * (x1 * x0) * (x0 + 1.6309270771900075 * x1 - 0.08728471812667168 * exp(x1) - 0.37534861339695796) + x1 - 0.2570477604364112) * exp(-0.6022120672089649 * x0 ** 2.0 - x1)
kotanchek,29,Bingo,29,sympy,Bingo,-1.0 * (6.656270926980652e-05 * x1 + 1.550707023441505e-05) * (35.56866639996601 * x1 * (x0 - exp(x0)) + (x1 - 6.784280947796324) * (exp(x0) - 52.61627831646421) * exp(x0)) * (exp(x0) - 52.61627831646421) / ((x0 - exp(x0)) * (x1 - 6.784280947796324)),7.0,40.0,6.0,7.0,7.0,1.0,7.0,1.0,679.5702920062467,137.234375,2.0,696.0,na,na,40.0,(-6.656270926980652e-05 * x1 - 1.550707023441505e-05) * ((x1 - 6.784280947796324) * (exp(x0) - 52.61627831646421) * exp(x0) - -35.56866639996601 * ((x0 - exp(x0)) * x1)) * (exp(x0) - 52.61627831646421) / ((x0 - exp(x0)) * (x1 - 6.784280947796324))
kotanchek,195,SRjl,16,original,PySR,(x1 + 0.6193677368705359 * x0) / (exp(x0 * x0) - x1 + (exp(x1) + 2.853886507925958)) * (x1 * ((x1 + (0.05317370141890812 / 1.1778919118254807 - 0.2923135815181234)) / (exp(x1) + 1.6282363698705866 - (x0 + x1) + exp(0.5154765131661209)) * (x1 + x1)) + x0),7.0,40.0,4.0,7.0,5.0,1.0,5.0,1.0,91.10812499420716,100.484375,2.0,139.0,na,na,40.0,(x1 + 0.6193677368705359 * x0) / (exp(x0 * x0) - x1 + (exp(x1) + 2.853886507925958)) * (x1 * ((x1 + -0.24717047383135762) / (exp(x1) + 1.6282363698705866 - (x0 + x1) + 1.6744362026213413) * (x1 + x1)) + x0)
pagie,39,EPLEX,10,sympy,EPLEX,-1.0 * (0.843881856540084 * x1 ** 2.0 + 1.0) ** 4.0 * log(abs(-0.414)) ** 2.0 / (x1 ** 2.0 * (0.843881856540084 * x1 ** 2.0 + 1.0) ** 2.0 + 0.938527657604728) ** 2.0 + 1.959 - 0.956299040316772 / (0.441891294741494 * x0 ** 4.0 + 1.0) ** 2.0,7.0,49.0,6.0,7.0,7.0,1.0,7.0,1.0,98.13499997835606,111.5625,2.0,72.0,na,na,41.0,-0.7777287465499836 * (0.843881856540084 * x1 ** 2.0 + 1.0) ** 4.0 / (x1 ** 2.0 * (0.843881856540084 * x1 ** 2.0 + 1.0) ** 2.0 + 0.938527657604728) ** 2.0 + 1.959 - 4.897368999999993 / (x0 ** 4.0 + 2.2629999999999977) ** 2.0
pagie,28,Bingo,28,sympy,Bingo,17.519637627145645 - 3.529837319764648 * log(-3.139766204630333 * log(x0 * x1) / (x0 * x1) - 43.04745575625259 / (x0 * x1)) / log(-3.3162197817782353 * log(x0 * x1) / (log(x0 * x1) + 13.71040165117035) + 30.73693812541886 / (log(x0 * x1) + 13.71040165117035)),8.0,15.0,2.0,8.0,7.0,5.0,7.0,5.0,89.75062498939224,99.890625,2.0,96.0,na,na,34.0,17.519637627145645 - 3.529837319764648 * log((log(x0 * x1) - -13.710401651170352) * (-3.139766204630333 / (x0 * x1))) / log((-3.3162197817782353 * log(x0 * x1) + 30.73693812541886) / (log(x0 * x1) + 13.71040165117035))
kotanchek,98,GOMEA,9,original,GP-GOMEA,-0.047292 - 0.010811 * (exp(0.555 * x0 * (1.761 - x0)) * ((-7.097 - x1) * (x1 + 4.18) + (-0.289 + 14.81 + exp(x1)))),8.0,25.0,6.0,8.0,7.0,1.0,7.0,1.0,88.91479097655974,111.25,2.0,93.0,na,na,25.0,-0.047292 - 0.010811 * (exp(0.555 * x0 * (1.761 - x0)) * ((-7.097 - x1) * (x1 + 4.18) + (14.521 + exp(x1))))
kotanchek,24,Bingo,24,original,Bingo,0.006514843839523813 + (0.012790360845057828 + -0.13720269441638683 * ((x0 + x0 * x0) * (2.4024045089083383 + x1))) * (-1.5068813313136211 + -0.32506758388128154 * exp(x0 * x0) - x0 * x0) ** (-1.0) + exp(-1.5068813313136211 + -0.32506758388128154 * exp(x0 * x0)),8.0,28.0,5.0,8.0,8.0,3.0,8.0,3.0,89.60237499559298,111.0625,1.0,328.0,na,na,40.0,0.006514843839523813 + (0.012790360845057828 + -0.13720269441638683 * ((x0 + x0 * x0) * (2.4024045089083383 + x1))) * (-1.5068813313136211 + -0.32506758388128154 * exp(x0 * x0) - x0 * x0) ** (-1.0) + exp(-1.5068813313136211 + -0.32506758388128154 * exp(x0 * x0))
pagie,154,SBP,5,original,SBP,0.018176 + 0.001712 * ((-8.935 * x0 + 18.954) * (x0 * (x0 - 5.12) * (x0 - 4.881)) + x1 - x1 * 18.328 * (x1 - 4.881)),8.0,31.0,7.0,8.0,8.0,1.0,8.0,1.0,1107.4667919892818,134.09375,2.0,5703.0,na,na,29.0,0.018176 + 0.001712 * ((-8.935 * x0 + 18.954) * (x0 * (x0 + -5.12) * (x0 + -4.881)) + x1 + -18.328 * ((x1 + -4.881) * x1))
kotanchek,197,SRjl,18,sympy,PySR,0.1739531651728047 * x1 ** 4.0 * (0.344770021811265 * x0 + 3.098155060756938) * (x0 + 0.9808871412991315) * exp(-1.726358623794925 * x1 - 0.8631793118974627 * (x0 - 1.2172800892692854) * (x0 - 0.03948916953537872)),8.0,32.0,6.0,8.0,7.0,1.0,7.0,1.0,121.29679101053624,105.0,2.0,322.0,na,na,28.0,0.059973836550766456 * (x1 ** 4.0 * (x0 + 8.986149794812901)) * (x0 + 0.9808871412991315) * exp(-1.726358623794925 * x1 + -0.8631793118974627 * ((x0 + -0.03948916953537872) * (x0 + -1.2172800892692854)))
kotanchek,24,Bingo,24,sympy,Bingo,(0.13720269441638683 * (x0 ** 2.0 + x0) * (x1 + 2.4024045089083383) - 0.012790360845057828) / (x0 ** 2.0 + 0.32506758388128154 * exp(x0 ** 2.0) + 1.5068813313136211) + 0.006514843839523813 + 0.22159999840345782 * exp(-0.32506758388128154 * exp(x0 ** 2.0)),8.0,33.0,5.0,8.0,8.0,3.0,8.0,3.0,636.4135410112794,124.984375,2.0,423.0,na,na,38.0,0.4220743661308747 * ((x1 + 2.4024045089083383) * (x0 ** 2.0 + x0) + -0.09322237365281807) / (exp(x0 ** 2.0) + x0 ** 2.0 / 0.32506758388128154 + 4.635593968865107) + 0.006514843839523813 + 0.22159999840345782 * exp(-0.32506758388128154 * exp(x0 ** 2.0))
pagie,159,SBP,10,sympy,SBP,(-0.001732 * x0 * (0.000627353738614736 * (x0 - 1.883) * (386780.368892305 * x0 + 128926.789630768 * x1) - 20.41 * exp(x0)) + (0.001732 * x1 + 0.154306) * exp(x0)) * exp(-1.0 * x0),8.0,38.0,5.0,8.0,6.0,1.0,6.0,1.0,1346.1288750113454,147.09375,2.0,8569.0,na,na,32.0,(0.03535012 * x0 * (exp(x0) + -11.888687430052634 * ((x0 + -1.883) * (x0 + 0.3333333333333325 * x1))) + 0.001732 * (x1 + 89.09122401847574) * exp(x0)) * exp(-1.0 * x0)
pagie,172,SBP,22,sympy,SBP,0.02889 * x0 ** 3.0 - 0.18081288 * x0 ** 2.0 + 0.18081288 * x0 + 0.14418036 * x1 - 0.00963 * exp(x1) + 0.179028 - 0.00963 * exp(-15.767 * x0),8.0,40.0,4.0,8.0,5.0,1.0,5.0,1.0,3024.0670000202954,183.140625,2.0,18364.0,na,na,29.0,-0.00963 * (exp(-15.767 * x0) + (-3.0 * x0 ** 3.0 + (exp(x1) + -18.776000000000003 * (x0 - x0 ** 2.0)))) - (-0.179028 - 0.14418036 * x1)
pagie,151,SBP,2,sympy,SBP,-0.018385 * x0 ** 2.0 - 0.018385 * x0 * x1 - 0.018385 * x1 ** 3.0 + 0.07247367 * x1 ** 2.0 + 0.05508969648 * x1 + 0.166642 - 0.018385 * exp(-13.828 * x0),8.0,40.0,2.0,8.0,5.0,3.0,5.0,3.0,2335.202707996359,154.125,2.0,10845.0,na,na,28.0,-0.018385 * (exp(-13.828 * x0) + (x1 * (-2.996448 + x0) + x0 ** 2.0) + x1 ** 3.0) + 0.166642 + 0.07247367 * x1 ** 2.0
kotanchek,193,SRjl,14,original,PySR,exp(-0.7318040896636137 - x0 * x0 + (x0 + x0 - x1)) * ((x1 - -0.039858290344846364) / 0.9598793817164541 * x1 - exp(0.13235515895495698 - x0 + (x0 + 0.09098361423696229 - x1) * x1) * (x1 * (x1 / 0.9039712460608937) - 0.16031841194029647 / 0.9446831697758643)),8.0,41.0,5.0,8.0,7.0,2.0,7.0,2.0,69.8007500031963,100.609375,2.0,69.0,na,na,41.0,exp(-0.7318040896636137 - x0 * x0 + (x0 + x0 - x1)) * ((x1 + 0.039858290344846364) / 0.9598793817164541 * x1 - exp(0.13235515895495698 - x0 + (x0 + 0.09098361423696229 - x1) * x1) * (x1 * (x1 / 0.9039712460608937) + -0.1697060105117927))
pagie,120,Operon,1,sympy,Operon,0.22864008270232225 * exp(-9.69348884031831 * x0 ** 2.0 - exp(-1.0047436520881448 * x1 ** 2.0)) + 0.3440097684222109 + 1.635892432732362 * exp(-1.0 * exp(-1.0047436520881448 * x1 ** 2.0)) - 1.1765190489038249 * exp(-0.8640792395159441 * x0 ** 2.0),8.0,46.0,7.0,8.0,8.0,1.0,8.0,1.0,851.4250839943998,144.421875,1.0,9600.0,na,na,38.0,0.22864008270232225 * exp(-9.69348884031831 * x0 ** 2.0 - exp(-1.0047436520881448 * x1 ** 2.0)) + 0.3440097684222109 + 1.635892432732362 * exp(-1.0 * exp(-1.0047436520881448 * x1 ** 2.0)) - 1.1765190489038249 * exp(-0.8640792395159441 * x0 ** 2.0)
pagie,197,SRjl,18,original,PySR,1.6165753448802653 - (exp(1.758436573691409 - (x0 * x0 - x0 + x0) * 0.761578950826381) - -0.05546144663419194 * (x1 * x1) + exp(0.8366837949675797) / exp(x1 * x1) - -1.8924009776034219 / exp(x1 * x1) - log(x1 * x1 - -0.9893514112972329)) * 0.181649894795292,8.0,47.0,7.0,8.0,8.0,1.0,8.0,1.0,1593.9150000049267,153.234375,2.0,2174.0,na,na,43.0,0.181649894795292 * (8.899401492646302 - (exp(-0.761578950826381 * (x0 * x0 - x0 + x0 + -2.308935366167025)) - -0.05546144663419194 * (x1 * x1)) - 2.308698151681927 / exp(x1 * x1) + -1.8924009776034219 / exp(x1 * x1) + log(x1 * x1 - -0.9893514112972329))
pagie,55,EPLEX,26,original,EPLEX,log(abs(log(abs(-0.876)))) / log(abs(exp(log(abs(0.607)) - (exp(log(abs(-0.826)) - exp(-0.896 - exp(((-0.697 - -1.0 * 0.118 ** 3.0) ** 3.0 - log(abs(-1.123))) ** 3.0 - log(abs(x0 ** 2.0))) ** 2.0)) ** 2.0 * exp(exp(log(abs(0.559)) * exp(log(abs(x1 ** 2.0)))))) ** 3.0) ** 2.0)),8.0,56.0,5.0,8.0,6.0,1.0,6.0,1.0,88.17258299677633,106.1875,2.0,44.0,na,na,36.0,-2.0220093000996027 / log(abs((0.607 / exp(((0.826 / exp(0.4081991952779227 / exp((0.9116651497153382 / abs(x0 ** 2.0)) ** 2.0))) ** 2.0 * exp(exp(-0.5816058058270378 * abs(x1 ** 2.0)))) ** 3.0)) ** 2.0))
pagie,46,EPLEX,17,sympy,EPLEX,exp((-0.304612761792 * x1 ** 2.0 - 0.391574063671503) / x1 ** 4.0) + exp(0.822136671474921 * (0.128164 * x0 ** 2.0 - 0.878) * (0.108837568328275 * x0 ** 6.0 + 1.0) ** 4.0 / (x0 ** 2.0 * (0.00954923344395646 * x0 ** 12.0 + (0.108837568328275 * x0 ** 6.0 + 1.0) ** 2.0) ** 2.0)),8.0,57.0,6.0,8.0,7.0,1.0,7.0,1.0,96.69541599578224,111.96875,2.0,123.0,na,na,53.0,exp((-0.304612761792 * x1 ** 2.0 + -0.391574063671503) / x1 ** 4.0) + exp(0.10536832436291177 * (x0 ** 2.0 + -6.850597671733092) * (0.108837568328275 * x0 ** 6.0 + 1.0) ** 4.0 / (x0 ** 2.0 * (0.00954923344395646 * x0 ** 12.0 + (0.108837568328275 * x0 ** 6.0 + 1.0) ** 2.0) ** 2.0))
pagie,44,EPLEX,15,sympy,EPLEX,-0.786769 + 1.26138411854031 / (0.39714058776807 * log(abs(x0 / (log(abs(0.168375426124201 * x1 ** 2.0 * (0.875656742556918 * log(abs(x0 / x1)) ** 4.0 + 1.0) ** 4.0 / ((0.875656742556918 * log(abs(x0 / x1)) ** 4.0 + 1.0) ** 2.0 - 0.851410399769728) ** 2.0)) ** 2.0 + 2.463))) ** 2.0 + 1.0) ** 2.0,8.0,59.0,7.0,8.0,8.0,1.0,8.0,1.0,100.5411250225734,111.203125,2.0,111.0,na,na,57.0,-0.786769 + 7.99758399999997 / (log(abs(x0 / (log(abs(0.168375426124201 * x1 ** 2.0 * (0.875656742556918 * log(abs(x0 / x1)) ** 4.0 + 1.0) ** 4.0 / ((0.875656742556918 * log(abs(x0 / x1)) ** 4.0 + 1.0) ** 2.0 + -0.851410399769728) ** 2.0)) ** 2.0 + 2.463))) ** 2.0 + 2.5179999999999993) ** 2.0
kotanchek,38,EPLEX,9,sympy,EPLEX,0.346330314524071 * (x0 + x1) * (x1 + 0.335) * exp((3.45907080661025 * x0 - (x1 + 0.219847859107203 * exp(x0 - 3.05276088841039 * exp(-1.0 * (x0 * exp(x1) + 1.21652690533432) * exp(-1.0 * x1)))) * exp(x0 + exp(x1 * (1.39933902481093 - x1)))) * exp(-1.0 * x0 - exp(x1 * (1.39933902481093 - x1)))),8.0,60.0,7.0,8.0,8.0,1.0,8.0,1.0,337.7285419846885,118.1875,2.0,1516.0,na,na,58.0,0.346330314524071 * (x0 + x1) * (x1 + 0.335) * exp((3.45907080661025 * x0 - (x1 + 0.219847859107203 * exp(x0 - 3.05276088841039 * exp((-1.21652690533432 - x0 * exp(x1)) * exp(-1.0 * x1)))) * exp(x0 + exp(x1 * (1.39933902481093 - x1)))) * exp(-1.0 * x0 - exp(x1 * (1.39933902481093 - x1))))
kotanchek,40,EPLEX,11,sympy,EPLEX,(407.670818757734 * x0 ** 6.0 + 0.298794270781101 * x1 * exp(5.0 * x0)) * exp(x0 * (4.85453828157037 * x1 * exp(-1.0 * x0) - 5.0)) / (0.517344280377334 * x1 * exp(4.85453828157037 * x0 * x1 * exp(-1.0 * x0)) + 0.647 * exp(2.0 * x0) + 1.494 * exp(x0 * (4.85453828157037 * x1 * exp(-1.0 * x0) + 1.0))),8.0,67.0,5.0,8.0,7.0,2.0,7.0,2.0,820.6428750127088,141.34375,2.0,1325.0,na,na,65.0,272.8720339743869 * (x0 ** 6.0 + exp(5.0 * x0) * (x1 * 0.0007329302393818505)) * exp(x0 * (4.85453828157037 * x1 * exp(-1.0 * x0) + -5.0)) / (exp(x0 * (4.85453828157037 * x1 * exp(-1.0 * x0) + 1.0)) + (exp(2.0 * x0) + exp(4.85453828157037 * x0 * x1 * exp(-1.0 * x0)) * (x1 * 0.7996047610159722)) / 2.3091190108191655)
