dataset,raw_index,algorithm_raw,algo_row,input_kind,algorithm,source_orig_parsed_expr,source_orig_parsed_n_params,source_before_nodes,n_rank,before_params,after_params,rank_gap,simpl_parsed_n_params,parsed_rank_gap,runtime_ms,peak_rss_mb,passes,egraph_total_size,egraph_nodes,eclass_count,extracted_cost,rendered
kotanchek,14,Bingo,14,original,Bingo,(-0.008870475378536939 + -0.0506336679649604 * x1) * ((x0 + -0.3460574947000204 * (1.0326587094648079 + exp(x0))) ** (-1.0) * log(abs(-9.541496629390634 + 2.0 * x1))),5.0,20.0,3.0,5.0,5.0,2.0,5.0,2.0,91.8628330109641,110.640625,1.0,125.0,na,na,24.0,(-0.008870475378536939 + -0.0506336679649604 * x1) * ((x0 + -0.3460574947000204 * (1.0326587094648079 + exp(x0))) ** (-1.0) * log(abs(-9.541496629390634 + 2.0 * x1)))
kotanchek,8,Bingo,8,sympy,Bingo,-0.11720391936222797 * x1 * (x0 * (x0 + 1.2816489216174494 * (0.7212632969011202 * x1 - 1.0) ** 2.0 - 6.4849819024041455) - 0.6931234338478329) * exp(-1.0 * x0),5.0,21.0,2.0,5.0,5.0,3.0,5.0,3.0,66.9378750026226,110.34375,1.0,297.0,na,na,26.0,-0.11720391936222797 * x1 * (x0 * (x0 + 1.2816489216174494 * (0.7212632969011202 * x1 - 1.0) ** 2.0 - 6.4849819024041455) - 0.6931234338478329) * exp(-1.0 * x0)
kotanchek,27,Bingo,27,original,Bingo,-1.9305547847352778 * ((10.665734721501936 + x0 * (x0 * x0) * (x0 * (x0 * x0)) + 2.057897964881403 * x1 - x0) ** (-1.0) * (0.20556825888097427 + -2.9052829962789213 * x0 + exp(log(abs(x0))) - x1)),5.0,21.0,4.0,5.0,5.0,1.0,5.0,1.0,87.87154202582315,111.578125,2.0,145.0,na,na,34.0,-1.9305547847352778 * ((10.665734721501936 + x0 * (x0 * x0) * (x0 * (x0 * x0)) + 2.057897964881403 * x1 - x0) ** (-1.0) * (-2.9052829962789213 * (x0 + -0.07075670739968036) + abs(x0) - x1))
kotanchek,27,Bingo,27,sympy,Bingo,(3.678253204741038 * x0 + 1.9305547847352778 * x1 - 0.39686078577236517) / (x0 ** 6.0 - x0 + 2.057897964881403 * x1 + 10.665734721501936),5.0,23.0,4.0,5.0,5.0,1.0,5.0,1.0,243.07325002155267,121.640625,1.0,2873.0,na,na,21.0,(3.678253204741038 * x0 + 1.9305547847352778 * x1 - 0.39686078577236517) / (x0 ** 6.0 - x0 + 2.057897964881403 * x1 + 10.665734721501936)
kotanchek,21,Bingo,21,sympy,Bingo,0.35701166729086253 * (-1.0 * x0 - exp(x0)) / (0.17850583364543127 * x0 * exp(x0) - exp(0.35701166729086253 * x0 + 0.35701166729086253 * exp(x0)) + log(x0 + exp(x0)) - 1.0299868162495163),5.0,24.0,3.0,5.0,4.0,1.0,4.0,1.0,836.3609580264892,133.390625,2.0,58.0,na,na,29.0,-0.35701166729086253 * (x0 + exp(x0)) / (0.17850583364543127 * x0 * exp(x0) - exp(0.35701166729086253 * (x0 + exp(x0))) + log(x0 + exp(x0)) + -1.0299868162495163)
pagie,20,Bingo,20,sympy,Bingo,0.00010507476032088567 * (819.22982975795 * x0 + x1 - 1.9180501896236644) * log(x0 * x1 * (448579.1335037871 * x0 ** 3.0 * x1 ** 3.0 + 569.384534287446)) / x0,5.0,27.0,3.0,5.0,5.0,2.0,5.0,2.0,139.7070839884691,112.296875,2.0,111.0,na,na,26.0,log(x0 * x1 * (448579.1335037871 * x0 ** 3.0 * x1 ** 3.0 + 569.384534287446)) * (0.00010507476032088567 * ((-1.9180501896236644 + x1) / x0 + 819.22982975795))
pagie,169,SBP,19,original,SBP,0.012782 + 0.160826 * (exp(x0 * x0 - exp(x0)) * (x0 - (-13.585 - x0 + exp(2.825 - x1 * x1)) * x0 + 2.825)),5.0,28.0,4.0,5.0,5.0,1.0,5.0,1.0,44.62745800265111,100.484375,1.0,53.0,na,na,28.0,0.012782 + 0.160826 * (exp(x0 * x0 - exp(x0)) * (x0 - (-13.585 - x0 + exp(2.825 - x1 * x1)) * x0 + 2.825))
pagie,175,SBP,25,original,SBP,0.015024 + 291401.986945 * (exp(-17.803 + x0) * ((x1 - 6.944) * x1) * ((x1 - 5.3) * x1 + x1) * exp(x0 - x0 * x0)),5.0,28.0,2.0,5.0,4.0,2.0,4.0,2.0,148.1226249889005,114.015625,2.0,214.0,na,na,26.0,0.015024 + 0.005404404505733848 * exp(x0 - x0 * x0 + x0) * (((x1 + -5.3) * x1 + x1) * ((x1 + -6.944) * x1))
kotanchek,166,SBP,17,original,SBP,-0.025349 + 0.010788 * ((x0 + x0 - x0 * x0) * (-5.542 + x0) * (-5.542 + x0) + x1 + x1 + 12.501 + x0 + x1),5.0,29.0,3.0,5.0,4.0,1.0,4.0,1.0,92.7746249944903,112.109375,2.0,231.0,na,na,27.0,0.010788 * (10.151259547645532 + (x1 + x0) + ((x0 + x0 - x0 * x0) * (-5.542 + x0) * (-5.542 + x0) + x1 + x1))
kotanchek,150,SBP,1,original,SBP,0.053829 - 0.000194 * ((exp(x0 + 19.367 - x0 * x0) * exp(-13.819 + x0) - x1 * exp(x1)) * (-1.237 - x1) + exp(x0)),5.0,29.0,4.0,5.0,5.0,1.0,5.0,1.0,86.0890420153737,111.390625,2.0,84.0,na,na,28.0,0.053829 - 0.000194 * ((exp(x0 + 19.367 - x0 * x0 + (-13.819 + x0)) - x1 * exp(x1)) * (-1.237 - x1) + exp(x0))
pagie,23,Bingo,23,original,Bingo,-5.64393372152411 + 0.002708862303985314 * x1 ** (-1.0) + -0.06435725235582418 * ((-2311.5964730737646 - x0) * log(abs(3566206920.7839065 * (x0 ** (-1.0) * x1 ** (-1.0)))) ** (-1.0)),5.0,29.0,4.0,5.0,5.0,1.0,5.0,1.0,93.49133298383094,112.234375,1.0,341.0,na,na,27.0,-5.64393372152411 + 0.002708862303985314 * x1 ** (-1.0) + -0.06435725235582418 * ((-2311.5964730737646 - x0) * log(abs(3566206920.7839065 * (x0 ** (-1.0) * x1 ** (-1.0)))) ** (-1.0))
pagie,151,SBP,2,original,SBP,0.166642 - 0.018385 * (x0 * x1 + ((-5.488 + x1) * (x1 + 0.546) + x1) * x1 + x0 * x0 + exp(-13.828 * x0)),5.0,30.0,2.0,5.0,5.0,3.0,5.0,3.0,107.27766598574816,112.0,2.0,129.0,na,na,26.0,0.166642 - 0.018385 * (x1 * ((-5.488 + x1) * (x1 + 0.546) + x1 + x0) + x0 * x0 + exp(-13.828 * x0))
kotanchek,20,Bingo,20,original,Bingo,-0.03309619870833754 * (-3.819150332778322 + x0 + (0.03907279509253594 + x0 * x0) * ((-15.272972634101004 + -7.53747357012547 * x1) * exp(x0 * x0) ** (-1.0))),5.0,32.0,4.0,5.0,5.0,1.0,5.0,1.0,109.68824999872596,111.5,2.0,121.0,na,na,24.0,-0.03309619870833754 * (-3.819150332778322 + x0 + (0.03907279509253594 + x0 * x0) * (-7.53747357012547 * (x1 + 2.026272131107024) * exp(x0 * x0) ** (-1.0)))
