dataset,raw_index,algorithm_raw,algorithm,algo_row,is_paper_row,drop_reason,original_expr,sympy_expr,raw_csv_index,orig_nodes,orig_params,simpl_nodes,simpl_params,orig_nodes_sympy,orig_params_sympy,simpl_nodes_sympy,simpl_params_sympy,n_params,n_rank,orig_live_status,sympy_live_status,orig_runtime_ms,sympy_runtime_ms,orig_rendered_haskell,orig_rendered_python,sympy_rendered_haskell,sympy_rendered_python,baseline_source
pagie,10,Bingo,Bingo,11,1,kept,1.1892515725526536 + (-1.529035305818532 + exp(plog((x0)*(x1))))*(0.2778146070096167 + (6.532680622052586e-05)*(x0) + (-0.07902303898937542)*(plog((x0)*(x1)))),(x0*x1 - 1.529035305818532)*(6.532680622052586e-5*x0 - 0.07902303898937542*log(x0*x1) + 0.2778146070096167) + 1.1892515725526536,10,24,5,22,5,21,5,21,5,5.0,5.0,saturated,saturated,0.0,0.0,(1.1892515725526536) + (((-1.529035305818532) + (Abs((x0) * (x1)))) * (((0.27781460700961663) + ((x0) * (6.532680622052585e-5))) + ((Log(Abs((x0) * (x1)))) * (-7.902303898937543e-2)))),(1.1892515725526536 + ((-1.529035305818532 + abs((x0 * x1))) * ((0.27781460700961663 + (x0 * 6.532680622052585e-05)) + (log(abs((x0 * x1))) * -0.07902303898937543)))),((((x0) * (x1)) - (1.529035305818532)) * ((((x0) * (6.532680622052586e-5)) - ((7.902303898937542e-2) * (Log(Abs((x0) * (x1)))))) + (0.2778146070096167))) + (1.1892515725526536),((((x0 * x1) - 1.529035305818532) * (((x0 * 6.532680622052586e-05) - (0.07902303898937542 * log(abs((x0 * x1))))) + 0.2778146070096167)) + 1.1892515725526536),live_haskell
pagie,11,Bingo,Bingo,12,1,kept,(0.32709300308221473)*(plog((2.8938067344221365)*(x0) + (33.37981491587227)*((x0)*(x1)) - (exp(0.32709300308221473)))),0.32709300308221473*log(33.37981491587227*x0*x1 + 2.8938067344221365*x0 - 1.3869304599899063),11,15,4,13,4,15,4,13,4,4.0,4.0,saturated,saturated,0.0,0.0,(0.32709300308221473) * (Log(Abs(((x0) * ((2.8938067344221365) + ((33.37981491587227) * (x1)))) + (-1.3869304599899066)))),(0.32709300308221473 * log(abs(((x0 * (2.8938067344221365 + (33.37981491587227 * x1))) + -1.3869304599899066)))),(0.32709300308221473) * (Log(Abs(((x0) * ((2.8938067344221365) + ((33.37981491587227) * (x1)))) + (-1.3869304599899066)))),(0.32709300308221473 * log(abs(((x0 * (2.8938067344221365 + (33.37981491587227 * x1))) + -1.3869304599899066)))),live_haskell
pagie,12,Bingo,Bingo,13,1,kept,0.46055102457050884 + (-11903.1935774518 + ((x0)^(-1))*(exp(x1)))*((-9960.615166624408 + (-8736.856642285593)*((x1)^(-2)) + ((x0)^(-1))*(exp(x1)))^(-1)) + (0.3353899762817782)*(plog(x0)),(11903.1935774518 - exp(x1)/x0)/(9960.615166624408 + 8736.856642285593/x1**2 - exp(x1)/x0) + 0.3353899762817782*log(x0) + 0.46055102457050884,12,33,5,29,5,27,5,26,5,5.0,5.0,saturated,saturated,0.0,1.0e-3,((0.46055102457050884) + (((-11903.1935774518) + (((x0)^(-1)) * (Exp(x1)))) * (((((x0)^(-1)) * (Exp(x1))) + ((-9960.615166624408) + ((-8736.856642285593) * ((x1)^(-2)))))^(-1)))) + ((0.3353899762817782) * (Log(Abs(x0)))),((0.46055102457050884 + ((-11903.1935774518 + ((x0 ** -1.0) * exp(x1))) * ((((x0 ** -1.0) * exp(x1)) + (-9960.615166624408 + (-8736.856642285593 * (x1 ** -2.0)))) ** -1.0))) + (0.3353899762817782 * log(abs(x0)))),((((11903.1935774518) - ((Exp(x1)) / (x0))) / (((9960.615166624408) + ((8736.856642285593) / ((x1)^(2)))) - ((Exp(x1)) / (x0)))) + ((0.3353899762817782) * (Log(Abs(x0))))) + (0.46055102457050884),((((11903.1935774518 - (exp(x1) / x0)) / ((9960.615166624408 + (8736.856642285593 / (x1 ** 2.0))) - (exp(x1) / x0))) + (0.3353899762817782 * log(abs(x0)))) + 0.46055102457050884),live_haskell
pagie,13,Bingo,Bingo,14,1,kept,-3.6628323446084137 + (-140960.10336012763)*(((-1951.8497630927013 + x0)^(-1))*((plog(((x0)^(-1))*(-38271.243311540704 + (-3434828.851252485)*((x1)^(-1)) + (-66329.49759041717)*(x1))))^(-1))),-3.6628323446084137 - 140960.10336012763/((x0 - 1951.8497630927013)*log(-(66329.49759041717*x1 + 38271.243311540704 + 3434828.851252485/x1)/x0)),13,29,6,25,6,23,7,21,6,6.0,6.0,saturated,saturated,1.0e-3,0.0,(-3.6628323446084137) + ((-140960.10336012763) * ((((-1951.8497630927013) + (x0))^(-1)) * ((Log(Abs(((x0)^(-1)) * (((-38271.24331154072) + ((-3434828.8512524855) * ((x1)^(-1)))) + ((x1) * (-66329.49759041719))))))^(-1)))),(-3.6628323446084137 + (-140960.10336012763 * (((-1951.8497630927013 + x0) ** -1.0) * (log(abs(((x0 ** -1.0) * ((-38271.24331154072 + (-3434828.8512524855 * (x1 ** -1.0))) + (x1 * -66329.49759041719))))) ** -1.0)))),(-3.6628323446084137) - ((140960.10336012763) / (((x0) - (1951.8497630927013)) * (Log(Abs(((((66329.49759041717) * (x1)) + (38271.243311540704)) + ((3434828.851252485) / (x1))) / (x0)))))),(-3.6628323446084137 - (140960.10336012763 / ((x0 - 1951.8497630927013) * log(abs(((((66329.49759041717 * x1) + 38271.243311540704) + (3434828.851252485 / x1)) / x0)))))),live_haskell
pagie,14,Bingo,Bingo,15,1,kept,-0.3615909827079473 - ((-0.3615909827079473 + (-0.15940944833036993 + (0.7495558385988832 + (-0.052282035688047096)*((x0)*(x0)))*(0.7495558385988832 + (-0.052282035688047096)*((x0)*(x0))))*(-0.15940944833036993 + (0.7495558385988832 + (-0.052282035688047096)*((x0)*(x0)))*(0.7495558385988832 + (-0.052282035688047096)*((x0)*(x0)))))*(plog((-242.5021661422168)*(x1)))),-(0.3156573931905898*((0.069750688335342645*x0**2 - 1)**2 - 0.28373053437106359)**2 - 0.3615909827079473)*(log(-x1) + 5.491010642882867) - 0.3615909827079473,14,45.0,13.0,39.0,10.0,29.0,9.0,24.0,8.0,13.0,6.0,archived_fallback_stack_overflow,archived_fallback_stack_overflow,na,na,,,,,archived_fallback
pagie,15,Bingo,Bingo,16,1,kept,(-0.0016724665952508537)*(292.42415431458545 + x1 + ((-1)*((-314.9892428270721)^(-1)))*((((x0)^(-1))*((x1)^(-1)))*((39.54832653926522 + x1)*(plog((-314.9892428270721)*((x0)*(x1)))))) + (-240.49898207944213)*(plog((-314.9892428270721)*((x0)*((x1)*((plog((-314.9892428270721)*((x0)*(x1))))^(-1))))))),(x0*x1*(-0.0016724665952508537*x1 + 0.40222651371970066*log(-x0*x1/(log(-x0*x1) + 5.75253848848719)) + 1.8247538715269739) - 5.3095990842107314e-6*(x1 + 39.54832653926522)*(log(-x0*x1) + 5.75253848848719))/(x0*x1),15,47.0,8.0,44.0,8.0,51.0,11.0,49.0,10.0,8.0,7.0,archived_fallback_stack_overflow,archived_fallback_stack_overflow,na,na,,,,,archived_fallback
pagie,17,Bingo,Bingo,18,1,kept,(7.051978434353006)*(0.1577598589609299 + (-0.001006011746264326)*((-8.107154770143312 + x0)*((6.507788542716649 + x0 + plog(x0))*(plog((x0)*(x1)))))),-0.007094373139361835*(x0 - 8.107154770143312)*(x0 + log(x0) + 6.507788542716649)*log(x0*x1) + 1.112519123199049,17,23,5,21,4,23,5,21,4,5.0,4.0,saturated,saturated,1.0e-3,1.0e-3,((((-8.107154770143312) + (x0)) * ((((x0) + (6.507788542716649)) + (Log(Abs(x0)))) * (Log(Abs((x0) * (x1)))))) + (-156.8171142600944)) * (-7.094373139361835e-3),((((-8.107154770143312 + x0) * (((x0 + 6.507788542716649) + log(abs(x0))) * log(abs((x0 * x1))))) + -156.8171142600944) * -0.007094373139361835),(1.112519123199049) - ((((7.094373139361835e-3) * ((x0) - (8.107154770143312))) * (((x0) + (Log(Abs(x0)))) + (6.507788542716649))) * (Log(Abs((x0) * (x1))))),(1.112519123199049 - (((0.007094373139361835 * (x0 - 8.107154770143312)) * ((x0 + log(abs(x0))) + 6.507788542716649)) * log(abs((x0 * x1))))),live_haskell
pagie,18,Bingo,Bingo,19,1,kept,3.5993169689720506 + (-4.508737153066167e-07)*((521.6683948517077 + (23.730684923841224)*(plog((x0)*(x1))) - (x0))*(10602.124752119917 + (-1792.3707483707349)*(plog((x0)*(x1))))),4.508737153066167e-7*(1792.3707483707349*log(x0*x1) - 10602.124752119917)*(-x0 + 23.730684923841224*log(x0*x1) + 521.6683948517077) + 3.5993169689720506,18,25,6,23,5,27,7,23,5,6.0,5.0,saturated,saturated,0.0,1.0e-3,(3.5993169689720506) + (((Log(Abs((x0) * (x1)))) + (-5.9151404706628075)) * ((((521.6683948517077) + ((Log(Abs((x0) * (x1)))) * (23.730684923841224))) - (x0)) * (8.081328585248142e-4))),(3.5993169689720506 + ((log(abs((x0 * x1))) + -5.9151404706628075) * (((521.6683948517077 + (log(abs((x0 * x1))) * 23.730684923841224)) - x0) * 0.0008081328585248142))),((((Log(Abs((x0) * (x1)))) - (5.9151404706628075)) * (8.081328585248142e-4)) * ((((Log(Abs((x0) * (x1)))) * (23.730684923841224)) - (x0)) + (521.6683948517077))) + (3.5993169689720506),((((log(abs((x0 * x1))) - 5.9151404706628075) * 0.0008081328585248142) * (((log(abs((x0 * x1))) * 23.730684923841224) - x0) + 521.6683948517077)) + 3.5993169689720506),live_haskell
pagie,19,Bingo,Bingo,20,1,kept,(-0.00010507476032088567)*((-819.22982975795 + ((x0)^(-1))*(1.9180501896236644 - (x1)))*(plog((-61.64925975453745)*((-9.235869766393078)*((x0)*(x1)) + ((-1)*(((-9.235869766393078)*(-9.235869766393078))*((-9.235869766393078)*(-9.235869766393078))))*((((x0)*(x0))*((x0)*(x0)))*(((x1)*(x1))*((x1)*(x1)))))))),0.00010507476032088567*(819.22982975795*x0 + x1 - 1.9180501896236644)*log(x0*x1*(448579.1335037871*x0**3*x1**3 + 569.384534287446))/x0,19,39,6,32,5,29,5,27,5,6.0,5.0,saturated,saturated,1.0e-3,1.0e-3,(-1.0507476032088567e-4) * (((-819.22982975795) + (((x0)^(-1)) * ((1.9180501896236644) - (x1)))) * (Log(Abs(((x0) * ((x1) * ((1.2693067772458905e-3) + (((x0) * ((x0) * (x0))) * ((x1) * ((x1) * (x1))))))) * (448579.133503787))))),(-0.00010507476032088567 * ((-819.22982975795 + ((x0 ** -1.0) * (1.9180501896236644 - x1))) * log(abs(((x0 * (x1 * (0.0012693067772458905 + ((x0 * (x0 * x0)) * (x1 * (x1 * x1)))))) * 448579.133503787))))),(((1.0507476032088567e-4) * ((((819.22982975795) * (x0)) + (x1)) - (1.9180501896236644))) * (Log(Abs(((x0) * (x1)) * ((((448579.1335037871) * ((x0)^(3))) * ((x1)^(3))) + (569.384534287446)))))) / (x0),(((0.00010507476032088567 * (((819.22982975795 * x0) + x1) - 1.9180501896236644)) * log(abs(((x0 * x1) * (((448579.1335037871 * (x0 ** 3.0)) * (x1 ** 3.0)) + 569.384534287446))))) / x0),live_haskell
pagie,20,Bingo,Bingo,21,1,kept,plog(plog(5.852257156264611 + ((exp(plog((0.0004240447616209535)*((x0)*(x1)))))*(exp(plog((0.0004240447616209535)*((x0)*(x1))))))*((7480.0610581772835 + plog((0.0004240447616209535)*((x0)*(x1))))*(7480.0610581772835 + plog((0.0004240447616209535)*((x0)*(x1))))))),log(log(10.039948113913963*x0**2*x1**2*(0.00013382768590600596*log(x0*x1) + 1)**2 + 5.852257156264611)),20,43,7,33,4,27,4,24,4,7.0,3.0,saturated,saturated,0.0,0.0,Log(Abs(Log(Abs((5.852257156264611) + (((1.7981395985817125e-7) * ((Abs((x0) * (x1))) * (Abs((x0) * (x1))))) * (((Log(Abs((x0) * (x1)))) + (7472.29538663884)) * ((Log(Abs((x0) * (x1)))) + (7472.29538663884)))))))),log(abs(log(abs((5.852257156264611 + ((1.7981395985817125e-07 * (abs((x0 * x1)) * abs((x0 * x1)))) * ((log(abs((x0 * x1))) + 7472.29538663884) * (log(abs((x0 * x1))) + 7472.29538663884)))))))),Log(Abs(Log(Abs(((((10.039948113913963) * ((x0)^(2))) * ((x1)^(2))) * ((((1.3382768590600595e-4) * (Log(Abs((x0) * (x1))))) + (1.0))^(2))) + (5.852257156264611))))),log(abs(log(abs(((((10.039948113913963 * (x0 ** 2.0)) * (x1 ** 2.0)) * (((0.00013382768590600595 * log(abs((x0 * x1)))) + 1.0) ** 2.0)) + 5.852257156264611))))),live_haskell
