dataset,raw_index,algorithm_raw,algo_row,input_kind,algorithm,source_orig_parsed_expr,source_orig_parsed_n_params,source_before_nodes,n_rank,before_params,after_params,rank_gap,simpl_parsed_n_params,parsed_rank_gap,runtime_ms,peak_rss_mb,passes,egraph_total_size,egraph_nodes,eclass_count,extracted_cost,rendered
pagie,6,Bingo,7,original,Bingo,0.33963694568414915 * log(abs(-35.167844692926785 * (-1.0 * (2.0 ** (-1.0) * 1.1727867299483856 ** (-1.0)) * (x0 * ((58.20319882282552 + x0) * x1)) + log(abs(x1))))) - 1.1727867299483856,5.0,21.0,4.0,5.0,5.0,1.0,5.0,1.0,715.4069590033032,122.265625,2.0,607.0,na,na,21.0,0.33963694568414915 * log(abs(-35.167844692926785 * (-0.42633497398286985 * (x0 * ((58.20319882282552 + x0) * x1)) + log(abs(x1))))) - 1.1727867299483856
kotanchek,27,Bingo,27,original,Bingo,-1.9305547847352778 * ((10.665734721501936 + x0 * (x0 * x0) * (x0 * (x0 * x0)) + 2.057897964881403 * x1 - x0) ** (-1.0) * (0.20556825888097427 + -2.9052829962789213 * x0 + exp(log(abs(x0))) - x1)),5.0,21.0,4.0,5.0,5.0,1.0,5.0,1.0,7473.969624988968,219.125,2.0,21396.0,na,na,32.0,-1.9305547847352778 * ((10.665734721501936 - (x0 - 2.057897964881403 * x1 - (x0 * (x0 * x0)) ** 2.0)) ** (-1.0) * (exp(log(abs(x0))) - x1 - 2.9052829962789213 * (x0 - 0.07075670739968036)))
kotanchek,27,Bingo,27,sympy,Bingo,(3.678253204741038 * x0 + 1.9305547847352778 * x1 - 0.39686078577236517) / (x0 ** 6.0 - x0 + 2.057897964881403 * x1 + 10.665734721501936),5.0,23.0,4.0,5.0,5.0,1.0,5.0,1.0,5744.163499999559,193.625,2.0,16267.0,na,na,21.0,(x0 + x1 / 1.9052829962789213 - 0.10789381907173667) / 0.27186817881679887 / (x0 ** 6.0 - x0 + x1 / 0.48593274159617056 + 10.665734721501936)
kotanchek,21,Bingo,21,sympy,Bingo,0.35701166729086253 * (-1.0 * x0 - exp(x0)) / (0.17850583364543127 * x0 * exp(x0) - exp(0.35701166729086253 * x0 + 0.35701166729086253 * exp(x0)) + log(x0 + exp(x0)) - 1.0299868162495163),5.0,24.0,3.0,5.0,4.0,1.0,4.0,1.0,1994.4551669759676,155.0625,2.0,68.0,na,na,29.0,(x0 + exp(x0)) / -2.8010289063894533 / (0.17850583364543127 * x0 * exp(x0) - exp((x0 + exp(x0)) / 2.8010289063894533) + log(x0 + exp(x0)) + -1.0299868162495163)
pagie,42,EPLEX,13,sympy,EPLEX,log(abs(log(abs(x0 ** 2.0 + 0.694)) + 2.03252032520325 * log(abs(log(abs((13.991224004743 * x1 ** 4.0 + 0.867051) / x1)) + 0.313)))),5.0,27.0,4.0,5.0,5.0,1.0,5.0,1.0,275.05645802011713,122.421875,2.0,742.0,na,na,27.0,log(abs(log(abs(x0 ** 2.0 + 0.694)) + 2.03252032520325 * log(abs(log(abs((x1 ** 4.0 + 0.061971061267125115) * (13.991224004743 / x1))) + 0.313))))
pagie,20,Bingo,20,sympy,Bingo,0.00010507476032088567 * (819.22982975795 * x0 + x1 - 1.9180501896236644) * log(x0 * x1 * (448579.1335037871 * x0 ** 3.0 * x1 ** 3.0 + 569.384534287446)) / x0,5.0,27.0,3.0,5.0,4.0,1.0,4.0,1.0,669.7095409908798,150.9375,2.0,107.0,na,na,24.0,log(x0 * x1 * (448579.1335037871 * x0 ** 3.0 * x1 ** 3.0 + 569.384534287446)) * (0.00010507476032088567 * (x1 / x0 + 819.22982975795))
pagie,169,SBP,19,original,SBP,0.012782 + 0.160826 * (exp(x0 * x0 - exp(x0)) * (x0 - (-13.585 - x0 + exp(2.825 - x1 * x1)) * x0 + 2.825)),5.0,28.0,4.0,5.0,5.0,1.0,5.0,1.0,91.35283299838191,119.203125,1.0,58.0,na,na,28.0,0.012782 + 0.160826 * (exp(x0 * x0 - exp(x0)) * (x0 - (-13.585 - x0 + exp(2.825 - x1 * x1)) * x0 + 2.825))
pagie,175,SBP,25,original,SBP,0.015024 + 291401.986945 * (exp(-17.803 + x0) * ((x1 - 6.944) * x1) * ((x1 - 5.3) * x1 + x1) * exp(x0 - x0 * x0)),5.0,28.0,2.0,5.0,3.0,1.0,3.0,1.0,295.0127079966478,128.375,2.0,629.0,na,na,25.0,0.005404404505733848 * exp(x0) * ((x1 + -6.944) * x1) * ((x1 + -5.3) * x1 + x1) * exp(x0 - x0 * x0)
pagie,23,Bingo,23,original,Bingo,-5.64393372152411 + 0.002708862303985314 * x1 ** (-1.0) + -0.06435725235582418 * ((-2311.5964730737646 - x0) * log(abs(3566206920.7839065 * (x0 ** (-1.0) * x1 ** (-1.0)))) ** (-1.0)),5.0,29.0,4.0,5.0,5.0,1.0,5.0,1.0,748.2411660021171,139.078125,1.0,5904.0,na,na,27.0,-5.64393372152411 + 0.002708862303985314 * x1 ** (-1.0) + -0.06435725235582418 * ((-2311.5964730737646 - x0) * log(abs(3566206920.7839065 * (x0 ** (-1.0) * x1 ** (-1.0)))) ** (-1.0))
pagie,151,SBP,2,original,SBP,0.166642 - 0.018385 * (x0 * x1 + ((-5.488 + x1) * (x1 + 0.546) + x1) * x1 + x0 * x0 + exp(-13.828 * x0)),5.0,30.0,2.0,5.0,5.0,3.0,5.0,3.0,212.3182499781251,120.0,2.0,132.0,na,na,26.0,0.166642 - 0.018385 * (x1 * ((-5.488 + x1) * (x1 + 0.546) + x1 + x0) + x0 * x0 + exp(-13.828 * x0))
kotanchek,20,Bingo,20,original,Bingo,-0.03309619870833754 * (-3.819150332778322 + x0 + (0.03907279509253594 + x0 * x0) * ((-15.272972634101004 + -7.53747357012547 * x1) * exp(x0 * x0) ** (-1.0))),5.0,32.0,4.0,5.0,5.0,1.0,5.0,1.0,783.1636660266668,131.203125,2.0,2837.0,na,na,24.0,-0.03309619870833754 * (-3.819150332778322 + x0 + (0.03907279509253594 + x0 * x0) * (-7.53747357012547 * (x1 + 2.026272131107024) * exp(x0 * x0) ** (-1.0)))
kotanchek,8,Bingo,8,original,Bingo,0.11720391936222797 * (x1 * ((0.6931234338478329 + x0 * (6.4849819024041455 + -0.6667403548542734 * ((-1.3864562418418644 + x1) * (-1.3864562418418644 + x1)) - x0)) * exp(x0) ** (-1.0))),6.0,21.0,2.0,6.0,5.0,3.0,5.0,3.0,144.84004100086167,119.34375,2.0,89.0,na,na,24.0,0.11720391936222797 * (x1 * ((0.6931234338478329 + x0 * (6.4849819024041455 + -0.6667403548542734 * (-1.3864562418418644 + x1) ** 2.0 - x0)) * exp(x0) ** (-1.0)))
