dataset,raw_index,algorithm_raw,algorithm,algo_row,is_paper_row,drop_reason,original_expr,sympy_expr,raw_csv_index,orig_nodes,orig_params,simpl_nodes,simpl_params,orig_nodes_sympy,orig_params_sympy,simpl_nodes_sympy,simpl_params_sympy,n_params,n_rank
pagie,75,FEAT,FEAT,16,0,drop_feat,-3974.01+4116.06*exp(0.0327*plog(0.0142*exp(0.8261*plog(0.4494*x1))))+377.50*plog(0.8694*plog(0.0656*x0))+335.35*exp(0.3851*plog(0.4763*x0))+124.08*exp(0.9256*plog(0.4494*x1))+112.06*plog(0.5961*(0.1310*plog(0.2073*x1)-0.2361*(0.3511*x1*x1)))-66.11*plog(0.6807*x1)-43.93*(0.3511*x1*x1)-43.02*(0.4579*plog(0.6240*x0)-0.8180*(0.3511*x1*x1))+14.35*(0.2213*x0*x0)+0.20*(0.3217*plog(0.7458*x1)*x1),3.175655*x0**2 - 3.068487604*x1**2 + 0.06434*x1*plog(0.7458*x1) - 19.698858*plog(0.624*x0) - 66.11*plog(0.6807*x1) + 112.06*plog(-0.049413536631*x1**2 + 0.0780891*plog(0.2073*x1)) + 377.5*plog(0.8694*plog(0.0656*x0)) + 335.35*exp(0.3851*plog(0.4763*x0)) + 124.08*exp(0.9256*plog(0.4494*x1)) + 4116.06*exp(0.0327*plog(0.0142*exp(0.8261*plog(0.4494*x1)))) - 3974.01,75,129.0,35.0,113.0,28.0,111.0,28.0,106.0,27.0,35.0,18.0
pagie,76,FEAT,FEAT,17,0,drop_feat,2957.49-6983.73*exp(0.8191*(0.2435*(0.1333*x1*x1)-0.8233*(0.1041*x1*x1)))+2232.15*exp(0.9284*(0.2435*(0.1333*x1*x1)-0.8233*(0.4467*x1/0.2207*x1)))+1198.09*(0.2435*(0.1333*x1*x1)-0.8233*(0.4467*x1/0.2207*x1))+866.89*(0.3821*plog(0.3131*x0)*exp(0.2609*(0.1249*x0*x0)))-579.39*(0.1790*plog(0.3131*x0)+0.5658*exp(0.2609*(0.0370*x0*x0)))+171.51*exp(0.9751*plog(0.3740*x1))-142.68*exp(0.9115*plog(0.3740*x1))+91.10*exp(0.9837*plog(0.3774*x0))+20.56*plog(0.8515*plog(0.3740*x0))-0.56*(0.2435*(0.1333*plog(0.8011*x1)*x1)-0.8233*(0.4467*x1/0.2207*x1)),-1956.64116386992*x1**2 - 0.018176788*x1*plog(0.8011*x1) + 331.238669*plog(0.3131*x0)*exp(0.03258641*x0**2) - 103.71081*plog(0.3131*x0) + 20.56*plog(0.8515*plog(0.374*x0)) - 327.818862*exp(0.0096533*x0**2) + 91.1*exp(0.9837*plog(0.3774*x0)) - 142.68*exp(0.9115*plog(0.374*x1)) + 171.51*exp(0.9751*plog(0.374*x1)) + 2957.49 + 2232.15*exp(-1.51692444604044*x1**2) - 6983.73*exp(-0.043614601318*x1**2),76,174.0,50.0,114.0,28.0,118.0,30.0,101.0,26.0,50.0,22.0
pagie,77,FEAT,FEAT,18,0,drop_feat,1615.33-9124.00*exp(0.8594*plog(0.1584*(0.0229*x0*x0)))-2443.32*exp(0.8594*(0.0229*x0*x0))+865.33*exp(0.8594*exp(0.4389*plog(0.1255*x0)))-343.74*exp(0.4389*plog(0.9786*x0))+133.05*(0.6983*x0*x0)+116.84*exp(0.4389*plog(0.1656*x1))+82.14*plog(0.2153*plog(0.1656*x1))+36.77*(0.0490*plog(0.4031*plog(0.3247*x1))-0.4792*plog(0.4947*x0))+6.64*plog(0.1883*x1)-0.23*(0.0146*(0.3111*exp(0.7003*x1)*plog(0.8099*plog(0.3911*plog(0.3247*x1))))-0.7943*(0.0532*plog(0.4068*plog(0.3911*plog(0.3911*x1)))-0.8992*x0)),92.908815*x0**2 - 0.1642739488*x0 - 17.620184*plog(0.4947*x0) + 6.64*plog(0.1883*x1) + 82.14*plog(0.2153*plog(0.1656*x1)) + 1.80173*plog(0.4031*plog(0.3247*x1)) - 0.0010446738*plog(0.8099*plog(0.3911*plog(0.3247*x1)))*exp(0.7003*x1) + 0.0097190548*plog(0.4068*plog(0.3911*plog(0.3911*x1))) - 2443.32*exp(0.01968026*x0**2) - 343.74*exp(0.4389*plog(0.9786*x0)) - 9124.0*exp(0.8594*plog(0.00362736*x0**2)) + 116.84*exp(0.4389*plog(0.1656*x1)) + 865.33*exp(0.8594*exp(0.4389*plog(0.1255*x0))) + 1615.33,77,160.0,44.0,146.0,37.0,146.0,37.0,143.0,37.0,44.0,27.0
pagie,78,FEAT,FEAT,19,0,drop_feat,3.46966-47.82*exp(0.8998*plog(0.5877*(0.1773*(0.0255*x1/0.7944*x1)-0.2609*(0.1967*x1*x1))))+10.31*(0.1041*x1*x1)+0.69*plog(0.4807*(0.1773*(0.0255*x1/0.7944*(0.1448*x1-0.3499*x1))-0.2609*(0.1967*x1*x1)))-0.37*plog(0.4807*(0.2247*(0.1773*(0.0255*x1/0.7944*x1)-0.2609*(0.1967*x1*x1))-0.0950*(0.1967*x1*x1)))-0.07*(0.2055*x0*x0)-0.05*plog(0.9959*(0.5141*plog(0.5877*x1)-0.1025*x1))+0.03*plog(0.4807*(0.1773*(0.0255*x1/0.7944*x1)-0.2609*(0.1967*x1*x1)))-0.01*plog(0.2938*(0.0830*x0/0.1487*exp(0.9262*plog(0.2938*(0.0830*x0/0.1487*exp(0.9262*(0.7115*(0.2055*x0*x0)/0.6674*(0.3059*x1/0.2886*x1))))))))-0.00*exp(0.9262*(0.5502*(0.1430*x0*x0)/0.5718*(0.7457*x1/0.2853*x1)))-0.00*exp(0.4454*(0.7115*(0.2055*x0*x0)/0.6674*(0.3059*x1/0.2886*x1))),-0.014385*x0**2 + 1.073271*x1**2 + 0.69*plog(-0.0252301696000351*x1**2) + 0.03*plog(-0.0219332611386737*x1**2) - 0.37*plog(-0.01391100432786*x1**2) - 0.01*plog(0.163990585070612*x0*exp(0.9262*plog(0.163990585070612*x0*exp(0.215074268858751*x0**2*x1**2)))) - 0.05*plog(-0.10207975*x1 + 0.51199219*plog(0.5877*x1)) - 47.82*exp(0.8998*plog(-0.0268154307701239*x1**2)) + 3.46966,78,196.0,58.0,104.0,23.0,112.0,27.0,92.0,21.0,72.0,1.0
pagie,79,FEAT,FEAT,20,0,drop_feat,6046.96-6026.31*exp(0.0911*(0.3811*x0*x0))-1989.80*exp(0.5219*plog(0.4331*x0))-1811.31*exp(0.9277*plog(0.5787*(0.2426*x0*x0)))+1715.78*(0.2426*x0*x0)+1543.95*exp(0.5990*plog(0.3652*x0))-442.16*plog(0.2571*plog(0.2891*x0))-175.23*(0.6701*plog(0.2683*(0.6701*plog(0.1056*x1)-0.2963*(0.1195*x1*x1)))-0.2963*(0.0958*x1*x1))+64.34*exp(0.5687*plog(0.3652*x1))+57.33*(0.7110*plog(0.5907*x0)-0.8188*exp(0.9277*(0.0958*x1*x1)))-20.53*(0.6701*plog(0.6701*x1)-0.2963*(0.0958*x1*x1)),416.248228*x0**2 + 5.5567533104*x1**2 + 40.76163*plog(0.5907*x0) - 13.757153*plog(0.6701*x1) - 117.421623*plog(-0.009499926155*x1**2 + 0.17978783*plog(0.1056*x1)) - 442.16*plog(0.2571*plog(0.2891*x0)) - 6026.31*exp(0.03471821*x0**2) - 46.941804*exp(0.08887366*x1**2) + 1543.95*exp(0.599*plog(0.3652*x0)) - 1989.8*exp(0.5219*plog(0.4331*x0)) - 1811.31*exp(0.9277*plog(0.14039262*x0**2)) + 64.34*exp(0.5687*plog(0.3652*x1)) + 6046.96,79,151.0,42.0,129.0,31.0,125.0,31.0,117.0,30.0,42.0,22.0
pagie,80,FEAT,FEAT,21,0,drop_feat,180.72-30733.13*(0.0010*x1*x1)-568.59*exp(0.6467*exp(0.6467*plog(0.9309*x0)))+499.97*exp(0.8051*plog(0.7056*x0))+443.77*exp(0.7036*plog(0.0578*x1))+420.16*exp(0.3511*(0.2990*x1*x1))+160.67*(0.0514*plog(0.2732*x1)/0.3997*(0.5357*x0/0.0788*x0))+86.67*exp(0.3573*plog(0.4720*x0))+50.93*(0.9163*x0*x0)+3.38*plog(0.8627*exp(0.7036*plog(0.2913*x1)))+0.05*plog(0.9821*plog(0.9707*exp(0.1243*x1))),140.462111704337*x0**2*plog(0.2732*x1) + 46.667159*x0**2 - 30.73313*x1**2 + 0.05*plog(0.9821*plog(0.9707*exp(0.1243*x1))) + 3.38*plog(0.8627*exp(0.7036*plog(0.2913*x1))) + 420.16*exp(0.1049789*x1**2) + 86.67*exp(0.3573*plog(0.472*x0)) + 499.97*exp(0.8051*plog(0.7056*x0)) + 443.77*exp(0.7036*plog(0.0578*x1)) - 568.59*exp(0.6467*exp(0.6467*plog(0.9309*x0))) + 180.72,80,125.0,35.0,107.0,28.0,111.0,28.0,104.0,28.0,35.0,18.0
pagie,81,FEAT,FEAT,22,0,drop_feat,105.342-531.05*exp(0.1489*plog(0.1059*x0))-308.80*exp(0.9980*plog(0.1059*x0))-197.29*plog(0.0947*plog(0.1095*x0))-79.08*exp(0.4794*plog(0.1023*x1))+48.59*exp(0.6828*plog(0.9104*x1))+44.13*(0.8226*exp(0.8717*plog(0.9104*x1))-0.5269*(0.0851*x0/0.9976*x0))-5.91*exp(0.9865*plog(0.1023*(0.2048*plog(0.9104*x1)-0.6681*plog(0.0941*exp(0.5523*x1)))))+0.75*exp(0.7792*plog(0.5661*plog(0.4135*plog(0.4173*x1))))-0.72*(0.1008*exp(0.6841*plog(0.9104*plog(0.5661*plog(0.4290*plog(0.4240*x0)))))+0.2293*x1)-0.29*plog(0.4135*plog(0.4272*x1)),-1.98351388803128*x0**2 - 0.165096*x1 - 197.29*plog(0.0947*plog(0.1095*x0)) - 0.29*plog(0.4135*plog(0.4272*x1)) - 531.05*exp(0.1489*plog(0.1059*x0)) - 308.8*exp(0.998*plog(0.1059*x0)) - 79.08*exp(0.4794*plog(0.1023*x1)) + 48.59*exp(0.6828*plog(0.9104*x1)) + 36.301338*exp(0.8717*plog(0.9104*x1)) - 5.91*exp(0.9865*plog(0.02095104*plog(0.9104*x1) - 0.06834663*plog(0.0941*exp(0.5523*x1)))) + 0.75*exp(0.7792*plog(0.5661*plog(0.4135*plog(0.4173*x1)))) - 0.072576*exp(0.6841*plog(0.9104*plog(0.5661*plog(0.429*plog(0.424*x0))))) + 105.342,81,168.0,47.0,158.0,42.0,160.0,43.0,157.0,42.0,47.0,30.0
pagie,82,FEAT,FEAT,23,0,drop_feat,-20645.1+22593.06*exp(0.0342*plog(0.0288*x0))+1642.20*plog(0.3477*plog(0.1143*x0))+685.81*exp(0.5799*plog(0.9824*x0))-596.61*exp(0.8515*exp(0.8515*plog(0.1528*x1)))+527.77*exp(0.8814*plog(0.4350*(0.2907*x1-0.6680*x1)))-369.33*plog(0.0678*x0)+50.11*(0.4834*x0*x0)+10.67*(0.4853*x1*x1)-4.25*exp(0.8814*plog(0.4350*(0.6698*x1-0.4404*(0.6256*x1/0.9696*exp(0.8814*plog(0.4350*x1))))))+0.15*(0.9578*(0.6256*x1/0.9696*exp(0.8814*plog(0.4350*(0.0469*x1+0.7478*x1))))-0.8056*(0.3042*x1-0.1685*x1)),24.223174*x0**2 + 5.178151*x1**2 + 0.0926979702970297*x1*exp(0.8814*plog(0.3456945*x1)) - 0.016397988*x1 - 369.33*plog(0.0678*x0) + 1642.2*plog(0.3477*plog(0.1143*x0)) + 22593.06*exp(0.0342*plog(0.0288*x0)) + 685.81*exp(0.5799*plog(0.9824*x0)) + 527.77*exp(0.8814*plog(-0.1641255*x1)) - 4.25*exp(0.8814*plog(-0.123606326732673*x1*exp(0.8814*plog(0.435*x1)) + 0.291363*x1)) - 596.61*exp(0.8515*exp(0.8515*plog(0.1528*x1))) - 20645.1,82,155.0,45.0,117.0,31.0,125.0,33.0,115.0,31.0,45.0,21.0
pagie,83,FEAT,FEAT,24,0,drop_feat,1889.9-1916.12*exp(0.2818*exp(0.7934*plog(0.8877*x1)))+884.10*exp(0.7934*plog(0.3624*x1))+327.30*exp(0.9372*plog(0.3624*x1))+45.74*(0.7727*x1*x1)+10.72*plog(0.3735*plog(0.0014*x0))-4.40*plog(0.8278*(0.0015*plog(0.0108*x1)*plog(0.4107*x0)))-3.17*(0.7668*x1-0.0005*(0.6687*x0*x0))-0.05*plog(0.2854*(0.4601*(0.1315*x0*plog(0.4695*plog(0.5396*x0)))/0.3955*plog(0.7732*plog(0.5396*x0))))+0.04*plog(0.8955*plog(0.8877*exp(0.4644*x1)))-0.02*plog(0.2854*(0.4601*plog(0.4695*plog(0.5396*x1))/0.3955*plog(0.7337*plog(0.5396*x1)))),0.0010598895*x0**2 + 35.343298*x1**2 - 2.430756*x1 - 4.4*plog(0.0012417*plog(0.4107*x0)*plog(0.0108*x1)) - 0.02*plog(0.332016536030341*plog(0.4695*plog(0.5396*x1))*plog(0.7337*plog(0.5396*x1))) - 0.05*plog(0.0436601744879899*x0*plog(0.4695*plog(0.5396*x0))*plog(0.7732*plog(0.5396*x0))) + 10.72*plog(0.3735*plog(0.0014*x0)) + 0.04*plog(0.8955*plog(0.8877*exp(0.4644*x1))) + 884.1*exp(0.7934*plog(0.3624*x1)) + 327.3*exp(0.9372*plog(0.3624*x1)) - 1916.12*exp(0.2818*exp(0.7934*plog(0.8877*x1))) + 1889.9,83,170.0,46.0,152.0,37.0,152.0,37.0,150.0,37.0,46.0,28.0
pagie,84,FEAT,FEAT,25,0,drop_feat,10169.3-10169.80*exp(0.2343*exp(0.8759*plog(0.7054*x0)))+5326.11*exp(0.8984*plog(0.1634*x0))+1226.99*exp(0.8759*plog(0.5721*x0))+649.63*(0.1747*x0*x0)+44.54*exp(0.9998*plog(0.2254*x1))-9.54*exp(0.6872*plog(0.7054*x1))-2.02*plog(0.4792*(0.2734*plog(0.8311*x1)-0.0506*(0.3565*x1*x1)))+1.88*plog(0.3602*plog(0.4355*x1))+0.66*plog(0.6986*x0)+0.05*(0.9340*x1+0.1757*plog(0.0118*(0.2734*exp(0.8115*x1)-0.0506*(0.9766*x1-0.0849*x1)))),113.490361*x0**2 + 0.0467*x1 + 0.66*plog(0.6986*x0) + 0.008785*plog(-0.000532416236*x1 + 0.00322612*exp(0.8115*x1)) - 2.02*plog(-0.00864424088*x1**2 + 0.13101328*plog(0.8311*x1)) + 1.88*plog(0.3602*plog(0.4355*x1)) + 5326.11*exp(0.8984*plog(0.1634*x0)) + 1226.99*exp(0.8759*plog(0.5721*x0)) + 44.54*exp(0.9998*plog(0.2254*x1)) - 9.54*exp(0.6872*plog(0.7054*x1)) - 10169.8*exp(0.2343*exp(0.8759*plog(0.7054*x0))) + 10169.3,84,138.0,39.0,122.0,32.0,126.0,34.0,120.0,32.0,39.0,23.0
pagie,85,FEAT,FEAT,26,0,drop_feat,637.433-788.81*(0.0049*x0*x0)-515.20*plog(0.1041*plog(0.3325*x0))+506.60*plog(0.0564*plog(0.3198*x0))-160.32*plog(0.9210*plog(0.3325*x1))+127.50*plog(0.1454*plog(0.2873*x1))-91.51*(0.0797*plog(0.0559*plog(0.3891*x1))-0.3873*(0.4035*x1*x1))+12.06*plog(0.1073*plog(0.4632*x0))-1.13*exp(0.5913*plog(0.1041*plog(0.2851*plog(0.0965*plog(0.2851*plog(0.1462*x0))))))-0.17*(0.0797*plog(0.6259*plog(0.3891*plog(0.3891*x1)))-0.3873*(0.3800*plog(0.3325*plog(0.9210*exp(0.0258*x1)))*plog(0.2851*(0.4035*plog(0.3325*plog(0.6259*plog(0.3891*plog(0.3891*x1))))*x1))))+0.00*exp(0.7213*(0.4813*x1/0.0102*plog(0.2873*x1))),-3.865169*x0**2 + 14.3007755805*x1**2 + 0.02501958*plog(0.11503785*x1*plog(0.3325*plog(0.6259*plog(0.3891*plog(0.3891*x1)))))*plog(0.3325*plog(0.921*exp(0.0258*x1))) + 506.6*plog(0.0564*plog(0.3198*x0)) - 515.2*plog(0.1041*plog(0.3325*x0)) + 12.06*plog(0.1073*plog(0.4632*x0)) + 127.5*plog(0.1454*plog(0.2873*x1)) - 160.32*plog(0.921*plog(0.3325*x1)) - 7.293347*plog(0.0559*plog(0.3891*x1)) - 0.013549*plog(0.6259*plog(0.3891*plog(0.3891*x1))) - 1.13*exp(0.5913*plog(0.1041*plog(0.2851*plog(0.0965*plog(0.2851*plog(0.1462*x0)))))) + 637.433,85,179.0,47.0,167.0,41.0,169.0,42.0,165.0,41.0,52.0,1.0
pagie,86,FEAT,FEAT,27,0,drop_feat,5221.38-4310.27*exp(0.2280*plog(0.1229*x1))+3821.11*(0.7474*plog(0.9040*plog(0.0542*x1))-0.7662*(0.0545*x0*x0))-3047.80*(0.0545*x0*x0)-1863.38*(0.4025*plog(0.2795*x0)/0.9285*(0.0864*x0/0.7917*x0))-247.71*exp(0.8807*plog(0.9756*x1))-172.28*plog(0.0542*x1)+30.08*plog(0.2795*plog(0.4829*(0.3995*x0*x0)))-15.32*(0.3016*x1*x1)+3.05*plog(0.9655*x0)+0.04*plog(0.9743*(0.4304*(0.0864*x0/0.7917*x0)-0.8980*x1)),-88.1532856536812*x0**2*plog(0.2795*x0) - 325.666629269*x0**2 - 4.620512*x1**2 + 3.05*plog(0.9655*x0) - 172.28*plog(0.0542*x1) + 0.04*plog(0.0457633767942403*x0**2 - 0.8749214*x1) + 30.08*plog(0.2795*plog(0.19291855*x0**2)) + 2855.897614*plog(0.904*plog(0.0542*x1)) - 4310.27*exp(0.228*plog(0.1229*x1)) - 247.71*exp(0.8807*plog(0.9756*x1)) + 5221.38,86,133.0,37.0,105.0,25.0,105.0,25.0,95.0,24.0,37.0,16.0
pagie,87,FEAT,FEAT,28,0,drop_feat,-123.354-597.80*(0.0104*(0.0104*x1*plog(0.7861*x1))*plog(0.7861*x1))+301.65*exp(0.3320*(0.4565*x1*x1))+194.93*exp(0.4474*plog(0.6568*x0))-143.36*(0.8414*(0.0489*x0-0.4023*(0.4984*x0+0.0035*x0))+0.9517*(0.1651*x1*x1))-131.21*exp(0.4666*(0.4565*x1*x1))+122.42*(0.1661*(0.6893*(0.7041*x0+0.2828*(0.0104*x1*plog(0.7861*x1)))-0.0115*x0)-0.6136*plog(0.6737*x0))+113.29*plog(0.4141*plog(0.1569*x0))+60.98*plog(0.0637*plog(0.4197*(0.4565*(0.4984*x0+0.0035*x0)*plog(0.1569*(0.1200*x0*x0)))))+4.51*exp(0.7100*plog(0.4920*x1))+0.77*exp(0.7300*plog(0.9098*plog(0.4141*plog(0.4141*x1)))),28.0920341276515*x0 - 22.5255360512*x1**2 - 0.064658048*x1*plog(0.7861*x1)**2 + 0.0412233261634114*x1*plog(0.7861*x1) - 75.116912*plog(0.6737*x0) + 113.29*plog(0.4141*plog(0.1569*x0)) + 60.98*plog(0.0637*plog(0.096160551795*x0*plog(0.018828*x0**2))) + 301.65*exp(0.151558*x1**2) - 131.21*exp(0.2130029*x1**2) + 194.93*exp(0.4474*plog(0.6568*x0)) + 4.51*exp(0.71*plog(0.492*x1)) + 0.77*exp(0.73*plog(0.9098*plog(0.4141*plog(0.4141*x1)))) - 123.354,87,186.0,52.0,142.0,34.0,132.0,31.0,127.0,31.0,52.0,24.0
pagie,88,FEAT,FEAT,29,0,drop_feat,-20.2023+1889.79*exp(0.6835*plog(0.5511*x1))-1111.17*exp(0.6334*plog(0.7846*x1))-384.13*(0.0986*(0.9151*exp(0.2747*(0.1426*x1+0.1367*plog(0.5019*x1)))-0.3215*plog(0.1038*plog(0.4280*x0)))+0.4384*(0.4333*x1-0.6701*x1))-346.38*exp(0.8234*plog(0.9078*x1))-253.40*(0.0350*x0*x0)+251.95*(0.0986*(0.9151*(0.4734*x1-0.3270*exp(0.1872*x1))-0.3215*plog(0.1038*plog(0.4530*x0)))+0.4384*(0.4333*x1-0.6701*x1))+83.08*plog(0.1206*plog(0.1206*x0))+27.72*(0.3874*x1-0.4887*(0.2657*x1*x1))+2.85*plog(0.8063*x0)+0.02*exp(0.9128*x1),-8.869*x0**2 - 3.5993751948*x1**2 + 35.2226247501318*x1 + 2.85*plog(0.8063*x0) + 83.08*plog(0.1206*plog(0.1206*x0)) + 12.176882587*plog(0.1038*plog(0.428*x0)) - 7.986789805*plog(0.1038*plog(0.453*x0)) - 7.433743737579*exp(0.1872*x1) + 0.02*exp(0.9128*x1) - 34.6596119918*exp(0.03917222*x1 + 0.03755149*plog(0.5019*x1)) + 1889.79*exp(0.6835*plog(0.5511*x1)) - 1111.17*exp(0.6334*plog(0.7846*x1)) - 346.38*exp(0.8234*plog(0.9078*x1)) - 20.2023,88,165.0,48.0,135.0,35.0,125.0,33.0,121.0,32.0,48.0,24.0
pagie,89,FEAT,FEAT,30,0,drop_feat,-13004.3+13162.26*exp(0.1033*exp(0.1579*plog(0.8402*x1)))-2056.15*exp(0.7951*plog(0.4189*x0))+1874.39*exp(0.7374*plog(0.7951*x0))+1602.71*plog(0.1082*plog(0.0260*x1))-1088.91*exp(0.6268*plog(0.3559*x0))-600.25*(0.4385*(0.0078*x1-0.2507*x0)*(0.0458*x0+0.0781*x1))+564.00*exp(0.5410*plog(0.1895*x1))+77.81*plog(0.4453*(0.0616*x0*x1))-75.87*plog(0.9854*x0)+40.58*(0.7903*(0.4382*x0-0.1276*x0)*(0.3406*x1-0.5080*x0)),9.9610581644*x0*(-0.508*x0 + 0.3406*x1) - 600.25*(-0.10993195*x0 + 0.0034203*x1)*(0.0458*x0 + 0.0781*x1) - 75.87*plog(0.9854*x0) + 77.81*plog(0.02743048*x0*x1) + 1602.71*plog(0.1082*plog(0.026*x1)) - 1088.91*exp(0.6268*plog(0.3559*x0)) - 2056.15*exp(0.7951*plog(0.4189*x0)) + 1874.39*exp(0.7374*plog(0.7951*x0)) + 564.0*exp(0.541*plog(0.1895*x1)) + 13162.26*exp(0.1033*exp(0.1579*plog(0.8402*x1))) - 13004.3,89,131.0,37.0,113.0,29.0,131.0,37.0,113.0,29.0,37.0,18.0
pagie,90,GOMEA,GOMEA,1,1,kept,1.950385-1.107514*((exp(((x1-x1)-(x1*x1)))+exp((exp(-5.436000)-(x0*x0))))),1.950385 - 1.107514*exp(-x1**2) - 1.11234982803047*exp(-x0**2),90,19.0,3.0,19.0,3.0,19.0,5.0,17.0,5.0,3.0,3.0
pagie,91,GOMEA,GOMEA,2,1,kept,1.993812-1.064938*((exp(((-9.935000+9.358000)*(x0*x0)))+exp((exp(-11.329000)-(x1*x1))))),1.993812 - 1.06495079984612*exp(-x1**2) - 1.064938*exp(-0.577*x0**2),91,17.0,4.0,17.0,4.0,21.0,6.0,17.0,5.0,4.0,4.0
pagie,92,GOMEA,GOMEA,3,1,kept,1.950381-42823.103036*((exp(((11.065000-21.622000)-(x0*x0)))+exp(((-3.089000-7.475000)-(x1*x1))))),1.950381 - 1.10609193829701*exp(-x1**2) - 1.11386174445997*exp(-x0**2),92,17.0,4.0,17.0,4.0,19.0,5.0,17.0,5.0,4.0,3.0
pagie,93,GOMEA,GOMEA,4,1,kept,1.950390-1.109745*((exp(((x0-x0)-(x1*x1)))+exp((exp(-8.548000)-(x0*x0))))),1.95039 - 1.109745*exp(-x1**2) - 1.1099602365778*exp(-x0**2),93,19.0,3.0,19.0,3.0,19.0,5.0,17.0,5.0,3.0,3.0
pagie,94,GOMEA,GOMEA,5,1,kept,1.950365-1.102849*((exp(((x1-x1)-(x1*x1)))+exp(((4.752000-4.739000)-(x0*x0))))),1.950365 - 1.102849*exp(-x1**2) - 1.1172796328829*exp(-x0**2),94,19.0,3.0,19.0,3.0,19.0,5.0,17.0,5.0,3.0,3.0
pagie,95,GOMEA,GOMEA,6,1,kept,1.974644-1.060379*((exp((exp(-3.066000)-(x0*x0)))+exp(((-0.726000*x1)*x1)))),1.974644 - 1.060379*exp(-0.726*x1**2) - 1.11097010569563*exp(-x0**2),95,19.0,5.0,17.0,4.0,21.0,6.0,17.0,5.0,4.0,4.0
pagie,96,GOMEA,GOMEA,7,1,kept,1.918745-23802.792114*((exp((-10.432000-(x0*x0)))+exp(((2.700000-12.507000)-(x1*x1))))),1.918745 - 1.31069583571551*exp(-x1**2) - 0.701564925378973*exp(-x0**2),96,17.0,4.0,17.0,4.0,19.0,5.0,17.0,5.0,4.0,3.0
pagie,97,GOMEA,GOMEA,8,1,kept,1.942860-1.152683*(exp((((-2.509000-10.440000)*(x1*x1))*(exp(-4.814000)*(x0*x0))))),1.94286 - 1.152683*exp(-0.105085451613159*x0**2*x1**2),97,16.0,4.0,14.0,3.0,16.0,4.0,12.0,3.0,4.0,3.0
pagie,98,GOMEA,GOMEA,9,1,kept,2.007440-1.043210*((exp(((x1*x1)*(23.561000-24.049000)))+exp(((x1-x1)-(x0*x0))))),2.00744 - 1.04321*exp(-0.488*x1**2) - 1.04321*exp(-x0**2),98,19.0,3.0,19.0,3.0,21.0,6.0,15.0,4.0,3.0,3.0
pagie,99,GOMEA,GOMEA,10,1,kept,1.844910-1.211361*(exp((((12.665000-12.944000)+exp(-7.863000))*((x0*x0)*(x1*x1))))),1.84491 - 1.211361*exp(-0.278615282015546*x0**2*x1**2),99,14.0,3.0,14.0,3.0,16.0,4.0,12.0,3.0,4.0,3.0
pagie,100,GOMEA,GOMEA,11,1,kept,1.950391-0.000021*((exp(((13.012000-2.124000)-(x0*x0)))+exp(((-1.572000+12.461000)-(x1*x1))))),1.950391 - 1.12525747907577*exp(-x1**2) - 1.12413278403794*exp(-x0**2),100,17.0,4.0,17.0,4.0,19.0,5.0,17.0,5.0,4.0,3.0
pagie,101,GOMEA,GOMEA,12,1,kept,1.884443-1.188614*(exp((((-3.546000+x1)-(x1-3.362000))*((x0*x0)*(x1*x1))))),1.884443 - 1.188614*exp(-0.184*x0**2*x1**2),101,20.0,4.0,18.0,3.0,16.0,4.0,12.0,3.0,4.0,3.0
pagie,102,GOMEA,GOMEA,13,1,kept,1.926897-1.163077*(exp((x0*((-0.122000*x1)*(x0*x1))))),1.926897 - 1.163077*exp(-0.122*x0**2*x1**2),102,16.0,4.0,14.0,3.0,16.0,4.0,12.0,3.0,3.0,3.0
pagie,103,GOMEA,GOMEA,14,1,kept,1.993304-1.068007*((exp(((17.091000-17.877000)*(x1*x1)))+exp(((-0.722000*x0)*x0)))),1.993304 - 1.068007*exp(-0.785999999999998*x1**2) - 1.068007*exp(-0.722*x0**2),103,19.0,5.0,17.0,4.0,23.0,7.0,15.0,4.0,4.0,4.0
pagie,104,GOMEA,GOMEA,15,1,kept,1.950390-1.109582*((exp((exp(-7.605000)-(x0*x0)))+exp(((x1-x1)-(x1*x1))))),1.95039 - 1.109582*exp(-x1**2) - 1.11013465996109*exp(-x0**2),104,19.0,3.0,19.0,3.0,19.0,5.0,17.0,5.0,3.0,3.0
pagie,105,GOMEA,GOMEA,16,1,kept,1.950383-1.106588*((exp((exp(-5.103000)-(x0*x0)))+exp(((x0-x0)-(x1*x1))))),1.950383 - 1.106588*exp(-x1**2) - 1.11333486172906*exp(-x0**2),105,19.0,3.0,19.0,3.0,19.0,5.0,17.0,5.0,3.0,3.0
pagie,106,GOMEA,GOMEA,17,1,kept,1.950390-1.109849*((exp(((x1-x1)-(x0*x0)))+exp(((x0-x0)-(x1*x1))))),1.95039 - 1.109849*exp(-x1**2) - 1.109849*exp(-x0**2),106,21.0,2.0,21.0,2.0,19.0,5.0,15.0,4.0,2.0,2.0
pagie,107,GOMEA,GOMEA,18,1,kept,1.950390-1.109849*((exp(((x1-x1)-(x0*x0)))+exp(((x0-x0)-(x1*x1))))),1.95039 - 1.109849*exp(-x1**2) - 1.109849*exp(-x0**2),107,21.0,2.0,21.0,2.0,19.0,5.0,15.0,4.0,2.0,2.0
