dataset,raw_index,algorithm_raw,algorithm,algo_row,is_paper_row,drop_reason,original_expr,sympy_expr,raw_csv_index,orig_nodes,orig_params,simpl_nodes,simpl_params,orig_nodes_sympy,orig_params_sympy,simpl_nodes_sympy,simpl_params_sympy,n_params,n_rank
pagie,12,Bingo,Bingo,13,1,kept,0.46055102457050884 + (-11903.1935774518 + ((x0)^(-1))*(exp(x1)))*((-9960.615166624408 + (-8736.856642285593)*((x1)^(-2)) + ((x0)^(-1))*(exp(x1)))^(-1)) + (0.3353899762817782)*(plog(x0)),(11903.1935774518 - exp(x1)/x0)/(9960.615166624408 + 8736.856642285593/x1**2 - exp(x1)/x0) + 0.3353899762817782*log(x0) + 0.46055102457050884,12,33.0,5.0,29.0,5.0,27.0,5.0,26.0,5.0,5.0,5.0
pagie,13,Bingo,Bingo,14,1,kept,-3.6628323446084137 + (-140960.10336012763)*(((-1951.8497630927013 + x0)^(-1))*((plog(((x0)^(-1))*(-38271.243311540704 + (-3434828.851252485)*((x1)^(-1)) + (-66329.49759041717)*(x1))))^(-1))),-3.6628323446084137 - 140960.10336012763/((x0 - 1951.8497630927013)*log(-(66329.49759041717*x1 + 38271.243311540704 + 3434828.851252485/x1)/x0)),13,29.0,6.0,25.0,6.0,23.0,7.0,21.0,6.0,6.0,6.0
pagie,14,Bingo,Bingo,15,1,kept,-0.3615909827079473 - ((-0.3615909827079473 + (-0.15940944833036993 + (0.7495558385988832 + (-0.052282035688047096)*((x0)*(x0)))*(0.7495558385988832 + (-0.052282035688047096)*((x0)*(x0))))*(-0.15940944833036993 + (0.7495558385988832 + (-0.052282035688047096)*((x0)*(x0)))*(0.7495558385988832 + (-0.052282035688047096)*((x0)*(x0)))))*(plog((-242.5021661422168)*(x1)))),-(0.3156573931905898*((0.069750688335342645*x0**2 - 1)**2 - 0.28373053437106359)**2 - 0.3615909827079473)*(log(-x1) + 5.491010642882867) - 0.3615909827079473,14,45.0,13.0,39.0,10.0,29.0,9.0,24.0,8.0,13.0,6.0
pagie,15,Bingo,Bingo,16,1,kept,(-0.0016724665952508537)*(292.42415431458545 + x1 + ((-1)*((-314.9892428270721)^(-1)))*((((x0)^(-1))*((x1)^(-1)))*((39.54832653926522 + x1)*(plog((-314.9892428270721)*((x0)*(x1)))))) + (-240.49898207944213)*(plog((-314.9892428270721)*((x0)*((x1)*((plog((-314.9892428270721)*((x0)*(x1))))^(-1))))))),(x0*x1*(-0.0016724665952508537*x1 + 0.40222651371970066*log(-x0*x1/(log(-x0*x1) + 5.75253848848719)) + 1.8247538715269739) - 5.3095990842107314e-6*(x1 + 39.54832653926522)*(log(-x0*x1) + 5.75253848848719))/(x0*x1),15,47.0,8.0,44.0,8.0,51.0,11.0,49.0,10.0,8.0,7.0
pagie,16,Bingo,Bingo,17,0,paper_manual_drop,((-2)*(-0.16807062259009387) + (-0.00015170797954567304)*(x1))*(plog((-2)*(-0.16807062259009387) + (-0.00015170797954567304)*(x1) + (-86.49043797591587)*((x0)*((x1)*((-2)*(-0.16807062259009387) + (-0.00015170797954567304)*(x1)))) + (-2)*((x1)*(((-2)*(-0.16807062259009387) + (-0.00015170797954567304)*(x1) + (-86.49043797591587)*((x0)*((x1)*((-2)*(-0.16807062259009387) + (-0.00015170797954567304)*(x1)))))^(-1))))),-(0.00015170797954567304*x1 - 0.33614124518018774)*log(-(2*x1 - 7480.59586126575*(x0*x1*(0.00015170797954567304*x1 - 0.33614124518018774) - 1.7540433728398699e-6*x1 + 0.0038864555787518343)**2)/(86.49043797591587*x0*x1*(0.00015170797954567304*x1 - 0.33614124518018774) - 0.00015170797954567304*x1 + 0.33614124518018774)),16,49.0,13.0,36.0,9.0,53.0,15.0,36.0,9.0,12.0,10.0
pagie,17,Bingo,Bingo,18,1,kept,(7.051978434353006)*(0.1577598589609299 + (-0.001006011746264326)*((-8.107154770143312 + x0)*((6.507788542716649 + x0 + plog(x0))*(plog((x0)*(x1)))))),-0.007094373139361835*(x0 - 8.107154770143312)*(x0 + log(x0) + 6.507788542716649)*log(x0*x1) + 1.112519123199049,17,23.0,5.0,21.0,4.0,23.0,5.0,21.0,4.0,5.0,4.0
pagie,18,Bingo,Bingo,19,1,kept,3.5993169689720506 + (-4.508737153066167e-07)*((521.6683948517077 + (23.730684923841224)*(plog((x0)*(x1))) - (x0))*(10602.124752119917 + (-1792.3707483707349)*(plog((x0)*(x1))))),4.508737153066167e-7*(1792.3707483707349*log(x0*x1) - 10602.124752119917)*(-x0 + 23.730684923841224*log(x0*x1) + 521.6683948517077) + 3.5993169689720506,18,25.0,6.0,23.0,5.0,27.0,7.0,23.0,5.0,6.0,5.0
pagie,19,Bingo,Bingo,20,1,kept,(-0.00010507476032088567)*((-819.22982975795 + ((x0)^(-1))*(1.9180501896236644 - (x1)))*(plog((-61.64925975453745)*((-9.235869766393078)*((x0)*(x1)) + ((-1)*(((-9.235869766393078)*(-9.235869766393078))*((-9.235869766393078)*(-9.235869766393078))))*((((x0)*(x0))*((x0)*(x0)))*(((x1)*(x1))*((x1)*(x1)))))))),0.00010507476032088567*(819.22982975795*x0 + x1 - 1.9180501896236644)*log(x0*x1*(448579.1335037871*x0**3*x1**3 + 569.384534287446))/x0,19,39.0,6.0,32.0,5.0,29.0,5.0,27.0,5.0,6.0,5.0
pagie,20,Bingo,Bingo,21,1,kept,plog(plog(5.852257156264611 + ((exp(plog((0.0004240447616209535)*((x0)*(x1)))))*(exp(plog((0.0004240447616209535)*((x0)*(x1))))))*((7480.0610581772835 + plog((0.0004240447616209535)*((x0)*(x1))))*(7480.0610581772835 + plog((0.0004240447616209535)*((x0)*(x1))))))),log(log(10.039948113913963*x0**2*x1**2*(0.00013382768590600596*log(x0*x1) + 1)**2 + 5.852257156264611)),20,43.0,7.0,39.0,7.0,27.0,4.0,24.0,4.0,7.0,3.0
pagie,21,Bingo,Bingo,22,1,kept,(0.3407158075111429)*(plog(0.39963452583999787 + (0.07297318016992407)*((x0)*((x1)*(401.296952200405 + x0 + (2)*(x1) - (exp(x0) + exp(x1)))) - (x0)))),0.3407158075111429*log(0.07297318016992407*x0*x1*(x0 + 2*x1 - exp(x0) - exp(x1) + 401.296952200405) - 0.07297318016992407*x0 + 0.39963452583999787),21,27.0,5.0,27.0,5.0,29.0,6.0,27.0,5.0,4.0,4.0
