implementation,algorithm_raw,algorithm,algo_row,node_count,after_nodes,runtime_ms,status
Archived Haskell,,,,151,,643.600000000,archived_benchmark
Archived Haskell,,,,125,,709.800000000,archived_benchmark
Archived Haskell,,,,168,,1315.000000000,archived_benchmark
Archived Haskell,,,,155,,305.200000000,archived_benchmark
Archived Haskell,,,,170,,373.500000000,archived_benchmark
Archived Haskell,,,,138,,309.200000000,archived_benchmark
Archived Haskell,,,,179,,663.600000000,archived_benchmark
Archived Haskell,,,,133,,594.100000000,archived_benchmark
Archived Haskell,,,,186,,423.500000000,archived_benchmark
Archived Haskell,,,,165,,453.100000000,archived_benchmark
Archived Haskell,,,,131,,1150.000000000,archived_benchmark
Archived Haskell,,,,1,,0.139700000,archived_benchmark
Archived Haskell,,,,30,,253.500000000,archived_benchmark
Archived Haskell,,,,28,,274.600000000,archived_benchmark
Archived Haskell,,,,10,,0.954400000,archived_benchmark
Archived Haskell,,,,31,,435.000000000,archived_benchmark
Archived Haskell,,,,1,,0.166900000,archived_benchmark
Archived Haskell,,,,28,,157.900000000,archived_benchmark
Archived Haskell,,,,29,,5.302000000,archived_benchmark
Archived Haskell,,,,29,,73.570000000,archived_benchmark
Archived Haskell,,,,28,,393.900000000,archived_benchmark
Archived Haskell,,,,29,,262.800000000,archived_benchmark
Archived Haskell,,,,29,,393.600000000,archived_benchmark
Archived Haskell,,,,29,,225.200000000,archived_benchmark
Archived Haskell,,,,26,,4.449000000,archived_benchmark
Archived Haskell,,,,29,,173.700000000,archived_benchmark
Archived Haskell,,,,26,,81.570000000,archived_benchmark
Archived Haskell,,,,29,,294.500000000,archived_benchmark
Archived Haskell,,,,27,,53.530000000,archived_benchmark
Archived Haskell,,,,28,,3.177000000,archived_benchmark
Archived Haskell,,,,28,,221.100000000,archived_benchmark
Archived Haskell,,,,28,,4.708000000,archived_benchmark
Archived Haskell,,,,31,,262.300000000,archived_benchmark
Archived Haskell,,,,29,,130.800000000,archived_benchmark
Archived Haskell,,,,27,,65.000000000,archived_benchmark
Archived Haskell,,,,29,,24.890000000,archived_benchmark
Archived Haskell,,,,28,,5.798000000,archived_benchmark
Archived Haskell,,,,27,,20.730000000,archived_benchmark
Archived Haskell,,,,28,,306.400000000,archived_benchmark
Archived Haskell,,,,28,,85.760000000,archived_benchmark
Archived Haskell,,,,28,,23.420000000,archived_benchmark
Archived Haskell,,,,43,,14.500000000,archived_benchmark
Archived Haskell,,,,23,,25.420000000,archived_benchmark
Archived Haskell,,,,27,,3.468000000,archived_benchmark
Archived Haskell,,,,49,,31.470000000,archived_benchmark
Archived Haskell,,,,23,,2.993000000,archived_benchmark
Archived Haskell,,,,53,,36.180000000,archived_benchmark
Archived Haskell,,,,21,,8.431000000,archived_benchmark
Archived Haskell,,,,20,,225.500000000,archived_benchmark
Archived Haskell,,,,31,,102.600000000,archived_benchmark
Archived Haskell,,,,25,,5.126000000,archived_benchmark
Archived Haskell,,,,24,,294.000000000,archived_benchmark
Archived Haskell,,,,15,,130.600000000,archived_benchmark
Archived Haskell,,,,33,,5.123000000,archived_benchmark
Archived Haskell,,,,29,,281.400000000,archived_benchmark
Archived Haskell,,,,45,,36.260000000,archived_benchmark
Archived Haskell,,,,47,,126.000000000,archived_benchmark
Archived Haskell,,,,49,,111.500000000,archived_benchmark
Archived Haskell,,,,23,,6.700000000,archived_benchmark
Archived Haskell,,,,25,,13.980000000,archived_benchmark
Archived Haskell,,,,39,,45.590000000,archived_benchmark
Archived Haskell,,,,43,,5.005000000,archived_benchmark
