row,egglog_status,egglog_numeric_status,haskell_status,egglog_runtime_s,haskell_runtime_s,egglog_before_params,egglog_after_params,haskell_before_params,haskell_after_params,optimal_params,egglog_gap_to_optimal,haskell_gap_to_optimal,egglog_total_size,egglog_node_count,egglog_eclass_count,haskell_after_nodes,input_expr,egglog_output,haskell_output
242,saturated,ok,ok,0.025340,0.026653,11,9,11,9,11,-2,-2,175,189,77,36,-11.2752117161121 * alpha * (cube(0.073778153010664 * theta) + exp(-0.69993061751126 * alpha) - (-0.0747213091406558 * alpha + 0.200577038510135 * theta)) * (-0.590711298549113 * theta * -0.559127646423189 * beta - (0.0418720418040135 * alpha + 1.43410728953463 * beta)) * 0.588930837256705 + 1.69692091006462,((((beta * ((theta * 0.3302830180733513) + -1.43410728953463)) + (-0.0418720418040135 * alpha)) * ((alpha * (((((0.073778153010664 * theta) ** 3.0) + exp((-0.69993061751126 * alpha))) + (0.0747213091406558 * alpha)) + (-0.200577038510135 * theta))) * -6.640319876216509)) + 1.69692091006462),"((((x[:, 1] * ((x[:, 2] * 0.3302830180733513) + -1.43410728953463)) + (x[:, 0] * -4.18720418040135e-2)) * (x[:, 0] * ((((x[:, 2] * 7.3778153010664e-2) ** 3.0 + np.exp((x[:, 0] * -0.69993061751126))) - ((x[:, 0] * -7.47213091406558e-2) + (x[:, 2] * 0.200577038510135))) * -6.640319876216509))) + 1.69692091006462)"
243,saturated,ok,ok,0.024320,0.022947,11,8,11,8,11,-3,-3,128,140,62,30,-11.2143385348281 * alpha * (0.170261743598609 * theta + exp(-0.715619205753572 * alpha) - (-0.071966314764016 * alpha + 0.361314755946199 * theta)) * (-0.485232355225995 * theta * -0.447095079555592 * beta - (0.027348550790809 * alpha + 0.941360947188218 * beta)) * 0.90739556137621 + 1.66119193008959,((((beta * ((theta * 0.21694499846271353) + -0.941360947188218)) + (-0.027348550790809 * alpha)) * ((alpha * ((exp((-0.715619205753572 * alpha)) + (theta * -0.19105301234759)) + (0.071966314764016 * alpha))) * -10.175841010273208)) + 1.66119193008959),"((((x[:, 1] * ((x[:, 2] * 0.21694499846271353) + -0.941360947188218)) + (x[:, 0] * -2.7348550790809e-2)) * (((np.exp((x[:, 0] * -0.715619205753572)) + (x[:, 0] * 7.1966314764016e-2)) + (x[:, 2] * -0.19105301234759)) * (x[:, 0] * -10.175841010273208))) + 1.66119193008959)"
244,saturated,ok,ok,0.021602,0.007474,10,10,10,10,10,0,0,133,146,68,37,(0.192812552559143 * alpha + 1.78706596598663 * beta) * (exp(0.334639847603676 * theta) + exp(-1.21579529556116 * alpha) - 0.990434673235888 * theta) * (-2.34643752046097 * alpha + -0.780360633982903 * beta + 0.77285900230191 * theta) * -0.536137809483457 + 0.352409101463066,((((((0.192812552559143 * alpha) + (1.78706596598663 * beta)) * ((exp((0.334639847603676 * theta)) + exp((-1.21579529556116 * alpha))) + (-0.990434673235888 * theta))) * (((-2.34643752046097 * alpha) + (-0.780360633982903 * beta)) + (0.77285900230191 * theta))) * -0.536137809483457) + 0.352409101463066),"((((((0.192812552559143 * x[:, 0]) + (1.78706596598663 * x[:, 1])) * ((np.exp((0.334639847603676 * x[:, 2])) + np.exp((x[:, 0] * -1.21579529556116))) - (x[:, 2] * 0.990434673235888))) * (((x[:, 0] * -2.34643752046097) + (x[:, 1] * -0.780360633982903)) + (x[:, 2] * 0.77285900230191))) * -0.536137809483457) + 0.352409101463066)"
245,saturated,ok,ok,0.022719,0.016869,9,8,9,8,9,-1,-1,152,164,67,33,(-9.08924133333802 * beta - cube(-0.437135535627164 * theta)) * ((exp(0.344017030713216 * theta) + exp(-0.919258162960739 * alpha) - (-0.0187720707442146 * alpha + 1.051182433357 * theta)) * 1.61430356150055) * alpha * -0.196000963976589 + 0.273777371448601,((((-9.08924133333802 * beta) - ((-0.437135535627164 * theta) ** 3.0)) * ((((exp((0.344017030713216 * theta)) + exp((-0.919258162960739 * alpha))) + (0.0187720707442146 * alpha)) + (-1.051182433357 * theta)) * (alpha * -0.31640505420494863))) + 0.273777371448601),"(((((-9.08924133333802 * x[:, 1]) - (-0.437135535627164 * x[:, 2]) ** 3.0) * (x[:, 0] * ((np.exp((x[:, 2] * 0.344017030713216)) + np.exp((x[:, 0] * -0.919258162960739))) - ((x[:, 0] * -1.87720707442146e-2) + (x[:, 2] * 1.051182433357))))) * -0.31640505420494863) + 0.273777371448601)"
246,saturated,ok,ok,0.025958,0.006416,8,8,8,8,8,0,0,112,123,57,30,(-0.202416846662747 * alpha + 1.67997883094167 * beta) * (exp(0.326489429813893 * theta) + exp(-1.12175697997445 * alpha) - 0.95431551635003 * theta) * exp(0.485494596007029 * alpha) * 1.24343153730008 + -0.247937325305507,((((((-0.202416846662747 * alpha) + (1.67997883094167 * beta)) * ((exp((0.326489429813893 * theta)) + exp((-1.12175697997445 * alpha))) + (-0.95431551635003 * theta))) * exp((0.485494596007029 * alpha))) * 1.24343153730008) + -0.247937325305507),"((((((-0.202416846662747 * x[:, 0]) + (1.67997883094167 * x[:, 1])) * ((np.exp((0.326489429813893 * x[:, 2])) + np.exp((x[:, 0] * -1.12175697997445))) - (x[:, 2] * 0.95431551635003))) * np.exp((x[:, 0] * 0.485494596007029))) * 1.24343153730008) + -0.247937325305507)"
247,saturated,ok,ok,0.025993,0.025168,9,6,9,6,9,-3,-3,105,115,49,21,-11.1327500304554 * alpha * (4.20610068650357 * theta + -18.9181175898631) * (0.211796023364703 * theta * 0.241429043703398 * beta - (-0.007746013372591 * alpha + 0.104637183268199 * beta)) * -0.180570651822654 + 1.90274842949977,((((beta * ((theta * 0.05113371138112278) + -0.104637183268199)) + (0.007746013372591 * alpha)) * (((theta + -4.497780485989573) * alpha) * 8.455305196640417)) + 1.90274842949977),"((((x[:, 1] * ((x[:, 2] * 5.113371138112278e-2) + -0.104637183268199)) + (x[:, 0] * 7.746013372591e-3)) * ((x[:, 0] * (x[:, 2] + -4.497780485989573)) * 8.455305196640417)) + 1.90274842949977)"
248,saturated,ok,ok,0.023900,0.050796,8,5,8,4,8,-3,-4,91,99,41,15,-0.0330438461216954 * alpha * (-11.4447145790783 * beta - 2.41501939623287 * theta * -2.44802779059523 * beta) * (-2.48538800029092 * theta + 11.0632508447453) * 0.928150142220001 + 1.4611587077846,((((-11.4447145790783 * beta) - ((theta * -5.912034596804579) * beta)) * (alpha * ((theta + -4.451317397303891) * 0.07622598126951595))) + 1.4611587077846),"((0.45065063844075615 * (x[:, 1] * ((x[:, 0] * (x[:, 2] + -4.451317397303891)) * (x[:, 2] + -1.9358334921220017)))) + 1.4611587077846)"
249,saturated,ok,ok,0.021819,0.042440,7,5,7,4,7,-2,-3,92,100,42,16,0.264131989397069 * alpha * (-11.4402029674239 * beta - 2.45958387865824 * theta * -2.46178709785509 * beta) * log(0.223461828991585 * theta) * 0.958431655945274 + 1.36213655303099,((((-11.4402029674239 * beta) - ((theta * -6.054971858573234) * beta)) * ((-1.4985146670240477 + log(theta)) * (alpha * 0.2531524599859524))) + 1.36213655303099),"((x[:, 0] * (1.5328310211435285 * (x[:, 1] * (np.log((x[:, 2] * 0.223461828991585)) * (x[:, 2] + -1.8893899483984748))))) + 1.36213655303099)"
250,saturated,ok,ok,0.020276,0.002894,6,6,6,6,6,0,0,64,74,43,22,(1.5456896209039 * alpha + 2.91897607898773 * beta) * (log(0.601572144092179 * theta) + cube(-0.218629549671885 * theta)) * -1.66140812588498 + 2.31568318436382,(((((1.5456896209039 * alpha) + (2.91897607898773 * beta)) * ((-0.5082088104567921 + log(theta)) + ((-0.218629549671885 * theta) ** 3.0))) * -1.66140812588498) + 2.31568318436382),"(((((1.5456896209039 * x[:, 0]) + (2.91897607898773 * x[:, 1])) * (np.log((0.601572144092179 * x[:, 2])) + (x[:, 2] * -0.218629549671885) ** 3.0)) * -1.66140812588498) + 2.31568318436382)"
251,saturated,ok,ok,0.022139,0.152216,6,6,6,6,6,0,0,69,81,47,19,(-1.56280703365763 * alpha + sqr(-4.63988651515172 + -0.209660221396716 * beta - -1.67357116410385 * theta)) * 0.983049986589201 + 0.697153780372949,((((-1.56280703365763 * alpha) + (((-4.63988651515172 + (-0.209660221396716 * beta)) + (1.67357116410385 * theta)) ** 2.0)) * 0.983049986589201) + 0.697153780372949),"((((-1.56280703365763 * x[:, 0]) + ((-4.63988651515172 + (-0.209660221396716 * x[:, 1])) - (-1.67357116410385 * x[:, 2])) ** 2.0) * 0.983049986589201) + 0.697153780372949)"
252,saturated,ok,ok,0.010858,0.001878,5,5,5,5,5,0,0,50,59,37,19,sqr(1.61081075613717 * alpha + 11.0181941273375 * theta + cube(-0.698381465792242 * theta)) * -0.0184941132841743 + 11.5304733131549,((((((1.61081075613717 * alpha) + (11.0181941273375 * theta)) + ((-0.698381465792242 * theta) ** 3.0)) ** 2.0) * -0.0184941132841743) + 11.5304733131549),"(((((1.61081075613717 * x[:, 0]) + (11.0181941273375 * x[:, 2])) + (x[:, 2] * -0.698381465792242) ** 3.0) ** 2.0 * -1.84941132841743e-2) + 11.5304733131549)"
253,saturated,ok,ok,0.011177,0.001572,5,5,5,5,5,0,0,44,53,34,15,(-0.794928539591322 * alpha + sqr(-1.22930080924982 * theta + 3.89468401244152)) * 1.81953338860122 + 0.516648082509259,((((-0.794928539591322 * alpha) + (((-1.22930080924982 * theta) + 3.89468401244152) ** 2.0)) * 1.81953338860122) + 0.516648082509259),"((((-0.794928539591322 * x[:, 0]) + ((-1.22930080924982 * x[:, 2]) + 3.89468401244152) ** 2.0) * 1.81953338860122) + 0.516648082509259)"
254,saturated,ok,ok,0.010015,0.001493,4,4,4,4,4,0,0,32,39,28,15,sqr(2.30013271719146 * theta - cube(0.41331927360689 * theta)) * -0.600372883080618 + 10.6692145122883,(((((2.30013271719146 * theta) - ((0.41331927360689 * theta) ** 3.0)) ** 2.0) * -0.600372883080618) + 10.6692145122883),"((((2.30013271719146 * x[:, 2]) - (x[:, 2] * 0.41331927360689) ** 3.0) ** 2.0 * -0.600372883080618) + 10.6692145122883)"
255,saturated,ok,ok,0.011003,0.001116,4,4,4,4,4,0,0,35,42,27,11,sqr(-4.67073529221681 + 1.46732012594176 * theta) * 1.44870823647827 + -4.31913325333442,((((-4.67073529221681 + (1.46732012594176 * theta)) ** 2.0) * 1.44870823647827) + -4.31913325333442),"(((-4.67073529221681 + (1.46732012594176 * x[:, 2])) ** 2.0 * 1.44870823647827) + -4.31913325333442)"
256,saturated,ok,ok,0.010929,0.001090,3,3,3,3,3,0,0,30,36,24,10,sqr(log(0.359939085907677 * theta)) * 18.1786962678013 + -3.58370631162634,(((log((0.359939085907677 * theta)) ** 2.0) * 18.1786962678013) + -3.58370631162634),"((np.log((0.359939085907677 * x[:, 2])) ** 2.0 * 18.1786962678013) + -3.58370631162634)"
257,saturated,ok,ok,0.009797,0.001005,3,3,3,3,3,0,0,19,23,16,8,exp(-0.190375124856564 * alpha) * 22.1104651380683 + -13.0072835361942,((exp((-0.190375124856564 * alpha)) * 22.1104651380683) + -13.0072835361942),"((np.exp((-0.190375124856564 * x[:, 0])) * 22.1104651380683) + -13.0072835361942)"
258,saturated,ok,ok,0.019341,0.002670,3,2,3,2,3,-1,-1,21,25,15,5,2.37132708117742 * alpha * -1.02476223358896 + 7.00960957764327,((alpha * -2.4300464362773617) + 7.00960957764327),"((x[:, 0] * -2.4300464362773617) + 7.00960957764327)"
259,saturated,ok,ok,0.041750,0.024419,17,17,17,17,17,0,0,730,754,156,62,(-0.799729534169111 * beta + -0.899086280361548 * alpha) * ((0.171533453040114 * beta + 0.0470656987894813 * alpha) * sqr(-2.98323898131972 + 0.425720733249949 * theta)) * (sqr(-6.99944677645775 + 2.34156772763332 * theta) - 3.15867403154645 * alpha) * (exp(0.0145597143000799 * alpha) - 1.0567581284645 - sqr(0.0166290817130354 * alpha - -0.251093038215071 - sqr(-0.950940389917373 + 0.237063865274164 * theta))) * 0.996129032467347 + 1.35119607469247,(((((((-0.799729534169111 * beta) + (-0.899086280361548 * alpha)) * (((0.171533453040114 * beta) + (0.0470656987894813 * alpha)) * ((-2.98323898131972 + (0.425720733249949 * theta)) ** 2.0))) * (((-6.99944677645775 + (2.34156772763332 * theta)) ** 2.0) + (-3.15867403154645 * alpha))) * ((exp((0.0145597143000799 * alpha)) - 1.0567581284645) - ((((0.0166290817130354 * alpha) - -0.251093038215071) - ((-0.950940389917373 + (0.237063865274164 * theta)) ** 2.0)) ** 2.0))) * 0.996129032467347) + 1.35119607469247),"(((((((-0.799729534169111 * x[:, 1]) + (-0.899086280361548 * x[:, 0])) * (((x[:, 1] * 0.171533453040114) + (x[:, 0] * 4.70656987894813e-2)) * (-2.98323898131972 + (0.425720733249949 * x[:, 2])) ** 2.0)) * ((-6.99944677645775 + (x[:, 2] * 2.34156772763332)) ** 2.0 - (x[:, 0] * 3.15867403154645))) * ((np.exp((x[:, 0] * 1.45597143000799e-2)) - 1.0567581284645) - (((x[:, 0] * 1.66290817130354e-2) - -0.251093038215071) - (-0.950940389917373 + (x[:, 2] * 0.237063865274164)) ** 2.0) ** 2.0)) * 0.996129032467347) + 1.35119607469247)"
260,saturated,ok,ok,0.022066,0.005598,15,15,15,15,15,0,0,135,157,96,54,(-0.0139648638291202 * beta + 0.00162544555444236 * alpha) * ((-1.66787484160638 * theta + 3.58368077947582 * alpha) * (sqr(-7.24881580069613 + 1.18328281692442 * theta) - -7.17180671386231) - (exp(0.689201566464912 * alpha) + sqr(-2.57363148988602 + 0.32226540822491 * theta)) * (sqr(-10.6335840174072 + 3.09567769018872 * theta) - 0.83801463505422 * alpha)) * 1.03493130883475 + 0.101914518287506,(((((-0.0139648638291202 * beta) + (0.00162544555444236 * alpha)) * ((((-1.66787484160638 * theta) + (3.58368077947582 * alpha)) * (((-7.24881580069613 + (1.18328281692442 * theta)) ** 2.0) - -7.17180671386231)) - ((exp((0.689201566464912 * alpha)) + ((-2.57363148988602 + (0.32226540822491 * theta)) ** 2.0)) * (((-10.6335840174072 + (3.09567769018872 * theta)) ** 2.0) + (-0.83801463505422 * alpha))))) * 1.03493130883475) + 0.101914518287506),"(((((-1.39648638291202e-2 * x[:, 1]) + (1.62544555444236e-3 * x[:, 0])) * ((((-1.66787484160638 * x[:, 2]) + (x[:, 0] * 3.58368077947582)) * ((-7.24881580069613 + (x[:, 2] * 1.18328281692442)) ** 2.0 - -7.17180671386231)) - ((np.exp((x[:, 0] * 0.689201566464912)) + (-2.57363148988602 + (x[:, 2] * 0.32226540822491)) ** 2.0) * ((-10.6335840174072 + (x[:, 2] * 3.09567769018872)) ** 2.0 - (x[:, 0] * 0.83801463505422))))) * 1.03493130883475) + 0.101914518287506)"
