dataset,raw_index,algorithm_raw,algorithm,algo_row,is_paper_row,drop_reason,n_params,n_rank,mode,original_expr,sympy_expr,orig_status,orig_runtime_ms,orig_nodes,orig_params,simpl_nodes,simpl_params,orig_total_size,orig_egraph_nodes,orig_eclass_count,orig_passes,orig_extracted_cost,orig_rendered,sympy_status,sympy_runtime_ms,orig_nodes_sympy,orig_params_sympy,simpl_nodes_sympy,simpl_params_sympy,sympy_total_size,sympy_egraph_nodes,sympy_eclass_count,sympy_passes,sympy_extracted_cost,sympy_rendered
pagie,5,Bingo,Bingo,6,1,kept,8.0,5.0,egglog-baseline,0.2033733319566922 + (0.0885895005060784)*(plog(((520439.72713022487)*(((x0)*(x0))*((28890.10432966032 + x0)^(-1))) + (-165.43872587343168)*(((x0)*(x0))*((x1)*(x1))) - (x1))*((520439.72713022487)*(((x0)*(x0))*((28890.10432966032 + x0)^(-1))) + (-165.43872587343168)*(((x0)*(x0))*((x1)*(x1))) - (x1)))),(0.2033733319566922) + ((8.85895005060784e-2) * (log(abs((((x0) * ((x0) * (((520439.72713022487) * (((x0) + (28890.10432966032))^(-1))) + ((-165.43872587343168) * ((x1) * (x1)))))) - (x1)) * (((x0) * ((x0) * (((520439.72713022487) * (((x0) + (28890.10432966032))^(-1))) + ((-165.43872587343168) * ((x1) * (x1)))))) - (x1)))))),saturated,179.555750,53,8,45,8,54,62,40,2,107,(0.2033733319566922 + (0.0885895005060784 * log(abs(((((x0 * x0) * ((520439.72713022487 * ((28890.10432966032 + x0) ** -1.0)) + (-165.43872587343168 * (x1 * x1)))) - x1) * (((x0 * x0) * ((520439.72713022487 * ((28890.10432966032 + x0) ** -1.0)) + (-165.43872587343168 * (x1 * x1)))) - x1)))))),saturated,164.280666,45,8,45,8,54,62,40,1,107,(0.2033733319566922 + (0.0885895005060784 * log(abs((((x0 * (x0 * ((520439.72713022487 * ((x0 + 28890.10432966032) ** -1.0)) + (-165.43872587343168 * (x1 * x1))))) - x1) * ((x0 * (x0 * ((520439.72713022487 * ((x0 + 28890.10432966032) ** -1.0)) + (-165.43872587343168 * (x1 * x1))))) - x1))))))
pagie,5,Bingo,Bingo,6,1,kept,8.0,5.0,egglog-height-guard,0.2033733319566922 + (0.0885895005060784)*(plog(((520439.72713022487)*(((x0)*(x0))*((28890.10432966032 + x0)^(-1))) + (-165.43872587343168)*(((x0)*(x0))*((x1)*(x1))) - (x1))*((520439.72713022487)*(((x0)*(x0))*((28890.10432966032 + x0)^(-1))) + (-165.43872587343168)*(((x0)*(x0))*((x1)*(x1))) - (x1)))),(0.2033733319566922) + ((8.85895005060784e-2) * (log(abs((((x0) * ((x0) * (((520439.72713022487) * (((x0) + (28890.10432966032))^(-1))) + ((-165.43872587343168) * ((x1) * (x1)))))) - (x1)) * (((x0) * ((x0) * (((520439.72713022487) * (((x0) + (28890.10432966032))^(-1))) + ((-165.43872587343168) * ((x1) * (x1)))))) - (x1)))))),saturated,214.175208,53,8,45,8,77,110,65,2,107,(0.2033733319566922 + (0.0885895005060784 * log(abs(((((x0 * x0) * ((520439.72713022487 * ((28890.10432966032 + x0) ** -1.0)) + (-165.43872587343168 * (x1 * x1)))) - x1) * (((x0 * x0) * ((520439.72713022487 * ((28890.10432966032 + x0) ** -1.0)) + (-165.43872587343168 * (x1 * x1)))) - x1)))))),saturated,295.912333,45,8,45,8,77,110,65,1,107,(0.2033733319566922 + (0.0885895005060784 * log(abs((((x0 * (x0 * ((520439.72713022487 * ((x0 + 28890.10432966032) ** -1.0)) + (-165.43872587343168 * (x1 * x1))))) - x1) * ((x0 * (x0 * ((520439.72713022487 * ((x0 + 28890.10432966032) ** -1.0)) + (-165.43872587343168 * (x1 * x1))))) - x1))))))
pagie,6,Bingo,Bingo,7,1,kept,6.0,4.0,egglog-baseline,(0.33963694568414915)*(plog((-35.167844692926785)*(((-1)*(((2)^(-1))*((1.1727867299483856)^(-1))))*((x0)*((58.20319882282552 + x0)*(x1))) + plog(x1)))) - (1.1727867299483856),((0.33963694568414915) * (log(abs((-35.167844692926785) * (((-0.42633497398286985) * ((x0) * (((x0) + (58.20319882282552)) * (x1)))) + (log(abs(x1)))))))) - (1.1727867299483856),saturated,236.858958,29,7,21,5,97,106,48,2,50,((0.33963694568414915 * log(abs((-35.167844692926785 * ((-0.42633497398286985 * (x0 * ((58.20319882282552 + x0) * x1))) + log(abs(x1))))))) - 1.1727867299483856),saturated,204.714542,21,5,21,5,97,106,48,1,50,((0.33963694568414915 * log(abs((-35.167844692926785 * ((-0.42633497398286985 * (x0 * ((x0 + 58.20319882282552) * x1))) + log(abs(x1))))))) - 1.1727867299483856)
pagie,6,Bingo,Bingo,7,1,kept,6.0,4.0,egglog-height-guard,(0.33963694568414915)*(plog((-35.167844692926785)*(((-1)*(((2)^(-1))*((1.1727867299483856)^(-1))))*((x0)*((58.20319882282552 + x0)*(x1))) + plog(x1)))) - (1.1727867299483856),((0.33963694568414915) * (log(abs((-35.167844692926785) * (((-0.42633497398286985) * ((x0) * (((x0) + (58.20319882282552)) * (x1)))) + (log(abs(x1)))))))) - (1.1727867299483856),saturated,220.932167,29,7,21,5,127,167,79,2,50,((0.33963694568414915 * log(abs((-35.167844692926785 * ((-0.42633497398286985 * (x0 * ((58.20319882282552 + x0) * x1))) + log(abs(x1))))))) - 1.1727867299483856),saturated,184.207000,21,5,21,5,127,167,79,1,50,((0.33963694568414915 * log(abs((-35.167844692926785 * ((-0.42633497398286985 * (x0 * ((x0 + 58.20319882282552) * x1))) + log(abs(x1))))))) - 1.1727867299483856)
pagie,7,Bingo,Bingo,8,1,kept,5.0,5.0,egglog-baseline,(0.3219453819768659)*(4.881341193040894 + (0.006998797255225593)*(x0) + (-3.3010592991000216)*(exp((-0.7560873364652252)*((x0)*(x0)))) + plog(x1)),(0.3219453819768659) * ((((4.8813411930408925) + ((6.99879725522559e-3) * (x0))) + ((-3.301059299100023) * (exp((-0.7560873364652252) * ((x0) * (x0)))))) + (log(abs(x1)))),saturated,179.181667,20,5,20,5,50,57,34,2,49,(0.3219453819768659 * (((0.006998797255225593 * (x0 + 697.4542932210649)) + (-3.3010592991000216 * exp((-0.7560873364652252 * (x0 * x0))))) + log(abs(x1)))),saturated,177.394500,20,5,20,5,50,57,34,2,49,(0.3219453819768659 * (((0.00699879725522559 * (x0 + 697.4542932210649)) + (-3.301059299100023 * exp((-0.7560873364652252 * (x0 * x0))))) + log(abs(x1))))
pagie,7,Bingo,Bingo,8,1,kept,5.0,5.0,egglog-height-guard,(0.3219453819768659)*(4.881341193040894 + (0.006998797255225593)*(x0) + (-3.3010592991000216)*(exp((-0.7560873364652252)*((x0)*(x0)))) + plog(x1)),(0.3219453819768659) * ((((4.8813411930408925) + ((6.99879725522559e-3) * (x0))) + ((-3.301059299100023) * (exp((-0.7560873364652252) * ((x0) * (x0)))))) + (log(abs(x1)))),saturated,183.538125,20,5,20,5,123,160,73,1,49,(0.3219453819768659 * (((4.881341193040894 + (0.006998797255225593 * x0)) + (-3.3010592991000216 * exp((-0.7560873364652252 * (x0 * x0))))) + log(abs(x1)))),saturated,208.125333,20,5,20,5,71,99,55,2,49,(0.3219453819768659 * (((0.00699879725522559 * (x0 + 697.4542932210649)) + (-3.301059299100023 * exp((-0.7560873364652252 * (x0 * x0))))) + log(abs(x1))))
pagie,8,Bingo,Bingo,9,1,kept,7.0,5.0,egglog-baseline,(-0.0016845463969705932)*((plog(x1 + (-5504.7494866201905)*((x0)*(x1))))*(35.98329321843688 + (-0.17812022427202742)*(35.98329321843688 + x0) + (-12.262360262937122)*(plog(x1 + (-5504.7494866201905)*((x0)*(x1)))))),((x0) + (((log(abs((x1) + ((-5504.7494866201905) * ((x0) * (x1)))))) * (68.84316653570957)) + (-166.03359377740895))) * ((log(abs((x1) + ((-5504.7494866201905) * ((x0) * (x1)))))) * (3.000517820250378e-4)),saturated,166.451000,31,7,31,7,66,73,38,1,73,(-0.0016845463969705932 * (log(abs((x1 + (-5504.7494866201905 * (x0 * x1))))) * ((35.98329321843688 + (-0.17812022427202742 * (35.98329321843688 + x0))) + (-12.262360262937122 * log(abs((x1 + (-5504.7494866201905 * (x0 * x1))))))))),saturated,163.700541,27,5,27,5,59,65,33,1,59,((x0 + ((log(abs((x1 + (-5504.7494866201905 * (x0 * x1))))) * 68.84316653570957) + -166.03359377740895)) * (log(abs((x1 + (-5504.7494866201905 * (x0 * x1))))) * 0.0003000517820250378))
pagie,8,Bingo,Bingo,9,1,kept,7.0,5.0,egglog-height-guard,(-0.0016845463969705932)*((plog(x1 + (-5504.7494866201905)*((x0)*(x1))))*(35.98329321843688 + (-0.17812022427202742)*(35.98329321843688 + x0) + (-12.262360262937122)*(plog(x1 + (-5504.7494866201905)*((x0)*(x1)))))),((x0) + (((log(abs((x1) + ((-5504.7494866201905) * ((x0) * (x1)))))) * (68.84316653570957)) + (-166.03359377740895))) * ((log(abs((x1) + ((-5504.7494866201905) * ((x0) * (x1)))))) * (3.000517820250378e-4)),saturated,182.918333,31,7,31,7,89,121,63,1,73,(-0.0016845463969705932 * (log(abs((x1 + (-5504.7494866201905 * (x0 * x1))))) * ((35.98329321843688 + (-0.17812022427202742 * (35.98329321843688 + x0))) + (-12.262360262937122 * log(abs((x1 + (-5504.7494866201905 * (x0 * x1))))))))),saturated,183.498917,27,5,27,5,70,96,51,1,59,((x0 + ((log(abs((x1 + (-5504.7494866201905 * (x0 * x1))))) * 68.84316653570957) + -166.03359377740895)) * (log(abs((x1 + (-5504.7494866201905 * (x0 * x1))))) * 0.0003000517820250378))
pagie,9,Bingo,Bingo,10,1,kept,5.0,4.0,egglog-baseline,(-1647.7560776017172)*((plog(x1 + (-5504.7201863492755)*((x0)*(x1))))*(3.021827100299453e-05 + (-1.2535194814297265e-05)*(plog(x1 + (-5504.7201863492755)*((x0)*(x1)))))),((log(abs((x1) + ((-5504.7201863492755) * ((x1) * (x0)))))) + (-2.410674221714407)) * ((log(abs((x1) + ((-5504.7201863492755) * ((x1) * (x0)))))) * (2.0654943439179847e-2)),saturated,161.714958,25,5,25,5,49,55,30,1,56,(-1647.7560776017172 * (log(abs((x1 + (-5504.7201863492755 * (x0 * x1))))) * (3.021827100299453e-05 + (-1.2535194814297265e-05 * log(abs((x1 + (-5504.7201863492755 * (x0 * x1))))))))),saturated,163.721833,23,4,23,4,44,49,26,1,49,((log(abs((x1 + (-5504.7201863492755 * (x1 * x0))))) + -2.410674221714407) * (log(abs((x1 + (-5504.7201863492755 * (x1 * x0))))) * 0.020654943439179847))
pagie,9,Bingo,Bingo,10,1,kept,5.0,4.0,egglog-height-guard,(-1647.7560776017172)*((plog(x1 + (-5504.7201863492755)*((x0)*(x1))))*(3.021827100299453e-05 + (-1.2535194814297265e-05)*(plog(x1 + (-5504.7201863492755)*((x0)*(x1)))))),((log(abs((x1) + ((-5504.7201863492755) * ((x1) * (x0)))))) + (-2.410674221714407)) * ((log(abs((x1) + ((-5504.7201863492755) * ((x1) * (x0)))))) * (2.0654943439179847e-2)),saturated,182.667000,25,5,25,5,67,92,49,1,56,(-1647.7560776017172 * (log(abs((x1 + (-5504.7201863492755 * (x0 * x1))))) * (3.021827100299453e-05 + (-1.2535194814297265e-05 * log(abs((x1 + (-5504.7201863492755 * (x0 * x1))))))))),saturated,179.954875,23,4,23,4,61,83,43,1,49,((log(abs((x1 + (-5504.7201863492755 * (x1 * x0))))) + -2.410674221714407) * (log(abs((x1 + (-5504.7201863492755 * (x1 * x0))))) * 0.020654943439179847))
